experiment,name,model,run_name,run_path,best_pt,smoke_run,training_seed,baseline_augmentation_policy,hidden_albumentations_disabled,apply_clahe,train_time_min,full_val_box_map50,full_val_mask_map50,labeled_val_box_map50,labeled_val_mask_map50,labeled_val_mask_map50_95,labeled_val_gt_instances,labeled_val_pred_boxes,labeled_val_pred_masks,labeled_val_mask_count_mae,labeled_val_disease_box_miss_rate,labeled_val_disease_mask_miss_rate,healthy_val_images,healthy_val_mask_fp_rate,healthy_val_fp_masks_per_image,healthy_aware_labeled_val_mask_map50,full_test_box_map50,full_test_box_map50_95,full_test_mask_map50,full_test_mask_map50_95,labeled_test_box_map50,labeled_test_mask_map50,labeled_test_mask_map50_95,test_gt_instances,test_pred_boxes,test_pred_masks,test_mask_count_mae,labeled_test_gt_instances,labeled_test_pred_boxes,labeled_test_pred_masks,labeled_test_mask_count_mae,labeled_test_mask_count_exact,labeled_test_disease_box_miss_rate,labeled_test_disease_mask_miss_rate,healthy_test_images,healthy_test_mask_fp_rate,healthy_test_box_fp_rate,healthy_test_fp_masks_total,healthy_test_fp_masks_per_image,healthy_test_avg_fp_confidence,healthy_aware_labeled_test_mask_map50,epochs_ran,best_epoch_by_mask_map50,first_train_seg_loss,best_val_mask_map50,best_val_mask_map50_95,last_val_mask_map50,last_val_mask_map50_95,last_train_seg_loss,last_val_seg_loss,seg_loss_gap_val_minus_train,split_policy,seed,train_images,valid_images,test_images,train_specimens,valid_specimens,test_specimens,train_test_group_overlap,train_valid_group_overlap,valid_test_group_overlap,train_labeled_images,train_healthy_empty_images,train_mask_instances,valid_labeled_images,valid_healthy_empty_images,valid_mask_instances,test_labeled_images,test_healthy_empty_images,test_mask_instances,split_manifest_csv,split_summary_csv,split_fingerprint,params_million,split_policy_description
plain_random_image_yolo11n-seg_clean_light_yolo_aug,Plain random image split | yolo11n-seg | Clean Light YOLO Augmentation,yolo11n-seg.pt,yolo11n-seg_shrimp_seg_plain_random_image_seed42_plain_random_image_yolo11n-seg_clean_light_yolo_aug,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_plain_random_image_seed42_plain_random_image_yolo11n-seg_clean_light_yolo_aug,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_plain_random_image_seed42_plain_random_image_yolo11n-seg_clean_light_yolo_aug/weights/best.pt,False,42,explicit_light_yolo_aug,False,False,30.84,0.7671299500048625,0.7650542064153607,0.7819167612005056,0.7802229587428298,0.32126476162031214,108,118,118,0.268018018018018,0.02702702702702703,0.02702702702702703,40,0.1,0.1,0.7527680037878749,0.6786069070988794,0.3575869593846729,0.6577214534277845,0.29146588731692463,0.6852673432622871,0.6641438103373876,0.2935039209220541,104,110,110,0.19181034482758622,104,107,107,0.2673611111111111,0.6944444444444444,0.05555555555555555,0.05555555555555555,44,0.06818181818181818,0.06818181818181818,3,0.06818181818181818,0.481643408536911,0.6356242396303169,100,97,4.78357,0.76521,0.31832,0.70663,0.30598,1.54554,3.00205,1.4565100000000002,plain_random_image,42,919,114,116,408,105,103,98,100,20,600,319,819,74,40,108,72,44,104,/kaggle/working/shrimp_yolo_seg_split_policy_model_comparison/reports/split_manifests/plain_random_image_seed42_manifest.csv,/kaggle/working/shrimp_yolo_seg_split_policy_model_comparison/reports/split_manifests/plain_random_image_seed42_summary.csv,7359cf301e2245deb0effbac6d27a040661d9ef3b0747c9e899b87c548fbe95d,2.877,Deterministic naive image-level random split; no disease stratification and specimen leakage is allowed.
stratified_grouped_specimen_yolo11n-seg_clean_light_yolo_aug,Stratified grouped-specimen split | yolo11n-seg | Clean Light YOLO Augmentation,yolo11n-seg.pt,yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_clean_light_yolo_aug,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_clean_light_yolo_aug,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_clean_light_yolo_aug/weights/best.pt,False,42,explicit_light_yolo_aug,False,False,25.87,0.5455173448168066,0.47394087231548915,0.5645673289198339,0.48964849552084183,0.16037136763696394,102,100,100,0.40315315315315314,0.10810810810810811,0.10810810810810811,41,0.12195121951219512,0.12195121951219512,0.44107949969574844,0.5664424779934432,0.22428528928223385,0.48153170664315664,0.158036179598201,0.6047653318122569,0.5120017724041486,0.16778526296610805,119,129,129,0.3049095607235142,119,118,118,0.32196969696969696,0.625,0.07954545454545454,0.07954545454545454,41,0.24390243902439024,0.24390243902439024,11,0.2682926829268293,0.5182696960189126,0.4595812254714065,86,56,4.84766,0.47392,0.15685,0.42043,0.15023,1.71531,4.98513,3.26982,stratified_grouped_specimen,42,905,115,129,331,40,45,0,0,0,584,321,810,74,41,102,88,41,119,/kaggle/working/shrimp_yolo_seg_split_policy_model_comparison/reports/split_manifests/stratified_grouped_specimen_seed42_manifest.csv,/kaggle/working/shrimp_yolo_seg_split_policy_model_comparison/reports/split_manifests/stratified_grouped_specimen_seed42_summary.csv,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,2.877,Disease-stratified split where all images from one shrimp stay together.
stratified_random_image_yolo11n-seg_clean_light_yolo_aug,Stratified random image split | yolo11n-seg | Clean Light YOLO Augmentation,yolo11n-seg.pt,yolo11n-seg_shrimp_seg_stratified_random_image_seed42_stratified_random_image_yolo11n-seg_clean_light_yolo_aug,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_random_image_seed42_stratified_random_image_yolo11n-seg_clean_light_yolo_aug,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_random_image_seed42_stratified_random_image_yolo11n-seg_clean_light_yolo_aug/weights/best.pt,False,42,explicit_light_yolo_aug,False,False,30.56,0.6393899070814993,0.5839744460890994,0.6536111330971317,0.5952006702055375,0.2524893961437961,99,100,100,0.3333333333333333,0.09333333333333334,0.09333333333333334,40,0.175,0.175,0.5470340035388708,0.7222937565275276,0.3600741559068802,0.584420607046305,0.27022435084057517,0.7279728771219265,0.5890949266194123,0.27156619559896866,100,103,103,0.1896551724137931,100,100,100,0.25333333333333335,0.7333333333333333,0.013333333333333334,0.013333333333333334,41,0.07317073170731707,0.07317073170731707,3,0.07317073170731707,0.4986911714076996,0.5671111867820139,100,78,4.76024,0.59646,0.24144,0.55739,0.23966,1.52334,3.73743,2.2140899999999997,stratified_random_image,42,918,115,116,409,107,102,98,103,18,596,322,832,75,40,99,75,41,100,/kaggle/working/shrimp_yolo_seg_split_policy_model_comparison/reports/split_manifests/stratified_random_image_seed42_manifest.csv,/kaggle/working/shrimp_yolo_seg_split_policy_model_comparison/reports/split_manifests/stratified_random_image_seed42_summary.csv,dbd61d2dbd66b7d03ba1e77eafe3624613812629d01fbc9f2264e17f4b010190,2.877,Disease-stratified image-level split; specimen leakage is allowed.
