dataset,display_label,actual_source_method,checkpoint_filename,checkpoint_sha256,class_order,tracked_in_git
ShrimpDB-3,ASL-LDAM + SimAM-DCFR,ASL-LDAM + SimAM-DCFR,selected_best.pt,ce0352be3fc20d2429605072fde4e01acce86216f4bdbaaec92895d1de98fb36,Healthy | BG | WSSV,false
Combined-4,ASL-LDAM + SimAM-DCFR,CE Baseline,selected_best.pt,adebc0a4e16fe45f2b1f12e375c5514d15a9eafb8be5939834d27208a744c5ad,Healthy | BG | WSSV | WSSV_BG,false
