dataset,display_label,actual_source_method,label_matches_source_method,checkpoint_filename,checkpoint_sha256,number_of_classes,class_order,local_source_path,tracked_in_git
shrimpdb3,ASL-LDAM + SimAM-DCFR,ASL-LDAM + SimAM-DCFR,true,selected_best.pt,ce0352be3fc20d2429605072fde4e01acce86216f4bdbaaec92895d1de98fb36,3,Healthy | BG | WSSV,D:\CVio\CVio_ShrimpDB_Combined_YOLO26m_CE_Baseline_seed42_RESULTS\selected_best_by_dataset\shrimpdb3\checkpoint\selected_best.pt,false
combined4,ASL-LDAM + SimAM-DCFR,CE Baseline,false,selected_best.pt,adebc0a4e16fe45f2b1f12e375c5514d15a9eafb8be5939834d27208a744c5ad,4,Healthy | BG | WSSV | WSSV_BG,D:\CVio\CVio_ShrimpDB_Combined_YOLO26m_CE_Baseline_seed42_RESULTS\selected_best_by_dataset\combined4\checkpoint\selected_best.pt,false
