Unnamed: 0,precision,recall,f1-score,support
Healthy,92.96%,91.67%,92.31%,72.0
BG,86.36%,84.44%,85.39%,45.0
WSSV,92.31%,85.71%,88.89%,70.0
WSSV_BG,72.50%,87.88%,79.45%,33.0
accuracy,87.73%,87.73%,87.73%,0.8772727272727273
macro avg,86.03%,87.43%,86.51%,220.0
weighted avg,88.33%,87.73%,87.88%,220.0
