split_policy,mode,model,seed,training_seed,params_million,ultralytics_version,fourier_enabled,image_fourier_enabled,feature_fourier_enabled,augmentation_family,augmentation_setting,augmentation_args_json,image_fourier_policy,image_fourier_sigmas,image_fourier_alphas,offline_augmentation_enabled,offline_augmentation_family,offline_augmentation_setting,offline_transform_order,offline_augmentation_splits,offline_fourier_splits,model_variant,model_yaml_key,model_yaml,fourier_module_policy,clean_light_aug_enabled,default_hook_enabled,base_params_million,preprocessing_policy,fourier_policy,fourier_sigma,fourier_alpha,baseline_augmentation_policy,hidden_albumentations_disabled,train_epochs_requested,train_patience,train_images,valid_images,test_images,actual_train_image_files,actual_valid_image_files,actual_test_image_files,train_coinfection_images,valid_coinfection_images,test_coinfection_images,train_bg_mask_images,valid_bg_mask_images,test_bg_mask_images,train_wssv_mask_images,valid_wssv_mask_images,test_wssv_mask_images,train_specimens,valid_specimens,test_specimens,train_test_group_overlap,valid_test_group_overlap,split_manifest_csv,split_fingerprint,epochs_ran,best_epoch_by_mask_map50,train_time_min,full_test_mask_map50,full_test_mask_map50_95,labeled_test_mask_map50,labeled_test_mask_map50_95,healthy_test_mask_fp_rate,healthy_test_fp_masks_per_image,labeled_test_disease_mask_miss_rate,labeled_test_mask_count_mae,healthy_aware_labeled_val_mask_map50,healthy_aware_labeled_test_mask_map50,best_pt,run_path
stratified_grouped_specimen,A5,yolo11n-seg.pt,42,42,2.877,8.4.62,True,True,False,flipud,flipud0p30,"{""flipud"": 0.3}",highpass_s50_a0p10,50,0.1,True,flipud,flipud0p30,augmentation_then_fourier,train,train|valid|test,baseline,,,none,False,False,2.877,highpass_s50_a0p10,highpass_s50_a0p10,50,0.1,offline_flipud_flipud0p30,True,100,40,905,115,129,905,115,129,173,21,26,326,42,50,431,53,64,331,40,45,0,0,/content/shrimp_only_fourier_n1_flipud_two_value_fourier_order_offline_colab_seed42/reports/split_manifests/stratified_grouped_specimen_seed42_manifest.csv,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,58,18,35.5,0.31854231671043504,0.09745281110112751,0.3450644520790563,0.10588460779611461,0.4146341463414634,0.4146341463414634,0.2840909090909091,0.5984848484848485,0.2960051003453294,0.23106315865703117,/content/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_A5_flipud_flipud0p30_augmentation_then_fourier/weights/best.pt,/content/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_A5_flipud_flipud0p30_augmentation_then_fourier
stratified_grouped_specimen,A4,yolo11n-seg.pt,42,42,2.877,8.4.62,False,False,False,flipud,flipud0p30,"{""flipud"": 0.3}",none,,,True,flipud,flipud0p30,augmentation_only,train,none,baseline,,,none,False,False,2.877,none,none,,,offline_flipud_flipud0p30,True,100,40,905,115,129,905,115,129,173,21,26,326,42,50,431,53,64,331,40,45,0,0,/content/shrimp_only_fourier_n1_flipud_two_value_fourier_order_offline_colab_seed42/reports/split_manifests/stratified_grouped_specimen_seed42_manifest.csv,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,51,18,29.47,0.3042994842782487,0.09416542270681345,0.33453318243210567,0.10189429454258533,0.2926829268292683,0.2926829268292683,0.3068181818181818,0.5928030303030303,0.2231935436735622,0.22960201096130003,/content/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_A4_flipud_flipud0p30_augmentation_only/weights/best.pt,/content/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_A4_flipud_flipud0p30_augmentation_only
stratified_grouped_specimen,A6,yolo11n-seg.pt,42,42,2.877,8.4.62,True,True,False,flipud,flipud0p30,"{""flipud"": 0.3}",highpass_s50_a0p10,50,0.1,True,flipud,flipud0p30,fourier_then_augmentation,train,train|valid|test,baseline,,,none,False,False,2.877,highpass_s50_a0p10,highpass_s50_a0p10,50,0.1,offline_flipud_flipud0p30,True,100,40,905,115,129,905,115,129,173,21,26,326,42,50,431,53,64,331,40,45,0,0,/content/shrimp_only_fourier_n1_flipud_two_value_fourier_order_offline_colab_seed42/reports/split_manifests/stratified_grouped_specimen_seed42_manifest.csv,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,63,19,38.74,0.22712747648225348,0.06816157827866187,0.28265318979588483,0.08948858348934143,0.24390243902439024,0.24390243902439024,0.5,0.6325757575757576,0.2143157046479281,0.15163415801465793,/content/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_A6_flipud_flipud0p30_fourier_then_augmentation/weights/best.pt,/content/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_A6_flipud_flipud0p30_fourier_then_augmentation
