experiment,name,model,run_name,run_path,best_pt,smoke_run,training_seed,baseline_augmentation_policy,hidden_albumentations_disabled,preprocessing_policy,fourier_policy,fourier_sigma,fourier_alpha,ultralytics_version,train_epochs_requested,train_patience,actual_train_image_files,actual_valid_image_files,actual_test_image_files,fourier_transform_summary,train_time_min,full_val_box_map50,full_val_mask_map50,labeled_val_box_map50,labeled_val_mask_map50,labeled_val_mask_map50_95,labeled_val_gt_instances,labeled_val_pred_boxes,labeled_val_pred_masks,labeled_val_mask_count_mae,labeled_val_disease_box_miss_rate,labeled_val_disease_mask_miss_rate,healthy_val_images,healthy_val_mask_fp_rate,healthy_val_fp_masks_per_image,healthy_aware_labeled_val_mask_map50,full_test_box_map50,full_test_box_map50_95,full_test_mask_map50,full_test_mask_map50_95,labeled_test_box_map50,labeled_test_mask_map50,labeled_test_mask_map50_95,test_gt_instances,test_pred_boxes,test_pred_masks,test_mask_count_mae,labeled_test_gt_instances,labeled_test_pred_boxes,labeled_test_pred_masks,labeled_test_mask_count_mae,labeled_test_mask_count_exact,labeled_test_disease_box_miss_rate,labeled_test_disease_mask_miss_rate,healthy_test_images,healthy_test_mask_fp_rate,healthy_test_box_fp_rate,healthy_test_fp_masks_total,healthy_test_fp_masks_per_image,healthy_test_avg_fp_confidence,healthy_aware_labeled_test_mask_map50,epochs_ran,best_epoch_by_mask_map50,first_train_seg_loss,best_val_mask_map50,best_val_mask_map50_95,last_val_mask_map50,last_val_mask_map50_95,last_train_seg_loss,last_val_seg_loss,seg_loss_gap_val_minus_train,split_policy,seed,train_images,valid_images,test_images,train_specimens,valid_specimens,test_specimens,train_test_group_overlap,train_valid_group_overlap,valid_test_group_overlap,train_labeled_images,train_healthy_empty_images,train_bg_mask_images,train_wssv_mask_images,train_coinfection_images,train_mask_instances,valid_labeled_images,valid_healthy_empty_images,valid_bg_mask_images,valid_wssv_mask_images,valid_coinfection_images,valid_mask_instances,test_labeled_images,test_healthy_empty_images,test_bg_mask_images,test_wssv_mask_images,test_coinfection_images,test_mask_instances,split_manifest_csv,split_summary_csv,split_fingerprint,params_million,split_policy_description
stratified_grouped_specimen_yolo11n-seg_highpass_s50_a0p05_no_aug_hook_off,"Stratified grouped-specimen split | yolo11n-seg | Fourier high-pass sigma50 alpha0.05, no augmentation, hook off",yolo11n-seg.pt,yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_highpass_s50_a0p05_no_aug_hook_off,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_highpass_s50_a0p05_no_aug_hook_off,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_highpass_s50_a0p05_no_aug_hook_off/weights/best.pt,False,42,none_all_yolo_aug_zero,True,fourier_highpass,highpass_s50_a0p05_all_splits,50,0.05,8.4.62,100,40,905,115,129,"{""train"": {""images"": 905, ""failed"": 0, ""device"": ""cuda"", ""batch_size"": 4, ""gpu_images"": 905, ""cpu_images"": 0, ""oom_splits"": 0}, ""valid"": {""images"": 115, ""failed"": 0, ""device"": ""cuda"", ""batch_size"": 4, ""gpu_images"": 115, ""cpu_images"": 0, ""oom_splits"": 0}, ""test"": {""images"": 129, ""failed"": 0, ""device"": ""cuda"", ""batch_size"": 4, ""gpu_images"": 129, ""cpu_images"": 0, ""oom_splits"": 0}}",15.46,0.3911773474815483,0.35490811815560497,0.4098533073949379,0.37149001546562466,0.12480363065699643,102,92,92,0.5495495495495495,0.22972972972972974,0.22972972972972974,41,0.07317073170731707,0.12195121951219512,0.30223600535795603,0.37607324581819773,0.13488024646981334,0.27496744193995115,0.07171883159194285,0.42299471133053806,0.3087739891939717,0.07922626759505359,119,125,125,0.5310077519379846,119,106,106,0.5625,0.4431818181818182,0.25,0.25,41,0.34146341463414637,0.34146341463414637,19,0.4634146341463415,0.5460477800745713,0.20900264773055705,60,20,5.01279,0.35723,0.12151,0.22898,0.07954,0.19796,13.5286,13.33064,stratified_grouped_specimen,42,905,115,129,331,40,45,0,0,0,584,321,326,431,173,810,74,41,42,53,21,102,88,41,50,64,26,119,/kaggle/working/shrimp_only_fourier_highpass_alpha_sweep_005_015_020_no_aug_hook_off/reports/split_manifests/stratified_grouped_specimen_seed42_manifest.csv,/kaggle/working/shrimp_only_fourier_highpass_alpha_sweep_005_015_020_no_aug_hook_off/reports/split_manifests/stratified_grouped_specimen_seed42_summary.csv,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,2.877,Disease-stratified split where all images from one shrimp stay together.
stratified_grouped_specimen_yolo11n-seg_highpass_s50_a0p20_no_aug_hook_off,"Stratified grouped-specimen split | yolo11n-seg | Fourier high-pass sigma50 alpha0.20, no augmentation, hook off",yolo11n-seg.pt,yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_highpass_s50_a0p20_no_aug_hook_off,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_highpass_s50_a0p20_no_aug_hook_off,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_highpass_s50_a0p20_no_aug_hook_off/weights/best.pt,False,42,none_all_yolo_aug_zero,True,fourier_highpass,highpass_s50_a0p20_all_splits,50,0.2,8.4.62,100,40,905,115,129,"{""train"": {""images"": 905, ""failed"": 0, ""device"": ""cuda"", ""batch_size"": 4, ""gpu_images"": 905, ""cpu_images"": 0, ""oom_splits"": 0}, ""valid"": {""images"": 115, ""failed"": 0, ""device"": ""cuda"", ""batch_size"": 4, ""gpu_images"": 115, ""cpu_images"": 0, ""oom_splits"": 0}, ""test"": {""images"": 129, ""failed"": 0, ""device"": ""cuda"", ""batch_size"": 4, ""gpu_images"": 129, ""cpu_images"": 0, ""oom_splits"": 0}}",16.8,0.3775410327084225,0.302805927662335,0.4006327967396247,0.3133845922750054,0.11024851510045663,102,79,79,0.5878378378378378,0.33783783783783783,0.33783783783783783,41,0.21951219512195122,0.24390243902439024,0.21136580519524276,0.3019569039140879,0.09930944615510864,0.2669213317540492,0.0734075053318747,0.3329010947721137,0.29133821680865135,0.08266739147105874,119,89,89,0.47674418604651164,119,75,75,0.5397727272727273,0.38636363636363635,0.32954545454545453,0.32954545454545453,41,0.2926829268292683,0.2926829268292683,14,0.34146341463414637,0.5910911730357579,0.18564946958026998,65,24,4.95898,0.33749,0.10931,0.26427,0.0849,0.11947,11.9376,11.81813,stratified_grouped_specimen,42,905,115,129,331,40,45,0,0,0,584,321,326,431,173,810,74,41,42,53,21,102,88,41,50,64,26,119,/kaggle/working/shrimp_only_fourier_highpass_alpha_sweep_005_015_020_no_aug_hook_off/reports/split_manifests/stratified_grouped_specimen_seed42_manifest.csv,/kaggle/working/shrimp_only_fourier_highpass_alpha_sweep_005_015_020_no_aug_hook_off/reports/split_manifests/stratified_grouped_specimen_seed42_summary.csv,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,2.877,Disease-stratified split where all images from one shrimp stay together.
stratified_grouped_specimen_yolo11n-seg_highpass_s50_a0p15_no_aug_hook_off,"Stratified grouped-specimen split | yolo11n-seg | Fourier high-pass sigma50 alpha0.15, no augmentation, hook off",yolo11n-seg.pt,yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_highpass_s50_a0p15_no_aug_hook_off,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_highpass_s50_a0p15_no_aug_hook_off,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_highpass_s50_a0p15_no_aug_hook_off/weights/best.pt,False,42,none_all_yolo_aug_zero,True,fourier_highpass,highpass_s50_a0p15_all_splits,50,0.15,8.4.62,100,40,905,115,129,"{""train"": {""images"": 905, ""failed"": 0, ""device"": ""cuda"", ""batch_size"": 4, ""gpu_images"": 905, ""cpu_images"": 0, ""oom_splits"": 0}, ""valid"": {""images"": 115, ""failed"": 0, ""device"": ""cuda"", ""batch_size"": 4, ""gpu_images"": 115, ""cpu_images"": 0, ""oom_splits"": 0}, ""test"": {""images"": 129, ""failed"": 0, ""device"": ""cuda"", ""batch_size"": 4, ""gpu_images"": 129, ""cpu_images"": 0, ""oom_splits"": 0}}",18.28,0.3384962693388289,0.272229695909392,0.36031273871376557,0.2873173777280633,0.10772714022406368,102,47,47,0.5698198198198198,0.47297297297297297,0.47297297297297297,41,0.0975609756097561,0.12195121951219512,0.17812434323015075,0.2803059088492924,0.11940369260941808,0.22977130468227047,0.06765933295411182,0.30445172536401055,0.24886092586231998,0.07200559320886671,119,60,60,0.4844961240310077,119,53,53,0.6306818181818182,0.32954545454545453,0.5113636363636364,0.5113636363636364,41,0.14634146341463414,0.14634146341463414,7,0.17073170731707318,0.6442752437932151,0.12598814315722018,71,16,5.00134,0.31129,0.10108,0.26183,0.0857,0.05737,18.3272,18.269830000000002,stratified_grouped_specimen,42,905,115,129,331,40,45,0,0,0,584,321,326,431,173,810,74,41,42,53,21,102,88,41,50,64,26,119,/kaggle/working/shrimp_only_fourier_highpass_alpha_sweep_005_015_020_no_aug_hook_off/reports/split_manifests/stratified_grouped_specimen_seed42_manifest.csv,/kaggle/working/shrimp_only_fourier_highpass_alpha_sweep_005_015_020_no_aug_hook_off/reports/split_manifests/stratified_grouped_specimen_seed42_summary.csv,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,2.877,Disease-stratified split where all images from one shrimp stay together.
