epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,39.4108,2.53868,4.78777,7.45729,2.45799,0,0.1834,0.11801,0.02935,0.01022,0.14728,0.10908,0.02201,0.0114,2.63796,4.55445,10.3,2.77015,0,0.000545918,0.000545918,0.000545918
2,63.3456,2.41025,4.36346,2.91417,2.31089,0,0.0258,0.30396,0.0211,0.0068,0.01862,0.29425,0.01082,0.00264,2.58328,6.51991,35.2533,2.81182,0,0.00109068,0.00109068,0.00109068
3,87.0707,2.43491,4.26937,2.67754,2.35513,0,0.10572,0.3552,0.07677,0.01582,0.08402,0.19216,0.05759,0.01153,2.73386,5.13497,67.1129,2.7008,0,0.00162444,0.00162444,0.00162444
4,110.987,2.40869,4.127,2.53514,2.3278,0,0.17598,0.04658,0.03984,0.01017,0.17527,0.03571,0.03817,0.01099,3.43715,70.5545,15.3798,3.41107,0,0.00161749,0.00161749,0.00161749
5,134.585,2.42209,4.08504,2.42479,2.30375,0,0.00207,0.14674,0.00337,0.00037,0.00063,0.09821,0.00014,3e-05,nan,nan,nan,nan,0,0.00160099,0.00160099,0.00160099
6,158.46,2.33036,4.00833,2.27885,2.25002,0,0.17196,0.41382,0.17851,0.06752,0.13597,0.29115,0.15117,0.04566,2.42429,4.07858,66.4671,2.32884,0,0.00158448,0.00158448,0.00158448
7,182.176,2.28486,3.91089,2.14962,2.23282,0,0.55821,0.31793,0.36656,0.136,0.45162,0.26553,0.2631,0.07201,2.59347,5.03,4.32058,2.45916,0,0.00156798,0.00156798,0.00156798
8,206.026,2.23813,3.81548,2.15319,2.18296,0,0.46024,0.31095,0.35491,0.14383,0.42076,0.27229,0.30534,0.09915,2.63851,4.21618,4.31138,2.54608,0,0.00155148,0.00155148,0.00155148
9,229.755,2.21967,3.80017,2.11703,2.19419,0,0.30066,0.38509,0.32408,0.10756,0.26516,0.33538,0.25228,0.07865,2.27617,3.65306,5.31819,2.21475,0,0.00153497,0.00153497,0.00153497
10,253.526,2.16719,3.66182,2.03625,2.15151,0,0.55264,0.28028,0.34667,0.17172,0.51855,0.31599,0.34744,0.1316,2.2189,3.65814,2.72902,2.22925,0,0.00151847,0.00151847,0.00151847
11,277.142,2.13174,3.59563,1.87624,2.11934,0,0.55102,0.38354,0.36947,0.13794,0.32593,0.32026,0.26659,0.08592,2.62754,4.01833,2.37538,2.45209,0,0.00150197,0.00150197,0.00150197
12,300.979,2.09222,3.53231,1.83263,2.08565,0,0.41736,0.40528,0.33774,0.13805,0.35306,0.33307,0.24279,0.07639,2.51369,4.53746,2.21369,2.43542,0,0.00148546,0.00148546,0.00148546
13,324.583,2.06691,3.49331,1.84953,2.06704,0,0.49924,0.43362,0.39802,0.16539,0.42922,0.32686,0.3069,0.10096,2.46142,3.99684,3.39008,2.37503,0,0.00146896,0.00146896,0.00146896
14,348.298,2.05769,3.42904,1.79199,2.04906,0,0.53445,0.41226,0.42372,0.1648,0.45732,0.40023,0.38138,0.11988,2.32384,4.21735,2.20132,2.25088,0,0.00145246,0.00145246,0.00145246
15,371.783,1.99377,3.32736,1.72413,2.02192,0,0.53073,0.41791,0.43988,0.17242,0.49139,0.35184,0.36862,0.13417,2.26293,3.50081,3.50961,2.19781,0,0.00143595,0.00143595,0.00143595
16,395.407,1.99054,3.29689,1.75302,2.00296,0,0.57507,0.40722,0.43704,0.17854,0.50158,0.33696,0.35001,0.12175,2.42004,3.86202,2.46335,2.423,0,0.00141945,0.00141945,0.00141945
17,419.028,1.95084,3.24623,1.66317,1.99027,0,0.55062,0.48835,0.42165,0.15087,0.55965,0.40722,0.39215,0.12719,2.63703,3.88286,2.21822,2.58396,0,0.00140295,0.00140295,0.00140295
18,442.607,1.91859,3.21412,1.66891,1.94043,0,0.57347,0.4014,0.38215,0.15158,0.58965,0.39247,0.35301,0.10667,2.42437,3.81038,2.1351,2.36778,0,0.00138644,0.00138644,0.00138644
19,466.303,1.89606,3.11739,1.57307,1.93676,0,0.52524,0.46676,0.41615,0.18593,0.44177,0.40154,0.35962,0.13958,2.304,4.1288,2.7149,2.28739,0,0.00136994,0.00136994,0.00136994
20,490.011,1.89593,3.10705,1.543,1.95378,0,0.54391,0.44682,0.4783,0.18921,0.53842,0.38231,0.42429,0.16312,2.29086,3.40408,2.72552,2.24478,0,0.00135344,0.00135344,0.00135344
21,513.602,1.89953,3.17799,1.55128,1.92757,0,0.51833,0.36258,0.42794,0.16949,0.50506,0.3389,0.39037,0.13528,2.29489,3.68222,2.82223,2.22603,0,0.00133693,0.00133693,0.00133693
22,537.27,1.86505,3.08519,1.48833,1.92665,0,0.5103,0.53273,0.491,0.18515,0.42585,0.44461,0.37641,0.12531,2.24753,4.14516,2.13064,2.21222,0,0.00132043,0.00132043,0.00132043
23,560.881,1.81878,2.98618,1.46937,1.86633,0,0.69385,0.40528,0.47652,0.17847,0.67419,0.39441,0.42799,0.13427,2.2326,3.39888,2.54577,2.17378,0,0.00130393,0.00130393,0.00130393
24,584.672,1.78327,2.95841,1.44912,1.85276,0,0.49562,0.51244,0.4383,0.16054,0.44532,0.46391,0.36484,0.12288,2.54248,4.16549,2.25663,2.48337,0,0.00128742,0.00128742,0.00128742
25,607.908,1.80614,2.94461,1.39238,1.83516,0,0.51202,0.42314,0.45292,0.17602,0.53711,0.39441,0.36646,0.12729,2.50871,3.85632,1.88141,2.38842,0,0.00127092,0.00127092,0.00127092
26,631.587,1.74878,2.94192,1.4055,1.80703,0,0.51245,0.46351,0.44864,0.16133,0.3528,0.43789,0.35784,0.1033,2.37695,3.8545,2.22645,2.29752,0,0.00125442,0.00125442,0.00125442
27,655.191,1.73833,2.86323,1.36366,1.79786,0,0.6258,0.41236,0.46976,0.19737,0.53053,0.41304,0.40847,0.13908,2.41883,3.89941,2.52858,2.32602,0,0.00123791,0.00123791,0.00123791
28,678.645,1.68938,2.81899,1.35053,1.76829,0,0.60251,0.44536,0.4868,0.1979,0.64446,0.38432,0.40979,0.14663,2.47449,4.24225,2.02161,2.42203,0,0.00122141,0.00122141,0.00122141
29,702.386,1.68905,2.80842,1.29199,1.78559,0,0.66038,0.4278,0.49178,0.19472,0.57042,0.37345,0.40115,0.13092,2.38914,3.92872,2.11496,2.25229,0,0.00120491,0.00120491,0.00120491
30,726.054,1.6549,2.76823,1.26474,1.76974,0,0.56328,0.50815,0.5063,0.21246,0.60068,0.37366,0.42044,0.16081,2.21603,3.8253,2.10664,2.18323,0,0.0011884,0.0011884,0.0011884
31,749.705,1.65966,2.78242,1.28629,1.75685,0,0.44348,0.3913,0.41547,0.15284,0.42506,0.37849,0.38381,0.14927,2.59735,3.59421,1.87489,2.49098,0,0.0011719,0.0011719,0.0011719
32,773.361,1.63369,2.73544,1.25027,1.71742,0,0.69827,0.46661,0.50943,0.20584,0.57916,0.39635,0.39618,0.15127,2.50243,3.9555,1.85106,2.55191,0,0.0011554,0.0011554,0.0011554
33,796.849,1.62588,2.66866,1.22307,1.71838,0,0.64698,0.46351,0.49316,0.19618,0.56932,0.40217,0.40162,0.13752,2.34258,3.67431,2.41382,2.28819,0,0.00113889,0.00113889,0.00113889
34,820.332,1.57704,2.64601,1.20032,1.7088,0,0.63261,0.46195,0.47914,0.19255,0.56273,0.41482,0.39658,0.14964,2.50036,4.20175,1.79925,2.53291,0,0.00112239,0.00112239,0.00112239
35,844.067,1.56646,2.60528,1.17939,1.66303,0,0.45151,0.47516,0.44741,0.19759,0.35512,0.40295,0.33208,0.1345,2.41767,4.12131,2.21562,2.28341,0,0.00110589,0.00110589,0.00110589
36,867.693,1.54023,2.57723,1.16355,1.66084,0,0.54119,0.51904,0.52379,0.20523,0.48742,0.46609,0.4279,0.1447,2.27093,3.845,2.22868,2.26438,0,0.00108938,0.00108938,0.00108938
37,891.074,1.48261,2.50466,1.11878,1.61286,0,0.54257,0.56638,0.53549,0.1983,0.58027,0.42585,0.41422,0.14322,2.4811,4.63331,2.11912,2.59749,0,0.00107288,0.00107288,0.00107288
38,914.663,1.50129,2.52364,1.10926,1.61907,0,0.71465,0.46545,0.5307,0.20818,0.6785,0.41498,0.40549,0.15865,2.44428,4.1869,1.81242,2.44534,0,0.00105638,0.00105638,0.00105638
39,938.205,1.45049,2.51264,1.04068,1.57425,0,0.51861,0.47035,0.46861,0.17528,0.44666,0.40606,0.37826,0.14176,2.49375,4.34209,1.79868,2.49618,0,0.00103987,0.00103987,0.00103987
40,961.838,1.48669,2.48192,1.08656,1.61914,0,0.51942,0.48525,0.48247,0.1882,0.50969,0.44163,0.41693,0.14018,2.34221,4.00087,1.93753,2.27438,0,0.00102337,0.00102337,0.00102337
41,985.201,1.40844,2.42641,1.02379,1.55983,0,0.63321,0.45739,0.50989,0.21732,0.51687,0.37238,0.41542,0.14485,2.38997,4.22523,1.87536,2.47291,0,0.00100687,0.00100687,0.00100687
42,1008.73,1.4524,2.44935,1.04152,1.59638,0,0.37713,0.49224,0.41473,0.14535,0.45962,0.3618,0.36171,0.11615,2.4671,4.23736,1.89004,2.54804,0,0.000990365,0.000990365,0.000990365
43,1032.36,1.37764,2.41219,1.00605,1.53606,0,0.48569,0.44331,0.40907,0.15221,0.35151,0.36452,0.25985,0.09287,2.59099,4.52006,2.55245,2.61348,0,0.000973861,0.000973861,0.000973861
44,1055.91,1.44207,2.38828,0.99523,1.57923,0,0.57625,0.37004,0.41966,0.17014,0.52385,0.35234,0.33931,0.12841,2.35225,4.52906,2.15468,2.38041,0,0.000957358,0.000957358,0.000957358
45,1079.27,1.39954,2.40028,0.99147,1.5309,0,0.46493,0.44242,0.39299,0.15527,0.44762,0.408,0.36171,0.12688,2.39176,3.83312,2.64465,2.39494,0,0.000940855,0.000940855,0.000940855
46,1102.84,1.37696,2.3426,0.96915,1.53037,0,0.67023,0.4193,0.45268,0.17043,0.61233,0.39113,0.39648,0.13432,2.42285,3.90861,2.39833,2.57111,0,0.000924352,0.000924352,0.000924352
47,1126.32,1.3314,2.30774,0.93852,1.49729,0,0.55514,0.4903,0.47305,0.19315,0.56935,0.43238,0.41395,0.14248,2.40949,4.10401,2.25296,2.45429,0,0.000907848,0.000907848,0.000907848
48,1150.16,1.33944,2.34334,0.96094,1.48726,0,0.60626,0.44764,0.49051,0.20801,0.61265,0.39926,0.41393,0.15289,2.39289,4.67735,1.82436,2.47221,0,0.000891345,0.000891345,0.000891345
49,1173.66,1.3354,2.24228,0.92157,1.5003,0,0.60262,0.49418,0.52842,0.18742,0.45532,0.46797,0.39969,0.13656,2.33639,4.69242,1.66684,2.37622,0,0.000874842,0.000874842,0.000874842
50,1197.26,1.26379,2.22157,0.88031,1.44864,0,0.56633,0.4309,0.44913,0.17678,0.5384,0.4111,0.38765,0.13907,2.47986,4.36604,2.29043,2.5395,0,0.000858338,0.000858338,0.000858338
51,1220.98,1.31074,2.2193,0.8812,1.45325,0,0.47949,0.54398,0.49018,0.19802,0.47761,0.46796,0.41202,0.13617,2.35042,4.63383,2.02863,2.56864,0,0.000841835,0.000841835,0.000841835
52,1244.68,1.26123,2.16024,0.86137,1.44533,0,0.51275,0.49725,0.47151,0.18346,0.62098,0.37282,0.39772,0.13208,2.45392,4.43965,2.11579,2.53984,0,0.000825332,0.000825332,0.000825332
53,1268.29,1.24284,2.16929,0.84617,1.42067,0,0.53266,0.46351,0.51421,0.1884,0.50932,0.37971,0.40305,0.13169,2.53873,4.4583,1.83801,2.67031,0,0.000808828,0.000808828,0.000808828
54,1291.96,1.26811,2.16959,0.84849,1.4303,0,0.59426,0.49861,0.49364,0.19392,0.48053,0.45575,0.37909,0.13042,2.50479,4.98943,2.1423,2.77754,0,0.000792325,0.000792325,0.000792325
55,1315.66,1.23514,2.16323,0.86438,1.40285,0,0.61072,0.49819,0.52493,0.20265,0.5462,0.44371,0.42597,0.14417,2.41187,4.92633,2.14194,2.69208,0,0.000775822,0.000775822,0.000775822
56,1339.3,1.18346,2.03786,0.80084,1.36381,0,0.66152,0.43362,0.49661,0.18963,0.60174,0.3232,0.34794,0.12368,2.50892,4.95576,2.44151,2.60983,0,0.000759318,0.000759318,0.000759318
57,1362.83,1.18986,2.03909,0.78846,1.38604,0,0.63823,0.45138,0.46157,0.18307,0.58364,0.3587,0.35976,0.12901,2.48712,5.15225,2.03224,2.64168,0,0.000742815,0.000742815,0.000742815
58,1386.42,1.14714,2.05578,0.77453,1.36183,0,0.62091,0.43478,0.47389,0.18511,0.60016,0.44371,0.44774,0.1433,2.43077,4.76832,2.29434,2.65425,0,0.000726312,0.000726312,0.000726312
59,1409.98,1.14556,2.03379,0.76177,1.35191,0,0.76616,0.37345,0.46499,0.18072,0.66982,0.36319,0.40042,0.1397,2.38786,3.94357,1.98995,2.61595,0,0.000709809,0.000709809,0.000709809
60,1433.68,1.1466,2.02965,0.76416,1.33833,0,0.55437,0.45769,0.46877,0.18035,0.50915,0.37849,0.35802,0.12585,2.33856,4.32471,2.09148,2.55434,0,0.000693305,0.000693305,0.000693305
