epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,635.11,2.39974,4.0383,2.45723,2.44037,0,0.27774,0.29098,0.188,0.06125,0.24983,0.2616,0.1286,0.04045,2.41314,4.03758,2.3648,2.45345,0,0.00143595,0.00143595,0.00143595
30,656.829,2.3712,4.01761,2.43946,2.41767,0,0.2584,0.32614,0.23078,0.07508,0.30405,0.26634,0.19141,0.06039,2.33583,3.96314,2.57688,2.41953,0,0.0014277,0.0014277,0.0014277
31,677.986,2.4053,4.03356,2.46818,2.4442,0,0.18248,0.43792,0.1628,0.0502,0.1578,0.24175,0.09431,0.03016,2.45755,4.0582,2.49337,2.49975,0,0.00141945,0.00141945,0.00141945
32,699.882,2.36059,3.9862,2.39036,2.37893,0,0.32352,0.34753,0.2683,0.09427,0.29544,0.28723,0.23688,0.07148,2.37196,3.8624,2.13715,2.40735,0,0.0014112,0.0014112,0.0014112
33,721.499,2.32621,3.93897,2.38749,2.34467,0,0.34921,0.24405,0.196,0.06957,0.33664,0.20065,0.15147,0.05154,2.49282,3.95309,2.46913,2.44783,0,0.00140295,0.00140295,0.00140295
34,742.741,2.33249,3.92835,2.3613,2.38492,0,0.3072,0.36816,0.24358,0.08067,0.22151,0.31194,0.1652,0.0494,2.34545,3.82244,2.25761,2.38065,0,0.0013947,0.0013947,0.0013947
35,763.869,2.31675,3.93715,2.31697,2.36554,0,0.22568,0.40118,0.23163,0.07632,0.24448,0.28862,0.19184,0.05562,2.3669,3.87617,2.45912,2.40568,0,0.00138644,0.00138644,0.00138644
36,785.147,2.3418,3.89931,2.29641,2.36337,0,0.29322,0.3214,0.27481,0.09742,0.24161,0.22643,0.23348,0.07057,2.41292,3.92045,2.18089,2.38029,0,0.00137819,0.00137819,0.00137819
37,806.55,2.25558,3.89866,2.28439,2.30766,0,0.28588,0.435,0.25533,0.09246,0.22369,0.37878,0.20101,0.06105,2.38203,3.76754,2.18318,2.38384,0,0.00136994,0.00136994,0.00136994
38,827.964,2.29104,3.89935,2.28077,2.27878,0,0.33305,0.4103,0.3033,0.11369,0.26939,0.33537,0.22158,0.06989,2.35124,3.78684,2.13324,2.33745,0,0.00136169,0.00136169,0.00136169
39,849.324,2.33492,3.82841,2.2382,2.32979,0,0.39728,0.41619,0.33882,0.12373,0.32175,0.35765,0.25966,0.08461,2.38326,3.78908,2.12906,2.41014,0,0.00135344,0.00135344,0.00135344
40,870.702,2.28976,3.84081,2.29897,2.32023,0,0.40378,0.45151,0.33841,0.11211,0.34691,0.34599,0.28094,0.07347,2.28799,3.76938,2.15597,2.33278,0,0.00134519,0.00134519,0.00134519
41,891.988,2.26484,3.82786,2.22426,2.29416,0,0.31935,0.43374,0.29591,0.0994,0.23962,0.38478,0.23408,0.0617,2.28857,3.76645,2.28955,2.35005,0,0.00133693,0.00133693,0.00133693
42,913.051,2.30204,3.86903,2.25911,2.30014,0,0.33831,0.38698,0.26537,0.09739,0.32433,0.33306,0.22486,0.07397,2.3782,3.74192,2.15363,2.38742,0,0.00132868,0.00132868,0.00132868
43,934.552,2.26312,3.76521,2.18975,2.29817,0,0.32546,0.44723,0.27691,0.10152,0.29573,0.3483,0.231,0.07562,2.33928,3.67833,2.13428,2.28511,0,0.00132043,0.00132043,0.00132043
