experiment,mode,name,model,run_name,run_path,best_pt,smoke_run,training_seed,fourier_enabled,image_fourier_enabled,feature_fourier_enabled,clean_light_aug_enabled,default_hook_enabled,model_variant,model_yaml_key,model_yaml,augmentation_family,augmentation_setting,augmentation_args_json,fourier_module_policy,params_million,baseline_augmentation_policy,hidden_albumentations_disabled,preprocessing_policy,image_fourier_policy,image_fourier_sigmas,image_fourier_alphas,fourier_policy,fourier_sigma,fourier_alpha,ultralytics_version,train_epochs_requested,train_patience,actual_train_image_files,actual_valid_image_files,actual_test_image_files,offline_augmentation_enabled,offline_augmentation_family,offline_augmentation_setting,offline_transform_order,offline_augmentation_splits,offline_fourier_splits,offline_transform_summary,fourier_transform_summary,train_args,train_time_min,full_val_box_map50,full_val_mask_map50,labeled_val_box_map50,labeled_val_mask_map50,labeled_val_mask_map50_95,labeled_val_gt_instances,labeled_val_pred_boxes,labeled_val_pred_masks,labeled_val_mask_count_mae,labeled_val_disease_box_miss_rate,labeled_val_disease_mask_miss_rate,healthy_val_images,healthy_val_mask_fp_rate,healthy_val_fp_masks_per_image,healthy_aware_labeled_val_mask_map50,full_test_box_map50,full_test_box_map50_95,full_test_mask_map50,full_test_mask_map50_95,labeled_test_box_map50,labeled_test_mask_map50,labeled_test_mask_map50_95,test_gt_instances,test_pred_boxes,test_pred_masks,test_mask_count_mae,labeled_test_gt_instances,labeled_test_pred_boxes,labeled_test_pred_masks,labeled_test_mask_count_mae,labeled_test_mask_count_exact,labeled_test_disease_box_miss_rate,labeled_test_disease_mask_miss_rate,healthy_test_images,healthy_test_mask_fp_rate,healthy_test_box_fp_rate,healthy_test_fp_masks_total,healthy_test_fp_masks_per_image,healthy_test_avg_fp_confidence,healthy_aware_labeled_test_mask_map50,epochs_ran,best_epoch_by_mask_map50,first_train_seg_loss,best_val_mask_map50,best_val_mask_map50_95,last_val_mask_map50,last_val_mask_map50_95,last_train_seg_loss,last_val_seg_loss,seg_loss_gap_val_minus_train,split_policy,seed,train_images,valid_images,test_images,train_specimens,valid_specimens,test_specimens,train_test_group_overlap,train_valid_group_overlap,valid_test_group_overlap,train_labeled_images,train_healthy_empty_images,train_bg_mask_images,train_wssv_mask_images,train_coinfection_images,train_mask_instances,valid_labeled_images,valid_healthy_empty_images,valid_bg_mask_images,valid_wssv_mask_images,valid_coinfection_images,valid_mask_instances,test_labeled_images,test_healthy_empty_images,test_bg_mask_images,test_wssv_mask_images,test_coinfection_images,test_mask_instances,split_manifest_csv,split_summary_csv,split_fingerprint,base_params_million,split_policy_description
stratified_grouped_specimen_yolo11n-seg_A1_translate_conservative_augmentation_only,A1,Stratified grouped-specimen split | yolo11n-seg | A1 | translate conservative | augmentation only,yolo11n-seg.pt,yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_A1_translate_conservative_augmentation_only,/content/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_A1_translate_conservative_augmentation_only,/content/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_A1_translate_conservative_augmentation_only/weights/best.pt,False,42,False,False,False,False,False,baseline,,,translate,conservative,"{""translate"": 0.05}",none,2.877,offline_translate_conservative,True,none,none,,,none,,,8.4.62,100,40,905,115,129,True,translate,conservative,augmentation_only,train,none,"{""order"": ""augmentation_only"", ""augmentation"": {""family"": ""translate"", ""seed"": 42042, ""summary"": {""images_seen"": 905, ""images_changed"": 905, ""images_skipped"": 0, ""family"": ""translate"", ""args"": {""translate"": 0.05}, ""seed"": 42042}}, ""fourier"": null, ""augmentation_splits"": [""train""], ""fourier_splits"": []}",null,"{""auto_augment"": null, ""erasing"": 0.0, ""mosaic"": 0.0, ""mixup"": 0.0, ""cutmix"": 0.0, ""copy_paste"": 0.0, ""fliplr"": 0.0, ""flipud"": 0.0, ""hsv_h"": 0.0, ""hsv_s"": 0.0, ""hsv_v"": 0.0, ""degrees"": 0.0, ""translate"": 0.0, ""scale"": 0.0, ""shear"": 0.0, ""perspective"": 0.0, ""multi_scale"": false, ""bgr"": 0.0, ""close_mosaic"": 0}",36.04,0.35559774085498236,0.34393082780517775,0.36785140808970374,0.3500999102100988,0.12459567391705409,102,38,38,0.6351351351351351,0.5540540540540541,0.5540540540540541,41,0.14634146341463414,0.14634146341463414,0.2206008990037705,0.30653852237966045,0.10803382970331592,0.27575179026649543,0.07728185106657162,0.3605875572689321,0.3213863517900478,0.088142184769476,119,68,68,0.4819121447028424,119,52,52,0.524621212121212,0.4318181818181818,0.45454545454545453,0.45454545454545453,41,0.3902439024390244,0.3902439024390244,16,0.3902439024390244,0.5594437327235937,0.18794908275826658,56,29,4.87084,0.34904,0.12431,0.26665,0.10412,0.24106,12.0652,11.824140000000002,stratified_grouped_specimen,42,905,115,129,331,40,45,0,0,0,584,321,326,431,173,810,74,41,42,53,21,102,88,41,50,64,26,119,/content/shrimp_only_fourier_n1_translate_two_value_fourier_order_offline_colab_seed42/reports/split_manifests/stratified_grouped_specimen_seed42_manifest.csv,/content/shrimp_only_fourier_n1_translate_two_value_fourier_order_offline_colab_seed42/reports/split_manifests/stratified_grouped_specimen_seed42_summary.csv,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,2.877,Disease-stratified split where all images from one shrimp stay together.
stratified_grouped_specimen_yolo11n-seg_A2_translate_conservative_augmentation_then_fourier,A2,Stratified grouped-specimen split | yolo11n-seg | A2 | translate conservative | offline augmentation -> offline W1,yolo11n-seg.pt,yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_A2_translate_conservative_augmentation_then_fourier,/content/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_A2_translate_conservative_augmentation_then_fourier,/content/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_A2_translate_conservative_augmentation_then_fourier/weights/best.pt,False,42,True,True,False,False,False,baseline,,,translate,conservative,"{""translate"": 0.05}",none,2.877,offline_translate_conservative,True,highpass_s50_a0p10,highpass_s50_a0p10,50,0.1,highpass_s50_a0p10,50,0.1,8.4.62,100,40,905,115,129,True,translate,conservative,augmentation_then_fourier,train,train|valid|test,"{""order"": ""augmentation_then_fourier"", ""augmentation"": {""family"": ""translate"", ""seed"": 42042, ""summary"": {""images_seen"": 905, ""images_changed"": 905, ""images_skipped"": 0, ""family"": ""translate"", ""args"": {""translate"": 0.05}, ""seed"": 42042}}, ""fourier"": {""policy"": ""highpass_s50_a0p10"", ""sigmas"": [50], ""alphas"": [0.1], ""passes"": [{""pass"": 1, ""sigma"": 50.0, ""alpha"": 0.1, ""summary"": {""train"": {""images"": 905, ""failed"": 0, ""device"": ""cuda"", ""batch_size"": 4, ""gpu_images"": 905, ""cpu_images"": 0, ""oom_splits"": 0}, ""valid"": {""images"": 115, ""failed"": 0, ""device"": ""cuda"", ""batch_size"": 4, ""gpu_images"": 115, ""cpu_images"": 0, ""oom_splits"": 0}, ""test"": {""images"": 129, ""failed"": 0, ""device"": ""cuda"", ""batch_size"": 4, ""gpu_images"": 129, ""cpu_images"": 0, ""oom_splits"": 0}}}]}, ""augmentation_splits"": [""train""], ""fourier_splits"": [""train"", ""valid"", ""test""]}","{""policy"": ""highpass_s50_a0p10"", ""sigmas"": [50], ""alphas"": [0.1], ""passes"": [{""pass"": 1, ""sigma"": 50.0, ""alpha"": 0.1, ""summary"": {""train"": {""images"": 905, ""failed"": 0, ""device"": ""cuda"", ""batch_size"": 4, ""gpu_images"": 905, ""cpu_images"": 0, ""oom_splits"": 0}, ""valid"": {""images"": 115, ""failed"": 0, ""device"": ""cuda"", ""batch_size"": 4, ""gpu_images"": 115, ""cpu_images"": 0, ""oom_splits"": 0}, ""test"": {""images"": 129, ""failed"": 0, ""device"": ""cuda"", ""batch_size"": 4, ""gpu_images"": 129, ""cpu_images"": 0, ""oom_splits"": 0}}}]}","{""auto_augment"": null, ""erasing"": 0.0, ""mosaic"": 0.0, ""mixup"": 0.0, ""cutmix"": 0.0, ""copy_paste"": 0.0, ""fliplr"": 0.0, ""flipud"": 0.0, ""hsv_h"": 0.0, ""hsv_s"": 0.0, ""hsv_v"": 0.0, ""degrees"": 0.0, ""translate"": 0.0, ""scale"": 0.0, ""shear"": 0.0, ""perspective"": 0.0, ""multi_scale"": false, ""bgr"": 0.0, ""close_mosaic"": 0}",58.11,0.3688818492380136,0.31816911158528804,0.38544158474757667,0.330643871087398,0.1273605509143653,102,41,41,0.5405405405405406,0.5,0.5,41,0.07317073170731707,0.07317073170731707,0.22129977088963926,0.27229915408924854,0.08728938010641811,0.24232262556475612,0.06836865051114278,0.2983346112347106,0.2657996751608468,0.07337294443184875,119,66,66,0.5245478036175711,119,55,55,0.6439393939393939,0.3181818181818182,0.5340909090909091,0.5340909090909091,41,0.21951219512195122,0.21951219512195122,11,0.2682926829268293,0.5625697428529913,0.13153784958804562,89,49,4.87934,0.32504,0.12328,0.25906,0.09333,0.0049,18.9609,18.956,stratified_grouped_specimen,42,905,115,129,331,40,45,0,0,0,584,321,326,431,173,810,74,41,42,53,21,102,88,41,50,64,26,119,/content/shrimp_only_fourier_n1_translate_two_value_fourier_order_offline_colab_seed42/reports/split_manifests/stratified_grouped_specimen_seed42_manifest.csv,/content/shrimp_only_fourier_n1_translate_two_value_fourier_order_offline_colab_seed42/reports/split_manifests/stratified_grouped_specimen_seed42_summary.csv,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,2.877,Disease-stratified split where all images from one shrimp stay together.
stratified_grouped_specimen_yolo11n-seg_A3_translate_conservative_fourier_then_augmentation,A3,Stratified grouped-specimen split | yolo11n-seg | A3 | translate conservative | offline W1 -> offline augmentation,yolo11n-seg.pt,yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_A3_translate_conservative_fourier_then_augmentation,/content/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_A3_translate_conservative_fourier_then_augmentation,/content/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_A3_translate_conservative_fourier_then_augmentation/weights/best.pt,False,42,True,True,False,False,False,baseline,,,translate,conservative,"{""translate"": 0.05}",none,2.877,offline_translate_conservative,True,highpass_s50_a0p10,highpass_s50_a0p10,50,0.1,highpass_s50_a0p10,50,0.1,8.4.62,100,40,905,115,129,True,translate,conservative,fourier_then_augmentation,train,train|valid|test,"{""order"": ""fourier_then_augmentation"", ""augmentation"": {""family"": ""translate"", ""seed"": 42042, ""summary"": {""images_seen"": 905, ""images_changed"": 905, ""images_skipped"": 0, ""family"": ""translate"", ""args"": {""translate"": 0.05}, ""seed"": 42042}}, ""fourier"": {""policy"": ""highpass_s50_a0p10"", ""sigmas"": [50], ""alphas"": [0.1], ""passes"": [{""pass"": 1, ""sigma"": 50.0, ""alpha"": 0.1, ""summary"": {""train"": {""images"": 905, ""failed"": 0, ""device"": ""cuda"", ""batch_size"": 4, ""gpu_images"": 905, ""cpu_images"": 0, ""oom_splits"": 0}, ""valid"": {""images"": 115, ""failed"": 0, ""device"": ""cuda"", ""batch_size"": 4, ""gpu_images"": 115, ""cpu_images"": 0, ""oom_splits"": 0}, ""test"": {""images"": 129, ""failed"": 0, ""device"": ""cuda"", ""batch_size"": 4, ""gpu_images"": 129, ""cpu_images"": 0, ""oom_splits"": 0}}}]}, ""augmentation_splits"": [""train""], ""fourier_splits"": [""train"", ""valid"", ""test""]}","{""policy"": ""highpass_s50_a0p10"", ""sigmas"": [50], ""alphas"": [0.1], ""passes"": [{""pass"": 1, ""sigma"": 50.0, ""alpha"": 0.1, ""summary"": {""train"": {""images"": 905, ""failed"": 0, ""device"": ""cuda"", ""batch_size"": 4, ""gpu_images"": 905, ""cpu_images"": 0, ""oom_splits"": 0}, ""valid"": {""images"": 115, ""failed"": 0, ""device"": ""cuda"", ""batch_size"": 4, ""gpu_images"": 115, ""cpu_images"": 0, ""oom_splits"": 0}, ""test"": {""images"": 129, ""failed"": 0, ""device"": ""cuda"", ""batch_size"": 4, ""gpu_images"": 129, ""cpu_images"": 0, ""oom_splits"": 0}}}]}","{""auto_augment"": null, ""erasing"": 0.0, ""mosaic"": 0.0, ""mixup"": 0.0, ""cutmix"": 0.0, ""copy_paste"": 0.0, ""fliplr"": 0.0, ""flipud"": 0.0, ""hsv_h"": 0.0, ""hsv_s"": 0.0, ""hsv_v"": 0.0, ""degrees"": 0.0, ""translate"": 0.0, ""scale"": 0.0, ""shear"": 0.0, ""perspective"": 0.0, ""multi_scale"": false, ""bgr"": 0.0, ""close_mosaic"": 0}",35.5,0.3960903321854412,0.3503020235551081,0.4361818645663559,0.38345327295152165,0.11406282213485627,102,44,44,0.6081081081081081,0.47297297297297297,0.47297297297297297,41,0.21951219512195122,0.2682926829268293,0.26015070208797514,0.33058761804621695,0.1215069862868915,0.2855181765156628,0.07703092914947933,0.37399817874720254,0.3193592054917506,0.0869034825597601,119,73,73,0.46770025839793283,119,64,64,0.5833333333333334,0.3977272727272727,0.45454545454545453,0.45454545454545453,41,0.1951219512195122,0.1951219512195122,9,0.21951219512195122,0.5141880247328017,0.20249852552131453,55,15,4.88627,0.34976,0.10515,0.26212,0.08841,0.26918,14.2891,14.019919999999999,stratified_grouped_specimen,42,905,115,129,331,40,45,0,0,0,584,321,326,431,173,810,74,41,42,53,21,102,88,41,50,64,26,119,/content/shrimp_only_fourier_n1_translate_two_value_fourier_order_offline_colab_seed42/reports/split_manifests/stratified_grouped_specimen_seed42_manifest.csv,/content/shrimp_only_fourier_n1_translate_two_value_fourier_order_offline_colab_seed42/reports/split_manifests/stratified_grouped_specimen_seed42_summary.csv,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,2.877,Disease-stratified split where all images from one shrimp stay together.
stratified_grouped_specimen_yolo11n-seg_A4_translate_stronger_augmentation_only,A4,Stratified grouped-specimen split | yolo11n-seg | A4 | translate stronger | augmentation only,yolo11n-seg.pt,yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_A4_translate_stronger_augmentation_only,/content/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_A4_translate_stronger_augmentation_only,/content/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_A4_translate_stronger_augmentation_only/weights/best.pt,False,42,False,False,False,False,False,baseline,,,translate,stronger,"{""translate"": 0.08}",none,2.877,offline_translate_stronger,True,none,none,,,none,,,8.4.62,100,40,905,115,129,True,translate,stronger,augmentation_only,train,none,"{""order"": ""augmentation_only"", ""augmentation"": {""family"": ""translate"", ""seed"": 42042, ""summary"": {""images_seen"": 905, ""images_changed"": 905, ""images_skipped"": 0, ""family"": ""translate"", ""args"": {""translate"": 0.08}, ""seed"": 42042}}, ""fourier"": null, ""augmentation_splits"": [""train""], ""fourier_splits"": []}",null,"{""auto_augment"": null, ""erasing"": 0.0, ""mosaic"": 0.0, ""mixup"": 0.0, ""cutmix"": 0.0, ""copy_paste"": 0.0, ""fliplr"": 0.0, ""flipud"": 0.0, ""hsv_h"": 0.0, ""hsv_s"": 0.0, ""hsv_v"": 0.0, ""degrees"": 0.0, ""translate"": 0.0, ""scale"": 0.0, ""shear"": 0.0, ""perspective"": 0.0, ""multi_scale"": false, ""bgr"": 0.0, ""close_mosaic"": 0}",30.41,0.3353979854585438,0.2960841275366172,0.3632156601742865,0.31583082955699515,0.10164541535316766,102,149,149,0.9752252252252253,0.10810810810810811,0.10810810810810811,41,0.4878048780487805,0.6097560975609756,0.20207286427463966,0.39798699041126334,0.14130013199433272,0.3359098544811501,0.11061149869006552,0.4533585855665344,0.3782454827902801,0.12334184912523816,119,215,215,0.9366925064599483,119,164,164,0.793560606060606,0.3409090909090909,0.06818181818181818,0.06818181818181818,41,0.7317073170731707,0.7317073170731707,51,1.2439024390243902,0.44426089875838337,0.25516944805265995,49,18,4.80193,0.30553,0.10337,0.18478,0.05728,0.28474,11.9073,11.62256,stratified_grouped_specimen,42,905,115,129,331,40,45,0,0,0,584,321,326,431,173,810,74,41,42,53,21,102,88,41,50,64,26,119,/content/shrimp_only_fourier_n1_translate_two_value_fourier_order_offline_colab_seed42/reports/split_manifests/stratified_grouped_specimen_seed42_manifest.csv,/content/shrimp_only_fourier_n1_translate_two_value_fourier_order_offline_colab_seed42/reports/split_manifests/stratified_grouped_specimen_seed42_summary.csv,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,2.877,Disease-stratified split where all images from one shrimp stay together.
