,precision,recall,f1-score,support
Healthy,89.33333333333333,93.05555555555556,91.15646258503402,72.0
BG,87.8048780487805,80.0,83.72093023255815,45.0
WSSV,90.9090909090909,85.71428571428571,88.23529411764706,70.0
WSSV_BG,81.57894736842105,93.93939393939394,87.32394366197182,33.0
accuracy,88.18181818181819,88.18181818181819,88.18181818181819,0.8818181818181818
macro avg,87.40656241490645,88.1773088023088,87.60915764930274,220.0
weighted avg,88.35891426813353,88.18181818181819,88.13121770758151,220.0
