mode,normalized_radius,mean,std,count,se
original,0.005208333333333333,463980390.7139226,204434070.5441244,288,12046393.132276617
original,0.015625,1208561.8685084032,532612.5886420358,288,31384.497764508727
original,0.026041666666666668,272636.51827373635,79359.73274274736,288,4676.3170979623965
original,0.036458333333333336,102529.90574728005,43309.32274885004,288,2552.0263170257226
original,0.046875,51367.54777196681,21588.188607473017,288,1272.0962131565286
original,0.057291666666666664,30673.463041024082,11279.715885780872,288,664.6636327244399
original,0.06770833333333333,21474.710774574705,8675.314886937413,288,511.1978321235043
original,0.078125,15387.145964995188,6906.872292042861,288,406.991352874415
original,0.08854166666666667,11209.697123295708,5045.006227479944,288,297.27984288161923
original,0.09895833333333333,8837.206290777567,4290.279628042439,288,252.807151514609
original,0.109375,6760.381160278911,3361.0856080458198,288,198.05386879980915
original,0.11979166666666667,5376.583708729225,2951.9531697283383,288,173.9455086716693
original,0.13020833333333334,4298.294754687415,2264.236240957379,288,133.42140001577502
original,0.140625,3475.024366533279,1983.1337380675245,288,116.8572761822811
original,0.15104166666666666,2929.745162676315,1774.0486411314594,288,104.53681869156958
original,0.16145833333333334,2508.930705624008,1660.142578201015,288,97.82483956520468
original,0.171875,2196.639081135806,1480.4486475286576,288,87.23627315549723
original,0.18229166666666666,1943.088851647139,1388.9883839985266,288,81.84692544289187
original,0.19270833333333334,1696.2402780714292,1298.9542954772717,288,76.54161589861444
original,0.203125,1502.6543525018815,1199.8031987349439,288,70.69908149289915
original,0.21354166666666666,1344.8715719024638,1147.5778351437789,288,67.62167243079534
original,0.22395833333333334,1222.1664013189807,1073.402359023112,288,63.25084058390664
original,0.234375,1104.5696103672883,1004.3813345046931,288,59.183737710455226
original,0.24479166666666666,1047.5543698230056,1001.8886572103769,288,59.036855292278496
original,0.2552083333333333,970.8428145565354,952.1920014458857,288,56.10845176783139
original,0.265625,870.8378260612022,892.843618425553,288,52.61131476065358
original,0.2760416666666667,819.326528535928,874.6085106472236,288,51.53680073017655
original,0.2864583333333333,776.2257723525091,861.9816939173529,288,50.792758418968944
original,0.296875,721.7774918848795,843.3169114270456,288,49.69292556327992
original,0.3072916666666667,684.9808673970942,808.363458273966,288,47.633273584077514
original,0.3177083333333333,654.6777068980897,796.164141289527,288,46.9144219369491
original,0.328125,620.3687075605467,767.9201121968985,288,45.25012656199678
original,0.3385416666666667,588.1298728669497,763.5236978785523,288,44.99106536387943
original,0.3489583333333333,571.1092124253257,745.1724450005456,288,43.909707417770456
original,0.359375,551.4644352487059,741.4466511903825,288,43.690162912064686
