regime,no_fourier_labeled_map50,w1_labeled_map50,w1_delta,no_fourier_healthy_fp,w1_healthy_fp,seed
"No augmentation, hook off",0.235374,0.345105,0.109731,0.390244,0.634146,42
"Strong augmentation, hook off",0.595095,0.577126,-0.017969,0.341463,0.317073,42
