stratum,metric,w1_effect_without_aug_mean,w1_effect_without_aug_std,w1_effect_without_aug_count,w1_effect_after_matched_aug_mean,w1_effect_after_matched_aug_std,w1_effect_after_matched_aug_count,order_effect_strong_then_w1_minus_w1_then_strong_mean,order_effect_strong_then_w1_minus_w1_then_strong_std,order_effect_strong_then_w1_minus_w1_then_strong_count
BG,background_gradient_mean,0.01767117405931155,0.007617515844065724,72,0.009053714431097938,0.005542076245460938,72,0.0009467323026102451,0.001093526947418026,72
BG,clipping_fraction,0.006911756727430556,0.005281575575582491,72,-2.9500325520845267e-06,0.0017703400637690315,72,0.0015795785409432868,0.001676860534635445,72
BG,gradient_mean,0.017619956905643146,0.0075634241904503205,72,0.009053408892618285,0.005493666409217511,72,0.000950827237425579,0.0010873351806353587,72
BG,high_energy_share,0.0017395205496660417,0.0013876577382909761,72,0.0003490803309256062,0.00030275292243218407,72,2.1161258865600288e-05,3.404903330957896e-05,72
BG,laplacian_variance,0.008730338071472943,0.008302311170347982,72,0.0016055101316144122,0.0015931849274261807,72,5.889257186532227e-05,0.000239573470978712,72
BG,lesion_gradient_mean,0.015343294789393743,0.005059485748148775,72,0.01178125830160247,0.004424339813237793,72,0.0019252189538545078,0.0026900428956280727,72
BG,low_energy_share,-0.002648317747334391,0.0018313138408762213,72,-0.0008126667744303968,0.0006824206770810804,72,-6.5983521819846e-05,6.679138668846932e-05,72
BG,mid_energy_share,0.0009090613318688077,0.000474094321138964,72,0.00046354118835065423,0.00042474161228566473,72,4.485044303656985e-05,5.160164502780296e-05,72
Healthy,background_gradient_mean,0.007566828280687332,0.0003111682309656686,72,0.004712478982077705,0.0020449620390347537,72,0.0009188708952731556,0.0011647815419799502,72
Healthy,clipping_fraction,0.0006053331163194445,0.0007720438394144147,72,0.0005324187102141204,0.0025999244971105723,72,0.0001789460358796281,0.0015206560535082929,72
Healthy,gradient_mean,0.007566828280687332,0.0003111682309656686,72,0.004712478982077705,0.0020449620390347537,72,0.0009188708952731556,0.0011647815419799502,72
Healthy,high_energy_share,0.00012386825943414093,5.250575961448883e-05,72,4.1752468632798924e-05,1.8513293700351034e-05,72,1.3813705163559695e-05,1.1359538031299535e-05,72
Healthy,laplacian_variance,0.00048144569154828787,0.00015408526038203412,72,0.000179637598396059,8.98838065475876e-05,72,3.3215662875186856e-05,1.7315086488141077e-05,72
Healthy,lesion_gradient_mean,,,0,,,0,,,0
Healthy,low_energy_share,-0.00036377864480628225,0.00010988436932590099,72,-0.00020704166405036449,9.739205378486532e-05,72,-4.470463075196798e-05,3.382092757964709e-05,72
Healthy,mid_energy_share,0.00023979159276124503,6.935196370341783e-05,72,0.00016533485194187403,8.639252140105212e-05,72,3.084675097236095e-05,2.8198369745063133e-05,72
WSSV,background_gradient_mean,0.007888743033011755,0.0005487316974566394,72,0.004530519001289374,0.0019416526626879439,72,0.0012517967261373997,0.0007801645337376567,72
WSSV,clipping_fraction,2.6719835069444447e-05,4.1121312215648376e-05,72,0.00032203956886574003,0.0012821965390835775,72,0.0005362164532696761,0.001077317367358989,72
WSSV,gradient_mean,0.007885988180836042,0.0005510280722246421,72,0.0045345610318084555,0.0019358482020147305,72,0.0012529115709993574,0.0007779923374774282,72
WSSV,high_energy_share,0.0001052534209466734,7.241809312041363e-05,72,4.126668244862191e-05,3.08196646527615e-05,72,1.6514445905120223e-05,1.8072961111203775e-05,72
WSSV,laplacian_variance,0.0004622400738298893,0.00028850349508889454,72,0.00018864430078085407,0.00012884229277964262,72,4.58608927955437e-05,3.670558465484352e-05,72
WSSV,lesion_gradient_mean,0.007773019373416901,0.0010861796128815628,72,0.0060185762122273445,0.0015027740563457535,72,0.0015341985660294692,0.0011365941662124384,72
WSSV,low_energy_share,-0.00034200181711230293,0.00018251378068137643,72,-0.00018890221929916993,0.00012196372120019217,72,-5.95831168144474e-05,6.572553469421916e-05,72
WSSV,mid_energy_share,0.00023685807949721586,0.00011059644439568805,72,0.0001476232577161961,9.743898997835714e-05,72,4.305113132062629e-05,4.985231966125844e-05,72
WSSV_BG,background_gradient_mean,0.010821624348560968,0.00590197476106837,72,0.00627819509504156,0.0048140670454493075,72,0.0010911396238952875,0.0012958730187189918,72
WSSV_BG,clipping_fraction,0.0019801161024305554,0.004205130245549755,72,0.00020480685763888935,0.0022042198659335,72,0.001133897569444445,0.001793755416752528,72
WSSV_BG,gradient_mean,0.010841994856794676,0.005839091852041059,72,0.006328384805884626,0.004782698996039266,72,0.0010843503081964122,0.0012844326784656034,72
WSSV_BG,high_energy_share,0.0007120388350550053,0.0011103133626836213,72,0.00017080642215945197,0.0002731748567385592,72,2.9019508915917862e-05,4.0787544747277425e-05,72
WSSV_BG,laplacian_variance,0.0028351590735837817,0.005054942779762468,72,0.0006668468211298912,0.0010795833011226581,72,4.655244952623939e-05,0.00011385235008573145,72
WSSV_BG,lesion_gradient_mean,0.013195320963859558,0.003521364527141315,72,0.010883342164258162,0.003601937973409005,72,0.001215626382165485,0.002295044038438326,72
WSSV_BG,low_energy_share,-0.0012766571501458175,0.0015071136710251558,72,-0.0005259203583776338,0.0006161269317125295,72,-7.858318164373645e-05,8.306681634729961e-05,72
WSSV_BG,mid_energy_share,0.0005646118516330318,0.0003987751593681907,72,0.00035508674103827996,0.00036971360607014885,72,4.958701616944555e-05,5.104771773674777e-05,72
