stratum,mode,mean_intensity_mean,mean_intensity_std,mean_intensity_count,pixel_std_mean,pixel_std_std,pixel_std_count,clipping_fraction_mean,clipping_fraction_std,clipping_fraction_count,laplacian_variance_mean,laplacian_variance_std,laplacian_variance_count,gradient_mean_mean,gradient_mean_std,gradient_mean_count,lesion_gradient_mean_mean,lesion_gradient_mean_std,lesion_gradient_mean_count,background_gradient_mean_mean,background_gradient_mean_std,background_gradient_mean_count,low_energy_share_mean,low_energy_share_std,low_energy_share_count,mid_energy_share_mean,mid_energy_share_std,mid_energy_share_count,high_energy_share_mean,high_energy_share_std,high_energy_share_count
BG,original,0.4198859433333079,0.03488871149892098,72,0.11873511224985123,0.019377238438017943,72,0.018664822048611113,0.01476329850553521,72,0.04465922856858621,0.042937703895485575,72,0.19345822433630624,0.10255942033687819,72,0.2230217270553112,0.06846337670966071,72,0.19329803250730038,0.10299111019620322,72,0.9863680236235938,0.00969167347850495,72,0.0049070993720230285,0.0026726878487062086,72,0.008724775452595195,0.007178213833554705,72
BG,strong_only,0.45030646791888607,0.11398974483522892,72,0.11079826878590716,0.03422584288686456,72,0.09555484347873264,0.10096397197785642,72,0.008079001052263064,0.008131992209132076,72,0.11029819761299425,0.06568400857567049,72,0.21485713827941152,0.0897933385372766,72,0.1095138459932059,0.06600775906611688,72,0.9955011056999273,0.003512131474046417,72,0.0027578740587500213,0.0021862888780161322,72,0.0017410309430795157,0.0015135040690788092,72
BG,strong_then_w1,0.4489253782149818,0.11394685858799795,72,0.11191041834859385,0.034240596879714626,72,0.09713147198712385,0.10160585313443106,72,0.009743403755742798,0.009799806558044114,72,0.12030243374303812,0.07070476973733479,72,0.2285636155348685,0.09511327346131672,72,0.11951429272691409,0.07108378747506719,72,0.9946224554036771,0.004193214841554712,72,0.0032662656901372455,0.002589736285363936,72,0.0021112725328707223,0.0018282650174548647,72
BG,w1_only,0.41808879375457764,0.03493491558477273,72,0.12107796097795169,0.020161845094643728,72,0.025576578776041668,0.020038173006345136,72,0.05338956664005915,0.051238876227108474,72,0.2110781812419494,0.11010388043577306,72,0.23836502184470496,0.07349040531373936,72,0.21096920656661192,0.11058985625892533,72,0.9837197058762595,0.011522677917247287,72,0.005816160703891836,0.003146713119376074,72,0.010464296002261238,0.008565550853034882,72
BG,w1_then_strong,0.44912330247461796,0.11373943974189127,72,0.11177508010425502,0.0342728031195112,72,0.09555189344618055,0.10076755165388993,72,0.009684511183877476,0.00971422038364919,72,0.11935160650561254,0.0710743651301694,72,0.226638396581014,0.09354161408505679,72,0.11856756042430384,0.07144876761988014,72,0.9946884389254969,0.004191905350462241,72,0.003221415247100676,0.002607528775608964,72,0.0020901112740051215,0.0018153975626947092,72
Healthy,original,0.4282371501127879,0.0422111134806537,72,0.09797414516409238,0.008141798287563232,72,0.0009803602430555555,0.0013275924720464287,72,0.002076163946185261,0.000771079993121197,72,0.056234036261836685,0.007375029454494478,72,,,0,0.056234036261836685,0.007375029454494478,72,0.9982579897710304,0.0005658762125273924,72,0.0012454212867873847,0.00040775236208414944,72,0.0004966649797699186,0.00020372277335773794,72
Healthy,strong_only,0.4322671923372481,0.10723983039696049,72,0.09378220539333092,0.028716976645002657,72,0.07653079562717013,0.10647903815284282,72,0.0008827568463958516,0.0004654358845529935,72,0.047109071993165545,0.018470196623090678,72,,,0,0.047109071993165545,0.018470196623090678,72,0.9987263186162095,0.0005792425806772363,72,0.0010588568526534456,0.0004897620653937117,72,0.00021482605023516257,0.00011096084593074076,72
Healthy,strong_then_w1,0.4308724171585507,0.10719501472006801,72,0.09439788965715303,0.028802747428002668,72,0.07724216037326388,0.10685870703174224,72,0.0010956101076670974,0.0005527801823915748,72,0.052740421870516405,0.01965886499278061,72,,,0,0.052740421870516405,0.01965886499278061,72,0.9984745723214071,0.0006781418273272843,72,0.0012550384555676806,0.0005716200402053823,72,0.0002703922240315212,0.00013405380418080162,72
Healthy,w1_only,0.42629145582516986,0.04223790540086473,72,0.09860172495245934,0.008200940698367451,72,0.001585693359375,0.0020973083435436523,72,0.002557609637733549,0.0009199042657424403,72,0.06380086454252402,0.007677405551569402,72,,,0,0.06380086454252402,0.007677405551569402,72,0.997894211126224,0.0006721150731804481,72,0.0014852128795486295,0.0004762815381277955,72,0.0006205332392040595,0.00025500643954792286,72
Healthy,w1_then_strong,0.43103523386849296,0.10694612584435338,72,0.09434832358318898,0.02891325434382294,72,0.07706321433738426,0.10676269889824988,72,0.0010623944447919105,0.000553987489744052,72,0.05182155097524325,0.02041799410504328,72,,,0,0.05182155097524325,0.02041799410504328,72,0.9985192769521591,0.0006700351191142068,72,0.0012241917045953197,0.0005692971150114931,72,0.0002565785188679615,0.00012847695246916298,72
WSSV,original,0.46441345910231274,0.12205331382360715,72,0.10932003582517306,0.025134697357873017,72,1.5733506944444444e-05,2.619737095123319e-05,72,0.00201404905722787,0.0013728950206901272,72,0.05706260663767656,0.012800523902287708,72,0.1045369878411293,0.028421579379908867,72,0.056737723449865975,0.012808417324842794,72,0.9983880013469102,0.0008464531537815079,72,0.0011856480208807586,0.0005426701766183715,72,0.00042638243952659654,0.0003070786527217084,72
WSSV,strong_only,0.45188067356745404,0.13713949303701678,72,0.10313402708723313,0.04135882878353893,72,0.04292839898003473,0.08659310627461193,72,0.0009776568222150672,0.0007853409488553119,72,0.04561250931065944,0.017574250695358413,72,0.10197529662400484,0.0339714259032106,72,0.04532891650321997,0.017545000426343556,72,0.9987567025612036,0.0009891021419101626,72,0.001014758336607743,0.0007680046199075983,72,0.00022855758298621085,0.00022989676312036206,72
WSSV,strong_then_w1,0.4504727748119169,0.13708342079271768,72,0.10366966678864425,0.041357987301000085,72,0.04378665500217013,0.08717802204368846,72,0.001212162015791465,0.0009417415334223514,72,0.05139998191346725,0.019183754646150155,72,0.10952807140226166,0.03472234058658864,72,0.051111232230646744,0.01916206550889669,72,0.9985082172250901,0.0011612928717616132,72,0.0012054327256445653,0.000895952954288841,72,0.000286338711339953,0.0002759227795351008,72
WSSV,w1_only,0.46244660516579944,0.12208038959682731,72,0.1099019634226958,0.025231207782821192,72,4.2453342013888884e-05,6.728233155879852e-05,72,0.0024762891310577593,0.001661334660454854,72,0.0649485948185126,0.013277202023789294,72,0.1123100072145462,0.029315453702909545,72,0.06462646648287773,0.013283880301057654,72,0.9980459995297978,0.0010287540202817524,72,0.0014225061003779744,0.0006531135357489902,72,0.0005316358604732699,0.00037941171122114943,72
WSSV,w1_then_strong,0.4506434444338083,0.13694242021023306,72,0.10358795916868581,0.041397538982256135,72,0.04325043854890046,0.08660785813799934,72,0.0011663011229959214,0.0009120669889392468,72,0.05014707034246789,0.019258193327394712,72,0.10799387283623219,0.03488412933668093,72,0.049859435504509345,0.0192327047857935,72,0.9985678003419045,0.0011037050509886332,72,0.001162381594323939,0.0008569904979503887,72,0.00026982426543483275,0.00025969662486059893,72
