filename,stratum,realization,draw_seed,mode,angle,scale,translate_x_px,translate_y_px,hue_delta,sat_gain,val_gain,flipud,fliplr,mean_intensity,pixel_std,clipping_fraction,laplacian_variance,gradient_mean,lesion_gradient_mean,background_gradient_mean,low_energy,low_energy_share,mid_energy,mid_energy_share,high_energy,high_energy_share
Healthy-136-img-1_jpg.rf.fdc35bb6ce35b407deb6c6efb264c819.jpg,Healthy,0,42000000,original,6.8224228509210505,1.4923325002284744,31.985449974781204,-50.38497126353218,7.290250778198242,1.1874924898147583,1.30351722240448,False,False,0.462546706199646,0.10300398617982864,0.0031404622395833333,0.0029390037525445223,0.06638910621404648,,0.06638910621404648,37587968000.0,0.99769578940685,65736996.0,0.0017448542075340424,21082962.0,0.0005596041375693579
Healthy-136-img-1_jpg.rf.fdc35bb6ce35b407deb6c6efb264c819.jpg,Healthy,0,42000000,w1_only,6.8224228509210505,1.4923325002284744,31.985449974781204,-50.38497126353218,7.290250778198242,1.1874924898147583,1.30351722240448,False,False,0.46064457297325134,0.10389482975006104,0.0048868815104166664,0.003545826068148017,0.07436083257198334,,0.07436083257198334,37308522496.0,0.997258136441516,77042288.0,0.002059343104951635,25528410.0,0.0006823753094388678
Healthy-136-img-1_jpg.rf.fdc35bb6ce35b407deb6c6efb264c819.jpg,Healthy,0,42000000,strong_only,6.8224228509210505,1.4923325002284744,31.985449974781204,-50.38497126353218,7.290250778198242,1.1874924898147583,1.30351722240448,False,False,0.4576970040798187,0.13791123032569885,0.219658203125,0.0014002604875713587,0.10586701333522797,,0.10586701333522797,38235107328.0,0.9973429454126944,91831840.0,0.0023953859211792113,10027342.0,0.0002615580157562888
Healthy-136-img-1_jpg.rf.fdc35bb6ce35b407deb6c6efb264c819.jpg,Healthy,0,42000000,w1_then_strong,6.8224228509210505,1.4923325002284744,31.985449974781204,-50.38497126353218,7.290250778198242,1.1874924898147583,1.30351722240448,False,False,0.45653966069221497,0.13958491384983063,0.22046549479166666,0.0016762290615588427,0.11500894278287888,,0.11500894278287888,38116962304.0,0.9968518378865227,108555392.0,0.002838989139917269,11842916.0,0.0003097212334598033
Healthy-136-img-1_jpg.rf.fdc35bb6ce35b407deb6c6efb264c819.jpg,Healthy,0,42000000,strong_then_w1,6.8224228509210505,1.4923325002284744,31.985449974781204,-50.38497126353218,7.290250778198242,1.1874924898147583,1.30351722240448,False,False,0.45624101161956787,0.13898268342018127,0.22044677734375,0.001684812130406499,0.11274699121713638,,0.11274699121713638,38044344320.0,0.9968784794318154,106975944.0,0.0028030977612207414,12169194.0,0.0003188701981191293
Healthy-136-img-1_jpg.rf.fdc35bb6ce35b407deb6c6efb264c819.jpg,Healthy,1,42000001,original,0.08102321510191146,1.0500424901924197,-26.383868296076628,27.69616779376554,5.166452884674072,1.3144044876098633,1.08445405960083,False,True,0.462546706199646,0.10300398617982864,0.0031404622395833333,0.0029390037525445223,0.06638910621404648,,0.06638910621404648,37587968000.0,0.99769578940685,65736996.0,0.0017448542075340424,21082962.0,0.0005596041375693579
Healthy-136-img-1_jpg.rf.fdc35bb6ce35b407deb6c6efb264c819.jpg,Healthy,1,42000001,w1_only,0.08102321510191146,1.0500424901924197,-26.383868296076628,27.69616779376554,5.166452884674072,1.3144044876098633,1.08445405960083,False,True,0.46064457297325134,0.10389482975006104,0.0048868815104166664,0.003545826068148017,0.07436083257198334,,0.07436083257198334,37308522496.0,0.997258136441516,77042288.0,0.002059343104951635,25528410.0,0.0006823753094388678
Healthy-136-img-1_jpg.rf.fdc35bb6ce35b407deb6c6efb264c819.jpg,Healthy,1,42000001,strong_only,0.08102321510191146,1.0500424901924197,-26.383868296076628,27.69616779376554,5.166452884674072,1.3144044876098633,1.08445405960083,False,True,0.4165021479129791,0.0961650088429451,0.2633365885416667,0.0014219426084309816,0.06640475988388062,,0.06640475988388062,30581336064.0,0.9975764551991272,63506000.0,0.0020715932826248598,10787071.0,0.0003518789377822163
Healthy-136-img-1_jpg.rf.fdc35bb6ce35b407deb6c6efb264c819.jpg,Healthy,1,42000001,w1_then_strong,0.08102321510191146,1.0500424901924197,-26.383868296076628,27.69616779376554,5.166452884674072,1.3144044876098633,1.08445405960083,False,True,0.4155641496181488,0.09712987393140793,0.26328938802083335,0.0016968698473647237,0.07296451926231384,,0.07296451926231384,30470105088.0,0.9971900625372615,73079696.0,0.002391667059039585,12777864.0,0.0004181790303792149
Healthy-136-img-1_jpg.rf.fdc35bb6ce35b407deb6c6efb264c819.jpg,Healthy,1,42000001,strong_then_w1,0.08102321510191146,1.0500424901924197,-26.383868296076628,27.69616779376554,5.166452884674072,1.3144044876098633,1.08445405960083,False,True,0.41534560918807983,0.0970916897058487,0.26403483072916667,0.001709053642116487,0.07215427607297897,,0.07215427607297897,30437535744.0,0.9971586294461371,73766520.0,0.0024166516830033116,12964755.0,0.00042473600476849934
Healthy-136-img-1_jpg.rf.fdc35bb6ce35b407deb6c6efb264c819.jpg,Healthy,2,42000002,original,-4.4733025653226255,0.7296831876760698,-26.362838950441983,-14.90475157022621,4.0608296394348145,0.7433426380157471,1.2317547798156738,True,False,0.462546706199646,0.10300398617982864,0.0031404622395833333,0.0029390037525445223,0.06638910621404648,,0.06638910621404648,37587968000.0,0.99769578940685,65736996.0,0.0017448542075340424,21082962.0,0.0005596041375693579
Healthy-136-img-1_jpg.rf.fdc35bb6ce35b407deb6c6efb264c819.jpg,Healthy,2,42000002,w1_only,-4.4733025653226255,0.7296831876760698,-26.362838950441983,-14.90475157022621,4.0608296394348145,0.7433426380157471,1.2317547798156738,True,False,0.46064457297325134,0.10389482975006104,0.0048868815104166664,0.003545826068148017,0.07436083257198334,,0.07436083257198334,37308522496.0,0.997258136441516,77042288.0,0.002059343104951635,25528410.0,0.0006823753094388678
