filename,stratum,realization,metric,w1_effect_without_aug,w1_effect_after_matched_aug,order_effect_strong_then_w1_minus_w1_then_strong
BG-12-img-3_jpg.rf.ac2e62d7b1663a60c0a6e63544fc484a.jpg,BG,3,background_gradient_mean,0.019883841276168823,0.006335116922855377,0.0011666938662528992
BG-12-img-3_jpg.rf.ac2e62d7b1663a60c0a6e63544fc484a.jpg,BG,4,low_energy_share,-0.004285174955535154,-0.0006256572476924793,-9.418375894632014e-05
BG-12-img-3_jpg.rf.ac2e62d7b1663a60c0a6e63544fc484a.jpg,BG,4,mid_energy_share,0.0014099771191671768,0.0002380492058586814,0.00010197005711423072
BG-12-img-3_jpg.rf.ac2e62d7b1663a60c0a6e63544fc484a.jpg,BG,4,high_energy_share,0.002875178483936581,0.00038763719096351207,-7.861706212590209e-06
BG-12-img-3_jpg.rf.ac2e62d7b1663a60c0a6e63544fc484a.jpg,BG,4,clipping_fraction,0.013947753906249999,0.00013916015624999833,0.0011442057291666669
BG-12-img-3_jpg.rf.ac2e62d7b1663a60c0a6e63544fc484a.jpg,BG,4,laplacian_variance,0.009700391441583633,0.0015369150787591934,-3.693532198667526e-05
BG-12-img-3_jpg.rf.ac2e62d7b1663a60c0a6e63544fc484a.jpg,BG,4,gradient_mean,0.019887730479240417,0.00449024885892868,0.0008151978254318237
BG-12-img-3_jpg.rf.ac2e62d7b1663a60c0a6e63544fc484a.jpg,BG,4,lesion_gradient_mean,0.020187795162200928,0.017626821994781494,0.006580948829650879
BG-12-img-3_jpg.rf.ac2e62d7b1663a60c0a6e63544fc484a.jpg,BG,4,background_gradient_mean,0.019883841276168823,0.00442417711019516,0.0007861852645874023
BG-12-img-3_jpg.rf.ac2e62d7b1663a60c0a6e63544fc484a.jpg,BG,5,low_energy_share,-0.004285174955535154,-0.0008981748829679503,-0.00013565472830701086
BG-12-img-3_jpg.rf.ac2e62d7b1663a60c0a6e63544fc484a.jpg,BG,5,mid_energy_share,0.0014099771191671768,0.00040314377619881867,7.56080412113321e-05
BG-12-img-3_jpg.rf.ac2e62d7b1663a60c0a6e63544fc484a.jpg,BG,5,high_energy_share,0.002875178483936581,0.000494870871572491,5.998085227861775e-05
BG-12-img-3_jpg.rf.ac2e62d7b1663a60c0a6e63544fc484a.jpg,BG,5,clipping_fraction,0.013947753906249999,0.0005525716145833334,0.0003873697916666665
BG-12-img-3_jpg.rf.ac2e62d7b1663a60c0a6e63544fc484a.jpg,BG,5,laplacian_variance,0.009700391441583633,0.0033958107233047485,0.00040362030267715454
BG-12-img-3_jpg.rf.ac2e62d7b1663a60c0a6e63544fc484a.jpg,BG,5,gradient_mean,0.019887730479240417,0.01159578561782837,0.002241849899291992
BG-12-img-3_jpg.rf.ac2e62d7b1663a60c0a6e63544fc484a.jpg,BG,5,lesion_gradient_mean,0.020187795162200928,0.01760047674179077,0.002102464437484741
BG-12-img-3_jpg.rf.ac2e62d7b1663a60c0a6e63544fc484a.jpg,BG,5,background_gradient_mean,0.019883841276168823,0.011539652943611145,0.0022431164979934692
