epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,595.646,1.75732,2.75566,1.59679,0.01149,0.74524,0.56017,0.40916,0.43416,0.18653,0.63598,0.38043,0.41283,0.15033,2.36256,4.80114,2.6511,0.01547,0,0.00122141,0.00122141,0.00122141
29,618.899,1.82934,2.77659,1.51443,0.01217,0.72842,0.50622,0.44876,0.45676,0.18056,0.45037,0.36345,0.36021,0.14147,2.19856,3.49828,2.36078,0.01419,0,0.00120491,0.00120491,0.00120491
30,641.792,1.76308,2.70182,1.52178,0.01162,0.71219,0.59796,0.47943,0.47212,0.19821,0.56044,0.45575,0.43106,0.16894,2.19874,3.19015,2.16588,0.014,0,0.0011884,0.0011884,0.0011884
31,664.428,1.78897,2.64281,1.46153,0.0118,0.66642,0.62495,0.39441,0.41344,0.17505,0.65477,0.40528,0.41121,0.14931,2.38793,4.62508,2.82452,0.01597,0,0.0011719,0.0011719,0.0011719
32,687.084,1.77201,2.62322,1.43362,0.0116,0.66347,0.75092,0.45662,0.49917,0.20576,0.71727,0.43012,0.45281,0.18227,2.04871,4.28135,2.37364,0.01344,0,0.0011554,0.0011554,0.0011554
33,710.179,1.70689,2.62569,1.41529,0.01116,0.70252,0.63701,0.48835,0.46654,0.18299,0.57536,0.43789,0.39807,0.14516,2.35603,3.85306,2.34592,0.01556,0,0.00113889,0.00113889,0.00113889
34,732.979,1.75151,2.54488,1.32204,0.01178,0.62856,0.69122,0.45575,0.51645,0.19999,0.68331,0.39441,0.45123,0.15628,2.44922,4.19768,2.0827,0.01621,0,0.00112239,0.00112239,0.00112239
35,756.13,1.72603,2.5175,1.31993,0.01129,0.62927,0.57687,0.45575,0.44316,0.20308,0.55245,0.44682,0.43834,0.17026,2.01472,3.81997,2.36448,0.01254,0,0.00110589,0.00110589,0.00110589
36,778.741,1.69492,2.5312,1.3126,0.01088,0.60303,0.50225,0.42314,0.43983,0.18367,0.52684,0.39441,0.35957,0.14932,2.21383,3.5621,2.38518,0.0137,0,0.00108938,0.00108938,0.00108938
37,802.113,1.7004,2.50777,1.25912,0.01125,0.60658,0.51886,0.42624,0.42758,0.18315,0.47257,0.39946,0.35619,0.15133,2.31462,4.26708,2.29912,0.0152,0,0.00107288,0.00107288,0.00107288
38,825.064,1.65797,2.55423,1.26358,0.01092,0.61289,0.56003,0.51126,0.53284,0.23637,0.49666,0.46079,0.44961,0.18247,2.18187,3.84573,2.06131,0.01367,0,0.00105638,0.00105638,0.00105638
39,847.634,1.68805,2.46022,1.30647,0.01085,0.6185,0.55677,0.50042,0.50944,0.18092,0.53598,0.46524,0.45198,0.14729,2.22893,3.36519,1.89534,0.01422,0,0.00103987,0.00103987,0.00103987
40,870.549,1.65674,2.49822,1.25352,0.0109,0.5887,0.58699,0.44162,0.41814,0.18627,0.56164,0.41615,0.39914,0.16028,2.1618,4.55037,2.38247,0.01368,0,0.00102337,0.00102337,0.00102337
41,893.88,1.62811,2.40865,1.29476,0.01052,0.62839,0.59683,0.51944,0.50537,0.19498,0.68318,0.43317,0.45331,0.1511,2.22802,3.65839,1.96243,0.01352,0,0.00100687,0.00100687,0.00100687
42,916.628,1.59122,2.38864,1.14065,0.01027,0.57432,0.67307,0.41227,0.47962,0.22191,0.62755,0.4014,0.44724,0.15465,1.88647,3.73773,2.00311,0.01218,0,0.000990365,0.000990365,0.000990365
43,938.613,1.61876,2.3651,1.17571,0.01046,0.55979,0.60562,0.41925,0.44685,0.19389,0.54865,0.40334,0.40332,0.16342,2.35305,3.82513,2.15345,0.01573,0,0.000973861,0.000973861,0.000973861
44,961.314,1.53713,2.35413,1.17987,0.00973,0.56996,0.70848,0.45916,0.52281,0.217,0.63185,0.45963,0.46186,0.16993,2.29671,4.35544,2.36157,0.01521,0,0.000957358,0.000957358,0.000957358
45,984.502,1.62306,2.33847,1.12768,0.01051,0.5463,0.55143,0.44488,0.51723,0.22108,0.54361,0.45824,0.46188,0.17121,2.34411,4.49605,2.2545,0.01477,0,0.000940855,0.000940855,0.000940855
46,1007.5,1.57969,2.33372,1.08225,0.01037,0.52992,0.75972,0.45496,0.52699,0.21214,0.77633,0.41227,0.49683,0.17343,2.36442,3.63319,1.97789,0.01567,0,0.000924352,0.000924352,0.000924352
47,1030.11,1.56069,2.29953,1.10327,0.01012,0.53281,0.66491,0.54891,0.5445,0.21527,0.69489,0.49342,0.51563,0.19956,2.12227,3.62575,2.26053,0.01343,0,0.000907848,0.000907848,0.000907848
48,1053.11,1.51715,2.30342,1.17981,0.00956,0.57857,0.66758,0.50738,0.52007,0.21278,0.64235,0.48952,0.47041,0.18133,2.03961,3.61339,2.50255,0.01224,0,0.000891345,0.000891345,0.000891345
49,1075.97,1.5139,2.23746,1.07739,0.00968,0.55696,0.59348,0.45825,0.47248,0.20449,0.64433,0.45186,0.47702,0.17631,2.24421,3.73227,2.09293,0.01371,0,0.000874842,0.000874842,0.000874842
50,1099.17,1.50523,2.25246,1.05834,0.0095,0.54098,0.61472,0.47554,0.50515,0.20381,0.58953,0.43922,0.44746,0.16418,2.3465,4.47509,2.15799,0.01505,0,0.000858338,0.000858338,0.000858338
