split_policy,mode,model,seed,training_seed,params_million,ultralytics_version,fourier_enabled,image_fourier_enabled,feature_fourier_enabled,model_variant,model_yaml,fddem_policy,clean_light_aug_enabled,default_hook_enabled,base_params_million,preprocessing_policy,fourier_policy,fourier_sigma,fourier_alpha,baseline_augmentation_policy,hidden_albumentations_disabled,train_epochs_requested,train_patience,train_images,valid_images,test_images,actual_train_image_files,actual_valid_image_files,actual_test_image_files,train_coinfection_images,valid_coinfection_images,test_coinfection_images,train_bg_mask_images,valid_bg_mask_images,test_bg_mask_images,train_wssv_mask_images,valid_wssv_mask_images,test_wssv_mask_images,train_specimens,valid_specimens,test_specimens,train_test_group_overlap,valid_test_group_overlap,split_manifest_csv,split_fingerprint,epochs_ran,best_epoch_by_mask_map50,train_time_min,full_test_mask_map50,full_test_mask_map50_95,labeled_test_mask_map50,labeled_test_mask_map50_95,healthy_test_mask_fp_rate,healthy_test_fp_masks_per_image,labeled_test_disease_mask_miss_rate,labeled_test_mask_count_mae,healthy_aware_labeled_val_mask_map50,healthy_aware_labeled_test_mask_map50,best_pt,run_path
stratified_grouped_specimen,F3,yolo11n-seg.pt,42,42,3.879,8.4.62,False,False,True,fddem,/kaggle/working/shrimp_only_fourier_learnable_feature_fddem_no_aug_hook_off_seed42/model_yamls/yolo11n-seg-fddem-p3p4p5.yaml,p3p4p5_num_bands2_gamma0_identity,False,False,2.877,none,learnable_feature_fddem,,,none_all_yolo_aug_zero_hidden_hook_off,True,100,40,905,115,129,905,115,129,173,21,26,326,42,50,431,53,64,331,40,45,0,0,/kaggle/working/shrimp_only_fourier_learnable_feature_fddem_no_aug_hook_off_seed42/reports/split_manifests/stratified_grouped_specimen_seed42_manifest.csv,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,57,29,16.37,0.2913794708204914,0.08110640410760664,0.33966865241996186,0.0960023169558391,0.4878048780487805,0.5609756097560976,0.17045454545454544,0.4943181818181818,0.2502051223024618,0.2406040737059929,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_F3_fddem_p3p4p5_identity_no_aug_hook_off/weights/best.pt,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_F3_fddem_p3p4p5_identity_no_aug_hook_off
stratified_grouped_specimen,F0,yolo11n-seg.pt,42,42,2.877,8.4.62,False,False,False,baseline,,none,False,False,2.877,none,none,,,none_all_yolo_aug_zero_hidden_hook_off,True,100,40,905,115,129,905,115,129,173,21,26,326,42,50,431,53,64,331,40,45,0,0,/kaggle/working/shrimp_only_fourier_learnable_feature_fddem_no_aug_hook_off_seed42/reports/split_manifests/stratified_grouped_specimen_seed42_manifest.csv,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,60,13,15.54,0.20694757546035203,0.05336467459069061,0.2353739021716232,0.06055459392297792,0.3902439024390244,0.5609756097560976,0.22727272727272727,0.42992424242424243,0.23264669195580745,0.14076239071559954,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_F0_no_fourier_no_aug_hook_off_baseline/weights/best.pt,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_F0_no_fourier_no_aug_hook_off_baseline
stratified_grouped_specimen,F2,yolo11n-seg.pt,42,42,3.631,8.4.62,False,False,True,fddem,/kaggle/working/shrimp_only_fourier_learnable_feature_fddem_no_aug_hook_off_seed42/model_yamls/yolo11n-seg-fddem-p5.yaml,p5_only_num_bands2_gamma0p05,False,False,2.877,none,learnable_feature_fddem,,,none_all_yolo_aug_zero_hidden_hook_off,True,100,40,905,115,129,905,115,129,173,21,26,326,42,50,431,53,64,331,40,45,0,0,/kaggle/working/shrimp_only_fourier_learnable_feature_fddem_no_aug_hook_off_seed42/reports/split_manifests/stratified_grouped_specimen_seed42_manifest.csv,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,73,33,18.66,0.2573054220345826,0.07927402961449247,0.2945354206526442,0.09001069739420071,0.2926829268292683,0.2926829268292683,0.4659090909090909,0.5681818181818182,0.2042810872522131,0.16697167342426286,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_F2_fddem_p5_no_aug_hook_off/weights/best.pt,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_F2_fddem_p5_no_aug_hook_off
stratified_grouped_specimen,F1,yolo11n-seg.pt,42,42,2.877,8.4.62,True,True,False,baseline,,none,False,False,2.877,fourier_highpass,highpass_s50_a0p10_all_splits,50.0,0.1,none_all_yolo_aug_zero_hidden_hook_off,True,100,40,905,115,129,905,115,129,173,21,26,326,42,50,431,53,64,331,40,45,0,0,/kaggle/working/shrimp_only_fourier_learnable_feature_fddem_no_aug_hook_off_seed42/reports/split_manifests/stratified_grouped_specimen_seed42_manifest.csv,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,50,35,12.82,0.2884311033232961,0.07220340637299909,0.3451051658055371,0.08848411286026592,0.6341463414634146,0.926829268292683,0.19318181818181818,0.8390151515151515,0.19911231682160346,0.2107625013561653,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_F1_fixed_image_highpass_s50_a0p10_no_aug_hook_off/weights/best.pt,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_F1_fixed_image_highpass_s50_a0p10_no_aug_hook_off
