split_policy,mode,model,seed,training_seed,params_million,ultralytics_version,fourier_enabled,image_fourier_enabled,feature_fourier_enabled,augmentation_family,augmentation_setting,augmentation_args_json,image_fourier_policy,image_fourier_sigmas,image_fourier_alphas,offline_hsv_enabled,offline_hsv_seed,offline_transform_order,offline_hsv_splits,offline_fourier_splits,model_variant,model_yaml_key,model_yaml,fourier_module_policy,clean_light_aug_enabled,default_hook_enabled,base_params_million,preprocessing_policy,fourier_policy,fourier_sigma,fourier_alpha,baseline_augmentation_policy,hidden_albumentations_disabled,train_epochs_requested,train_patience,train_images,valid_images,test_images,actual_train_image_files,actual_valid_image_files,actual_test_image_files,train_coinfection_images,valid_coinfection_images,test_coinfection_images,train_bg_mask_images,valid_bg_mask_images,test_bg_mask_images,train_wssv_mask_images,valid_wssv_mask_images,test_wssv_mask_images,train_specimens,valid_specimens,test_specimens,train_test_group_overlap,valid_test_group_overlap,split_manifest_csv,split_fingerprint,epochs_ran,best_epoch_by_mask_map50,train_time_min,full_test_mask_map50,full_test_mask_map50_95,labeled_test_mask_map50,labeled_test_mask_map50_95,healthy_test_mask_fp_rate,healthy_test_fp_masks_per_image,labeled_test_disease_mask_miss_rate,labeled_test_mask_count_mae,healthy_aware_labeled_val_mask_map50,healthy_aware_labeled_test_mask_map50,best_pt,run_path
stratified_grouped_specimen,N4,yolo11n-seg.pt,42,42,2.877,8.4.62,True,True,False,hsv_offline,strong,"{""hsv_h"": 0.02, ""hsv_s"": 0.5, ""hsv_v"": 0.3}",highpass_s50_a0p10,50,0.1,True,42042.0,offline_hsv_then_offline_fourier,train,train|valid|test,baseline,,,none,False,False,2.877,highpass_s50_a0p10,highpass_s50_a0p10,50,0.1,offline_hsv_strong_then_w1,True,100,40,905,115,129,905,115,129,173,21,26,326,42,50,431,53,64,331,40,45,0,0,/kaggle/working/shrimp_only_fourier_n1_hsv_w1_offline_after_hsv_kaggle_seed42/reports/split_manifests/stratified_grouped_specimen_seed42_manifest.csv,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,54,22,32.94,0.2656524662131404,0.08696433043305299,0.324062272880549,0.10438898746001686,0.36585365853658536,0.4878048780487805,0.3181818181818182,0.5625,0.2275017244778553,0.21162463429961773,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_N4_offline_hsv_strong_then_w1/weights/best.pt,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_N4_offline_hsv_strong_then_w1
stratified_grouped_specimen,N3,yolo11n-seg.pt,42,42,2.877,8.4.62,True,True,False,hsv_offline,medium,"{""hsv_h"": 0.01, ""hsv_s"": 0.35, ""hsv_v"": 0.2}",highpass_s50_a0p10,50,0.1,True,42042.0,offline_hsv_then_offline_fourier,train,train|valid|test,baseline,,,none,False,False,2.877,highpass_s50_a0p10,highpass_s50_a0p10,50,0.1,offline_hsv_medium_then_w1,True,100,40,905,115,129,905,115,129,173,21,26,326,42,50,431,53,64,331,40,45,0,0,/kaggle/working/shrimp_only_fourier_n1_hsv_w1_offline_after_hsv_kaggle_seed42/reports/split_manifests/stratified_grouped_specimen_seed42_manifest.csv,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,73,30,44.32,0.30066593835324507,0.07535461556474328,0.3598137398517298,0.09023604709477098,0.34146341463414637,0.4146341463414634,0.2727272727272727,0.4621212121212121,0.20615629322598178,0.2616522468731637,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_N3_offline_hsv_medium_then_w1/weights/best.pt,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_N3_offline_hsv_medium_then_w1
stratified_grouped_specimen,N1,yolo11n-seg.pt,42,42,2.877,8.4.62,True,True,False,none,w1_only,{},highpass_s50_a0p10,50,0.1,False,,offline_fourier_only,none,train|valid|test,baseline,,,none,False,False,2.877,highpass_s50_a0p10,highpass_s50_a0p10,50,0.1,offline_w1_only,True,100,40,905,115,129,905,115,129,173,21,26,326,42,50,431,53,64,331,40,45,0,0,/kaggle/working/shrimp_only_fourier_n1_hsv_w1_offline_after_hsv_kaggle_seed42/reports/split_manifests/stratified_grouped_specimen_seed42_manifest.csv,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,50,35,31.97,0.2884311033232961,0.07220340637299909,0.3451051658055371,0.08848411286026592,0.6341463414634146,0.926829268292683,0.19318181818181818,0.8390151515151515,0.19911231682160346,0.2107625013561653,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_N1_offline_w1_only/weights/best.pt,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_N1_offline_w1_only
stratified_grouped_specimen,N2,yolo11n-seg.pt,42,42,2.877,8.4.62,True,True,False,hsv_offline,mild,"{""hsv_h"": 0.005, ""hsv_s"": 0.2, ""hsv_v"": 0.1}",highpass_s50_a0p10,50,0.1,True,42042.0,offline_hsv_then_offline_fourier,train,train|valid|test,baseline,,,none,False,False,2.877,highpass_s50_a0p10,highpass_s50_a0p10,50,0.1,offline_hsv_mild_then_w1,True,100,40,905,115,129,905,115,129,173,21,26,326,42,50,431,53,64,331,40,45,0,0,/kaggle/working/shrimp_only_fourier_n1_hsv_w1_offline_after_hsv_kaggle_seed42/reports/split_manifests/stratified_grouped_specimen_seed42_manifest.csv,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,70,17,42.68,0.2773972482668884,0.08125976750143457,0.31930754365270714,0.09401177054188889,0.21951219512195122,0.21951219512195122,0.4772727272727273,0.5946969696969697,0.17311996778447666,0.19603056656475445,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_N2_offline_hsv_mild_then_w1/weights/best.pt,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_N2_offline_hsv_mild_then_w1
