split_policy,mode,model,seed,training_seed,params_million,ultralytics_version,fourier_enabled,clean_light_aug_enabled,default_hook_enabled,preprocessing_policy,fourier_policy,fourier_transform,fourier_sigma,fourier_alpha,baseline_augmentation_policy,hidden_albumentations_disabled,train_epochs_requested,train_patience,train_images,valid_images,test_images,actual_train_image_files,actual_valid_image_files,actual_test_image_files,train_coinfection_images,valid_coinfection_images,test_coinfection_images,train_bg_mask_images,valid_bg_mask_images,test_bg_mask_images,train_wssv_mask_images,valid_wssv_mask_images,test_wssv_mask_images,train_specimens,valid_specimens,test_specimens,train_test_group_overlap,valid_test_group_overlap,split_manifest_csv,split_fingerprint,epochs_ran,best_epoch_by_mask_map50,train_time_min,full_test_mask_map50,full_test_mask_map50_95,labeled_test_mask_map50,labeled_test_mask_map50_95,healthy_test_mask_fp_rate,healthy_test_fp_masks_per_image,labeled_test_disease_mask_miss_rate,labeled_test_mask_count_mae,healthy_aware_labeled_val_mask_map50,healthy_aware_labeled_test_mask_map50,best_pt,run_path
stratified_grouped_specimen,G8,yolo11n-seg.pt,42,42,2.877,8.4.62,True,True,True,fourier_highpass,highfreq_damping_s70_a0.100_all_splits,highfreq_damping,70,0.1,clean_light_yolo_aug,False,100,40,905,115,129,905,115,129,173,21,26,326,42,50,431,53,64,331,40,45,0,0,/kaggle/working/shrimp_only_fourier_mode_G_fourier_tuning_seed42/reports/split_manifests/stratified_grouped_specimen_seed42_manifest.csv,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,100,65,29.62,0.44362802799477885,0.16569413439204056,0.4718556556825099,0.17486144492734892,0.4634146341463415,0.7317073170731707,0.03409090909090909,0.3465909090909091,0.4489046854979271,0.40307101044969396,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_G8_highfreq_damping_s70_a0p10_clean_aug_on_hook_on/weights/best.pt,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_G8_highfreq_damping_s70_a0p10_clean_aug_on_hook_on
stratified_grouped_specimen,G4,yolo11n-seg.pt,42,42,2.877,8.4.62,True,True,True,fourier_highpass,highpass_boost_s50_a0.100_all_splits,highpass_boost,50,0.1,clean_light_yolo_aug,False,100,40,905,115,129,905,115,129,173,21,26,326,42,50,431,53,64,331,40,45,0,0,/kaggle/working/shrimp_only_fourier_mode_G_fourier_tuning_seed42/reports/split_manifests/stratified_grouped_specimen_seed42_manifest.csv,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,100,28,30.6,0.5030983427376186,0.16132779082129597,0.5317711903382856,0.17090414924044078,0.24390243902439024,0.2926829268292683,0.10227272727272728,0.4375,0.44752102999072085,0.4701650373449375,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_G4_highpass_s50_a0p10_mode_G_replication/weights/best.pt,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_G4_highpass_s50_a0p10_mode_G_replication
stratified_grouped_specimen,G5,yolo11n-seg.pt,42,42,2.877,8.4.62,True,True,True,fourier_highpass,highpass_boost_s50_a0.150_all_splits,highpass_boost,50,0.15,clean_light_yolo_aug,False,100,40,905,115,129,905,115,129,173,21,26,326,42,50,431,53,64,331,40,45,0,0,/kaggle/working/shrimp_only_fourier_mode_G_fourier_tuning_seed42/reports/split_manifests/stratified_grouped_specimen_seed42_manifest.csv,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,100,96,30.55,0.3613979691306292,0.12923925361397587,0.378244933088153,0.1343183308992226,0.3902439024390244,0.4634146341463415,0.125,0.5113636363636364,0.44015451760043656,0.2949023610260687,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_G5_highpass_s50_a0p15_clean_aug_on_hook_on/weights/best.pt,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_G5_highpass_s50_a0p15_clean_aug_on_hook_on
stratified_grouped_specimen,G3,yolo11n-seg.pt,42,42,2.877,8.4.62,True,True,True,fourier_highpass,highpass_boost_s50_a0.070_all_splits,highpass_boost,50,0.07,clean_light_yolo_aug,False,100,40,905,115,129,905,115,129,173,21,26,326,42,50,431,53,64,331,40,45,0,0,/kaggle/working/shrimp_only_fourier_mode_G_fourier_tuning_seed42/reports/split_manifests/stratified_grouped_specimen_seed42_manifest.csv,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,88,45,26.43,0.46306947971254364,0.15043014320789846,0.5024728897725323,0.16364653734300227,0.3170731707317073,0.4146341463414634,0.125,0.4564393939393939,0.4400048087890504,0.42919360300239195,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_G3_highpass_s50_a0p07_clean_aug_on_hook_on/weights/best.pt,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_G3_highpass_s50_a0p07_clean_aug_on_hook_on
stratified_grouped_specimen,G7,yolo11n-seg.pt,42,42,2.877,8.4.62,True,True,True,fourier_highpass,highfreq_damping_s50_a0.100_all_splits,highfreq_damping,50,0.1,clean_light_yolo_aug,False,100,40,905,115,129,905,115,129,173,21,26,326,42,50,431,53,64,331,40,45,0,0,/kaggle/working/shrimp_only_fourier_mode_G_fourier_tuning_seed42/reports/split_manifests/stratified_grouped_specimen_seed42_manifest.csv,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,89,36,26.28,0.43967909043203696,0.14444006656339425,0.46458961842683905,0.15244996485356072,0.2926829268292683,0.2926829268292683,0.1590909090909091,0.44128787878787884,0.43514933175672915,0.38939329544088186,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_G7_highfreq_damping_s50_a0p10_clean_aug_on_hook_on/weights/best.pt,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_G7_highfreq_damping_s50_a0p10_clean_aug_on_hook_on
stratified_grouped_specimen,G6,yolo11n-seg.pt,42,42,2.877,8.4.62,True,True,True,fourier_highpass,highfreq_damping_s50_a0.050_all_splits,highfreq_damping,50,0.05,clean_light_yolo_aug,False,100,40,905,115,129,905,115,129,173,21,26,326,42,50,431,53,64,331,40,45,0,0,/kaggle/working/shrimp_only_fourier_mode_G_fourier_tuning_seed42/reports/split_manifests/stratified_grouped_specimen_seed42_manifest.csv,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,100,55,30.13,0.46477494913792844,0.15508144477563077,0.4867588434654023,0.16194688171816235,0.2682926829268293,0.2926829268292683,0.125,0.365530303030303,0.4028999705669418,0.42290306002120426,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_G6_highfreq_damping_s50_a0p05_clean_aug_on_hook_on/weights/best.pt,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_G6_highfreq_damping_s50_a0p05_clean_aug_on_hook_on
stratified_grouped_specimen,G2,yolo11n-seg.pt,42,42,2.877,8.4.62,True,True,True,fourier_highpass,highpass_boost_s50_a0.050_all_splits,highpass_boost,50,0.05,clean_light_yolo_aug,False,100,40,905,115,129,905,115,129,173,21,26,326,42,50,431,53,64,331,40,45,0,0,/kaggle/working/shrimp_only_fourier_mode_G_fourier_tuning_seed42/reports/split_manifests/stratified_grouped_specimen_seed42_manifest.csv,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,100,28,31.47,0.3671425412464915,0.12768833171188515,0.4226591289630038,0.14801141234954512,0.34146341463414637,0.34146341463414637,0.13636363636363635,0.4128787878787879,0.37018013528140514,0.3474143026511043,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_G2_highpass_s50_a0p05_clean_aug_on_hook_on/weights/best.pt,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_G2_highpass_s50_a0p05_clean_aug_on_hook_on
