,precision,recall,f1-score,support
Healthy,88.0,91.66666666666666,89.79591836734694,72.0
BG,80.85106382978722,84.44444444444444,82.6086956521739,45.0
WSSV,90.9090909090909,71.42857142857143,80.0,70.0
WSSV_BG,67.44186046511628,87.87878787878788,76.31578947368422,33.0
accuracy,83.18181818181817,83.18181818181817,83.18181818181817,0.8318181818181818
macro avg,81.8005038009986,83.85461760461762,82.18010087330127,220.0
weighted avg,84.37961650602557,83.18181818181817,83.18690217921993,220.0
