source_dataset,n,accuracy_percent,balanced_accuracy_percent,macro_f1_percent
ShrimpDB,47,85.1063829787234,87.91666666666667,64.77154904264879
ShrimpDiseaseDB,173,82.65895953757226,82.3382667831509,81.94567741257045
