,precision,recall,f1-score,support
Healthy,0.88,0.9166666666666666,0.8979591836734694,72.0
BG,0.8085106382978723,0.8444444444444444,0.8260869565217391,45.0
WSSV,0.9090909090909091,0.7142857142857143,0.8,70.0
WSSV_BG,0.6744186046511628,0.8787878787878788,0.7631578947368421,33.0
accuracy,0.8318181818181818,0.8318181818181818,0.8318181818181818,0.8318181818181818
macro avg,0.818005038009986,0.8385461760461761,0.8218010087330127,220.0
weighted avg,0.8437961650602557,0.8318181818181818,0.8318690217921992,220.0
