split_policy,mode,model,seed,training_seed,params_million,ultralytics_version,fourier_enabled,image_fourier_enabled,feature_fourier_enabled,model_variant,model_yaml_key,model_yaml,fourier_module_policy,clean_light_aug_enabled,default_hook_enabled,base_params_million,preprocessing_policy,fourier_policy,fourier_sigma,fourier_alpha,baseline_augmentation_policy,hidden_albumentations_disabled,train_epochs_requested,train_patience,train_images,valid_images,test_images,actual_train_image_files,actual_valid_image_files,actual_test_image_files,train_coinfection_images,valid_coinfection_images,test_coinfection_images,train_bg_mask_images,valid_bg_mask_images,test_bg_mask_images,train_wssv_mask_images,valid_wssv_mask_images,test_wssv_mask_images,train_specimens,valid_specimens,test_specimens,train_test_group_overlap,valid_test_group_overlap,split_manifest_csv,split_fingerprint,epochs_ran,best_epoch_by_mask_map50,train_time_min,full_test_mask_map50,full_test_mask_map50_95,labeled_test_mask_map50,labeled_test_mask_map50_95,healthy_test_mask_fp_rate,healthy_test_fp_masks_per_image,labeled_test_disease_mask_miss_rate,labeled_test_mask_count_mae,healthy_aware_labeled_val_mask_map50,healthy_aware_labeled_test_mask_map50,best_pt,run_path
stratified_grouped_specimen,G2,yolo11n-seg.pt,42,42,3.792,8.4.62,True,False,True,fddem_conservative,g2_fddem_p3p4p5_conservative,/kaggle/working/shrimp_only_fourier_feature_refinement_no_aug_hook_off_seed42/model_yamls/yolo11n-seg-g2_fddem_p3p4p5_conservative.yaml,fddem_p3p4p5_one_band_gamma0p01,False,False,2.877,none,fddem_p3p4p5_one_band_gamma0p01,,,none_all_yolo_aug_zero_hidden_hook_off,True,100,40,905,115,129,905,115,129,173,21,26,326,42,50,431,53,64,331,40,45,0,0,/kaggle/working/shrimp_only_fourier_feature_refinement_no_aug_hook_off_seed42/reports/split_manifests/stratified_grouped_specimen_seed42_manifest.csv,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,69,15,20.77,0.2692060039490324,0.07521294355006071,0.30912939845132836,0.08661892078496924,0.17073170731707318,0.1951219512195122,0.375,0.5397727272727273,0.27778324289722933,0.2088175913559847,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_G2_fddem_p3p4p5_conservative_no_aug_hook_off/weights/best.pt,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_G2_fddem_p3p4p5_conservative_no_aug_hook_off
stratified_grouped_specimen,G3,yolo11n-seg.pt,42,42,3.829,8.4.62,True,False,True,fddem_p4p5,g3_fddem_p4p5_only,/kaggle/working/shrimp_only_fourier_feature_refinement_no_aug_hook_off_seed42/model_yamls/yolo11n-seg-g3_fddem_p4p5_only.yaml,fddem_p4p5_num_bands2_gamma0_identity,False,False,2.877,none,fddem_p4p5_num_bands2_gamma0_identity,,,none_all_yolo_aug_zero_hidden_hook_off,True,100,40,905,115,129,905,115,129,173,21,26,326,42,50,431,53,64,331,40,45,0,0,/kaggle/working/shrimp_only_fourier_feature_refinement_no_aug_hook_off_seed42/reports/split_manifests/stratified_grouped_specimen_seed42_manifest.csv,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,76,38,20.87,0.26570572078841925,0.07424381562208467,0.30044101340075974,0.08639749420383806,0.2682926829268293,0.2682926829268293,0.4090909090909091,0.5662878787878788,0.2591190810517076,0.1839337148050465,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_G3_fddem_p4p5_only_no_aug_hook_off/weights/best.pt,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_G3_fddem_p4p5_only_no_aug_hook_off
stratified_grouped_specimen,G4,yolo11n-seg.pt,42,42,2.892,8.4.62,True,False,True,fem_p3_proto,g4_fem_p3_proto,/kaggle/working/shrimp_only_fourier_feature_refinement_no_aug_hook_off_seed42/model_yamls/yolo11n-seg-g4_fem_p3_proto.yaml,shrimp_fem_p3_proto_gamma0p01,False,False,2.877,none,shrimp_fem_p3_proto_gamma0p01,,,none_all_yolo_aug_zero_hidden_hook_off,True,100,40,905,115,129,905,115,129,173,21,26,326,42,50,431,53,64,331,40,45,0,0,/kaggle/working/shrimp_only_fourier_feature_refinement_no_aug_hook_off_seed42/reports/split_manifests/stratified_grouped_specimen_seed42_manifest.csv,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,73,36,19.9,0.18850761047502151,0.05185548122551137,0.2330958258201714,0.06554583045783223,0.3170731707317073,0.36585365853658536,0.5227272727272727,0.6098484848484849,0.18955362473489468,0.09248699359548554,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_G4_fem_p3_proto_no_aug_hook_off/weights/best.pt,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_G4_fem_p3_proto_no_aug_hook_off
stratified_grouped_specimen,G5,yolo11n-seg.pt,42,42,3.705,8.4.62,True,False,True,frf_pyramid,g5_frf_p3p4p5,/kaggle/working/shrimp_only_fourier_feature_refinement_no_aug_hook_off_seed42/model_yamls/yolo11n-seg-g5_frf_p3p4p5.yaml,shrimp_frf_p3p4p5_gamma0p01,False,False,2.877,none,shrimp_frf_p3p4p5_gamma0p01,,,none_all_yolo_aug_zero_hidden_hook_off,True,100,40,905,115,129,905,115,129,173,21,26,326,42,50,431,53,64,331,40,45,0,0,/kaggle/working/shrimp_only_fourier_feature_refinement_no_aug_hook_off_seed42/reports/split_manifests/stratified_grouped_specimen_seed42_manifest.csv,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,100,1,28.66,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.2,-0.2,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_G5_frf_p3p4p5_no_aug_hook_off/weights/best.pt,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_G5_frf_p3p4p5_no_aug_hook_off
