experiment,class_space,test_images,accuracy_percent,balanced_accuracy_percent,macro_precision_percent,macro_recall_percent,macro_f1_percent,weighted_f1_percent,cohen_kappa_percent
shrimpdb3,3,47,91.48936170212765,91.5530303030303,91.4141414141414,91.5530303030303,91.29374237733371,91.6276925103748,86.94444444444444
combined4,4,220,83.18181818181817,83.85461760461762,81.8005038009986,83.85461760461762,82.18010087330127,83.18690217921993,77.14510332434861
