experiment,mode,name,model,run_name,run_path,best_pt,smoke_run,training_seed,fourier_enabled,image_fourier_enabled,feature_fourier_enabled,clean_light_aug_enabled,default_hook_enabled,model_variant,model_yaml_key,model_yaml,augmentation_family,augmentation_setting,augmentation_args_json,fourier_module_policy,params_million,baseline_augmentation_policy,hidden_albumentations_disabled,preprocessing_policy,image_fourier_policy,image_fourier_sigmas,image_fourier_alphas,fourier_policy,fourier_sigma,fourier_alpha,ultralytics_version,train_epochs_requested,train_patience,actual_train_image_files,actual_valid_image_files,actual_test_image_files,offline_augmentation_enabled,offline_augmentation_family,offline_augmentation_setting,offline_transform_order,offline_augmentation_splits,offline_fourier_splits,offline_transform_summary,fourier_transform_summary,train_args,train_time_min,full_val_box_map50,full_val_mask_map50,labeled_val_box_map50,labeled_val_mask_map50,labeled_val_mask_map50_95,labeled_val_gt_instances,labeled_val_pred_boxes,labeled_val_pred_masks,labeled_val_mask_count_mae,labeled_val_disease_box_miss_rate,labeled_val_disease_mask_miss_rate,healthy_val_images,healthy_val_mask_fp_rate,healthy_val_fp_masks_per_image,healthy_aware_labeled_val_mask_map50,full_test_box_map50,full_test_box_map50_95,full_test_mask_map50,full_test_mask_map50_95,labeled_test_box_map50,labeled_test_mask_map50,labeled_test_mask_map50_95,test_gt_instances,test_pred_boxes,test_pred_masks,test_mask_count_mae,labeled_test_gt_instances,labeled_test_pred_boxes,labeled_test_pred_masks,labeled_test_mask_count_mae,labeled_test_mask_count_exact,labeled_test_disease_box_miss_rate,labeled_test_disease_mask_miss_rate,healthy_test_images,healthy_test_mask_fp_rate,healthy_test_box_fp_rate,healthy_test_fp_masks_total,healthy_test_fp_masks_per_image,healthy_test_avg_fp_confidence,healthy_aware_labeled_test_mask_map50,epochs_ran,best_epoch_by_mask_map50,first_train_seg_loss,best_val_mask_map50,best_val_mask_map50_95,last_val_mask_map50,last_val_mask_map50_95,last_train_seg_loss,last_val_seg_loss,seg_loss_gap_val_minus_train,split_policy,seed,train_images,valid_images,test_images,train_specimens,valid_specimens,test_specimens,train_test_group_overlap,train_valid_group_overlap,valid_test_group_overlap,train_labeled_images,train_healthy_empty_images,train_bg_mask_images,train_wssv_mask_images,train_coinfection_images,train_mask_instances,valid_labeled_images,valid_healthy_empty_images,valid_bg_mask_images,valid_wssv_mask_images,valid_coinfection_images,valid_mask_instances,test_labeled_images,test_healthy_empty_images,test_bg_mask_images,test_wssv_mask_images,test_coinfection_images,test_mask_instances,split_manifest_csv,split_summary_csv,split_fingerprint,base_params_million,split_policy_description
stratified_grouped_specimen_yolo11n-seg_A1_erasing_erase0p10_augmentation_only,A1,Stratified grouped-specimen split | yolo11n-seg | A1 | erasing erase0p10 | augmentation only,yolo11n-seg.pt,yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_A1_erasing_erase0p10_augmentation_only,/content/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_A1_erasing_erase0p10_augmentation_only,/content/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_A1_erasing_erase0p10_augmentation_only/weights/best.pt,False,42,False,False,False,False,False,baseline,,,erasing,erase0p10,"{""erasing"": 0.1}",none,2.877,offline_erasing_erase0p10,True,none,none,,,none,,,8.4.62,100,40,905,115,129,True,erasing,erase0p10,augmentation_only,train,none,"{""order"": ""augmentation_only"", ""augmentation"": {""family"": ""erasing"", ""seed"": 42042, ""summary"": {""images_changed"": 905, ""seed"": 42042, ""erasing"": 0.1}}, ""fourier"": null, ""augmentation_splits"": [""train""], ""fourier_splits"": []}",null,"{""auto_augment"": null, ""erasing"": 0.0, ""mosaic"": 0.0, ""mixup"": 0.0, ""cutmix"": 0.0, ""copy_paste"": 0.0, ""fliplr"": 0.0, ""flipud"": 0.0, ""hsv_h"": 0.0, ""hsv_s"": 0.0, ""hsv_v"": 0.0, ""translate"": 0.0, ""scale"": 0.0, ""shear"": 0.0, ""perspective"": 0.0, ""multi_scale"": false, ""bgr"": 0.0, ""close_mosaic"": 0}",38.37,0.3899811004818492,0.3277187203158905,0.4252223156498632,0.3547136682302113,0.11924445560566918,102,73,73,0.5292792792792792,0.28378378378378377,0.28378378378378377,41,0.24390243902439024,0.3170731707317073,0.2612918927962407,0.3085006387416008,0.10943859642308096,0.28975406084134053,0.08124432360329897,0.37254076871280967,0.3384502820487839,0.09384295566519003,119,120,120,0.5568475452196382,119,97,97,0.5549242424242424,0.38636363636363635,0.2727272727272727,0.2727272727272727,41,0.36585365853658536,0.36585365853658536,23,0.5609756097560976,0.5375590142996415,0.23320961316482233,61,21,4.97893,0.33133,0.11153,0.24332,0.08865,0.16423,12.9814,12.81717,stratified_grouped_specimen,42,905,115,129,331,40,45,0,0,0,584,321,326,431,173,810,74,41,42,53,21,102,88,41,50,64,26,119,/content/shrimp_only_fourier_n1_erasing_two_value_fourier_order_offline_colab_seed42/reports/split_manifests/stratified_grouped_specimen_seed42_manifest.csv,/content/shrimp_only_fourier_n1_erasing_two_value_fourier_order_offline_colab_seed42/reports/split_manifests/stratified_grouped_specimen_seed42_summary.csv,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,2.877,Disease-stratified split where all images from one shrimp stay together.
stratified_grouped_specimen_yolo11n-seg_A2_erasing_erase0p10_augmentation_then_fourier,A2,Stratified grouped-specimen split | yolo11n-seg | A2 | erasing erase0p10 | offline augmentation -> offline W1,yolo11n-seg.pt,yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_A2_erasing_erase0p10_augmentation_then_fourier,/content/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_A2_erasing_erase0p10_augmentation_then_fourier,/content/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_A2_erasing_erase0p10_augmentation_then_fourier/weights/best.pt,False,42,True,True,False,False,False,baseline,,,erasing,erase0p10,"{""erasing"": 0.1}",none,2.877,offline_erasing_erase0p10,True,highpass_s50_a0p10,highpass_s50_a0p10,50,0.1,highpass_s50_a0p10,50,0.1,8.4.62,100,40,905,115,129,True,erasing,erase0p10,augmentation_then_fourier,train,train|valid|test,"{""order"": ""augmentation_then_fourier"", ""augmentation"": {""family"": ""erasing"", ""seed"": 42042, ""summary"": {""images_changed"": 905, ""seed"": 42042, ""erasing"": 0.1}}, ""fourier"": {""policy"": ""highpass_s50_a0p10"", ""sigmas"": [50], ""alphas"": [0.1], ""passes"": [{""pass"": 1, ""sigma"": 50.0, ""alpha"": 0.1, ""summary"": {""train"": {""images"": 905, ""failed"": 0, ""device"": ""cuda"", ""batch_size"": 4, ""gpu_images"": 905, ""cpu_images"": 0, ""oom_splits"": 0}, ""valid"": {""images"": 115, ""failed"": 0, ""device"": ""cuda"", ""batch_size"": 4, ""gpu_images"": 115, ""cpu_images"": 0, ""oom_splits"": 0}, ""test"": {""images"": 129, ""failed"": 0, ""device"": ""cuda"", ""batch_size"": 4, ""gpu_images"": 129, ""cpu_images"": 0, ""oom_splits"": 0}}}]}, ""augmentation_splits"": [""train""], ""fourier_splits"": [""train"", ""valid"", ""test""]}","{""policy"": ""highpass_s50_a0p10"", ""sigmas"": [50], ""alphas"": [0.1], ""passes"": [{""pass"": 1, ""sigma"": 50.0, ""alpha"": 0.1, ""summary"": {""train"": {""images"": 905, ""failed"": 0, ""device"": ""cuda"", ""batch_size"": 4, ""gpu_images"": 905, ""cpu_images"": 0, ""oom_splits"": 0}, ""valid"": {""images"": 115, ""failed"": 0, ""device"": ""cuda"", ""batch_size"": 4, ""gpu_images"": 115, ""cpu_images"": 0, ""oom_splits"": 0}, ""test"": {""images"": 129, ""failed"": 0, ""device"": ""cuda"", ""batch_size"": 4, ""gpu_images"": 129, ""cpu_images"": 0, ""oom_splits"": 0}}}]}","{""auto_augment"": null, ""erasing"": 0.0, ""mosaic"": 0.0, ""mixup"": 0.0, ""cutmix"": 0.0, ""copy_paste"": 0.0, ""fliplr"": 0.0, ""flipud"": 0.0, ""hsv_h"": 0.0, ""hsv_s"": 0.0, ""hsv_v"": 0.0, ""translate"": 0.0, ""scale"": 0.0, ""shear"": 0.0, ""perspective"": 0.0, ""multi_scale"": false, ""bgr"": 0.0, ""close_mosaic"": 0}",30.59,0.3702498143090175,0.2660702187721661,0.38776815730180664,0.2734956688001339,0.08894893445348948,102,108,108,0.8085585585585586,0.35135135135135137,0.35135135135135137,41,0.0975609756097561,0.12195121951219512,0.1706089406085276,0.26574770733641634,0.07815040342947713,0.22761453812567736,0.051853740418800406,0.30115730174161504,0.26239748544950714,0.0587750005506108,119,164,164,0.7958656330749354,119,150,150,1.0075757575757576,0.26136363636363635,0.3181818181818182,0.3181818181818182,41,0.2926829268292683,0.2926829268292683,14,0.34146341463414637,0.5115281237023217,0.1350231321605197,46,12,5.03981,0.28126,0.06961,0.16109,0.04931,0.38697,8.72859,8.34162,stratified_grouped_specimen,42,905,115,129,331,40,45,0,0,0,584,321,326,431,173,810,74,41,42,53,21,102,88,41,50,64,26,119,/content/shrimp_only_fourier_n1_erasing_two_value_fourier_order_offline_colab_seed42/reports/split_manifests/stratified_grouped_specimen_seed42_manifest.csv,/content/shrimp_only_fourier_n1_erasing_two_value_fourier_order_offline_colab_seed42/reports/split_manifests/stratified_grouped_specimen_seed42_summary.csv,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,2.877,Disease-stratified split where all images from one shrimp stay together.
stratified_grouped_specimen_yolo11n-seg_A3_erasing_erase0p10_fourier_then_augmentation,A3,Stratified grouped-specimen split | yolo11n-seg | A3 | erasing erase0p10 | offline W1 -> offline augmentation,yolo11n-seg.pt,yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_A3_erasing_erase0p10_fourier_then_augmentation,/content/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_A3_erasing_erase0p10_fourier_then_augmentation,/content/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_A3_erasing_erase0p10_fourier_then_augmentation/weights/best.pt,False,42,True,True,False,False,False,baseline,,,erasing,erase0p10,"{""erasing"": 0.1}",none,2.877,offline_erasing_erase0p10,True,highpass_s50_a0p10,highpass_s50_a0p10,50,0.1,highpass_s50_a0p10,50,0.1,8.4.62,100,40,905,115,129,True,erasing,erase0p10,fourier_then_augmentation,train,train|valid|test,"{""order"": ""fourier_then_augmentation"", ""augmentation"": {""family"": ""erasing"", ""seed"": 42042, ""summary"": {""images_changed"": 905, ""seed"": 42042, ""erasing"": 0.1}}, ""fourier"": {""policy"": ""highpass_s50_a0p10"", ""sigmas"": [50], ""alphas"": [0.1], ""passes"": [{""pass"": 1, ""sigma"": 50.0, ""alpha"": 0.1, ""summary"": {""train"": {""images"": 905, ""failed"": 0, ""device"": ""cuda"", ""batch_size"": 4, ""gpu_images"": 905, ""cpu_images"": 0, ""oom_splits"": 0}, ""valid"": {""images"": 115, ""failed"": 0, ""device"": ""cuda"", ""batch_size"": 4, ""gpu_images"": 115, ""cpu_images"": 0, ""oom_splits"": 0}, ""test"": {""images"": 129, ""failed"": 0, ""device"": ""cuda"", ""batch_size"": 4, ""gpu_images"": 129, ""cpu_images"": 0, ""oom_splits"": 0}}}]}, ""augmentation_splits"": [""train""], ""fourier_splits"": [""train"", ""valid"", ""test""]}","{""policy"": ""highpass_s50_a0p10"", ""sigmas"": [50], ""alphas"": [0.1], ""passes"": [{""pass"": 1, ""sigma"": 50.0, ""alpha"": 0.1, ""summary"": {""train"": {""images"": 905, ""failed"": 0, ""device"": ""cuda"", ""batch_size"": 4, ""gpu_images"": 905, ""cpu_images"": 0, ""oom_splits"": 0}, ""valid"": {""images"": 115, ""failed"": 0, ""device"": ""cuda"", ""batch_size"": 4, ""gpu_images"": 115, ""cpu_images"": 0, ""oom_splits"": 0}, ""test"": {""images"": 129, ""failed"": 0, ""device"": ""cuda"", ""batch_size"": 4, ""gpu_images"": 129, ""cpu_images"": 0, ""oom_splits"": 0}}}]}","{""auto_augment"": null, ""erasing"": 0.0, ""mosaic"": 0.0, ""mixup"": 0.0, ""cutmix"": 0.0, ""copy_paste"": 0.0, ""fliplr"": 0.0, ""flipud"": 0.0, ""hsv_h"": 0.0, ""hsv_s"": 0.0, ""hsv_v"": 0.0, ""translate"": 0.0, ""scale"": 0.0, ""shear"": 0.0, ""perspective"": 0.0, ""multi_scale"": false, ""bgr"": 0.0, ""close_mosaic"": 0}",37.6,0.3685189491721938,0.28165883733283226,0.3963574536658201,0.2993561504966731,0.10697925383386539,102,48,48,0.6306306306306306,0.4864864864864865,0.4864864864864865,41,0.12195121951219512,0.12195121951219512,0.18265652404094904,0.29639294315649556,0.10269641745617313,0.20586855994486986,0.05563904362069392,0.33584022047972073,0.23361790154205245,0.06250051938999593,119,59,59,0.6059431524547804,119,45,45,0.7291666666666667,0.25,0.5909090909090909,0.5909090909090909,41,0.2926829268292683,0.2926829268292683,14,0.34146341463414637,0.4820203057357243,0.07925491188942864,56,10,4.99112,0.31378,0.10756,0.20976,0.0722,0.22641,10.8447,10.61829,stratified_grouped_specimen,42,905,115,129,331,40,45,0,0,0,584,321,326,431,173,810,74,41,42,53,21,102,88,41,50,64,26,119,/content/shrimp_only_fourier_n1_erasing_two_value_fourier_order_offline_colab_seed42/reports/split_manifests/stratified_grouped_specimen_seed42_manifest.csv,/content/shrimp_only_fourier_n1_erasing_two_value_fourier_order_offline_colab_seed42/reports/split_manifests/stratified_grouped_specimen_seed42_summary.csv,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,2.877,Disease-stratified split where all images from one shrimp stay together.
