,precision,recall,f1-score,support
Healthy,0.9444444444444444,0.8360655737704918,0.8869565217391304,61.0
BG,0.9230769230769231,0.8275862068965517,0.8727272727272727,29.0
WSSV,0.88,0.88,0.88,50.0
WSSV_BG,0.7674418604651163,1.0,0.868421052631579,33.0
accuracy,0.8786127167630058,0.8786127167630058,0.8786127167630058,0.8786127167630058
macro avg,0.8787408069966209,0.8859129451667609,0.8770262117744956,173.0
weighted avg,0.888473544946189,0.8786127167630058,0.8790250489712137,173.0
