,precision,recall,f1-score,support
Healthy,0.9285714285714286,0.8524590163934426,0.8888888888888888,61.0
BG,0.96,0.8275862068965517,0.8888888888888888,29.0
WSSV,0.8775510204081632,0.86,0.8686868686868687,50.0
WSSV_BG,0.7674418604651163,1.0,0.868421052631579,33.0
accuracy,0.8786127167630058,0.8786127167630058,0.8786127167630058,0.8786127167630058
macro avg,0.8833910773611771,0.8850113058224985,0.8787214247740562,173.0
weighted avg,0.8883583211480587,0.8786127167630058,0.8791458853825754,173.0
