Model,Backend,Loss,Runs,Completed Runs,Best Epoch Mean,Best Epoch Std,Best Epoch Min,Best Epoch Max,Best Val Loss Mean,Best Val Loss Std,Best Val Loss Min,Best Val Loss Max,Best Val Macro F1 Mean,Best Val Macro F1 Std,Best Val Macro F1 Min,Best Val Macro F1 Max,Best Val Top1 Mean,Best Val Top1 Std,Best Val Top1 Min,Best Val Top1 Max,Val Accuracy Mean,Val Accuracy Std,Val Accuracy Min,Val Accuracy Max,Val Precision Mean,Val Precision Std,Val Precision Min,Val Precision Max,Val Recall Mean,Val Recall Std,Val Recall Min,Val Recall Max,Val F1-Score Mean,Val F1-Score Std,Val F1-Score Min,Val F1-Score Max,Val Cohen Kappa Mean,Val Cohen Kappa Std,Val Cohen Kappa Min,Val Cohen Kappa Max,Test Accuracy Mean,Test Accuracy Std,Test Accuracy Min,Test Accuracy Max,Test Precision Mean,Test Precision Std,Test Precision Min,Test Precision Max,Test Recall Mean,Test Recall Std,Test Recall Min,Test Recall Max,Test F1-Score Mean,Test F1-Score Std,Test F1-Score Min,Test F1-Score Max,Cohen Kappa Mean,Cohen Kappa Std,Cohen Kappa Min,Cohen Kappa Max,Inference Time (s) Mean,Inference Time (s) Std,Inference Time (s) Min,Inference Time (s) Max,FPS Mean,FPS Std,FPS Min,FPS Max,Latency (ms) Mean,Latency (ms) Std,Latency (ms) Min,Latency (ms) Max
convnext_tiny,timm,ASL,3,3,29.0,0.0,29,29,0.429587,0.0,0.429587,0.429587,0.881047,0.0,0.881047,0.881047,0.8895,0.0,0.8895,0.8895,0.8895,0.0,0.8895,0.8895,0.8863,0.0,0.8863,0.8863,0.8779,0.0,0.8779,0.8779,0.8809999999999999,1.1102230246251565e-16,0.881,0.881,0.8481,0.0,0.8481,0.8481,0.7919,0.0,0.7919,0.7919,0.7719999999999999,1.1102230246251565e-16,0.772,0.772,0.7615,0.0,0.7615,0.7615,0.7655,0.0,0.7655,0.7655,0.7122,0.0,0.7122,0.7122,6.933433333333333,0.22110735451861913,6.6217,7.1105,24.98,0.8154753215150045,24.33,26.13,40.07776666666667,1.2781057346279667,38.2758,41.1013
convnext_tiny,timm,Baseline CE,3,3,29.0,0.0,29,29,0.463389,0.0,0.463389,0.463389,0.881047,0.0,0.881047,0.881047,0.8895,0.0,0.8895,0.8895,0.8895,0.0,0.8895,0.8895,0.8863,0.0,0.8863,0.8863,0.8779,0.0,0.8779,0.8779,0.8809999999999999,1.1102230246251565e-16,0.881,0.881,0.8481,0.0,0.8481,0.8481,0.7919,0.0,0.7919,0.7919,0.7719999999999999,1.1102230246251565e-16,0.772,0.772,0.7615,0.0,0.7615,0.7615,0.7655,0.0,0.7655,0.7655,0.7122,0.0,0.7122,0.7122,7.900166666666667,1.103592202259915,7.0832,9.4603,22.293333333333333,2.83262344047979,18.29,24.42,45.665600000000005,6.37906234541305,40.9435,54.6836
yolo26m-cls,yolo,ASL,3,3,29.0,0.0,29,29,0.49876000000000004,5.551115123125783e-17,0.49876,0.49876,0.824388,0.0,0.824388,0.824388,0.8372,0.0,0.8372,0.8372,0.8372,0.0,0.8372,0.8372,0.8278,0.0,0.8278,0.8278,0.8239,0.0,0.8239,0.8239,0.8244000000000001,1.1102230246251565e-16,0.8244,0.8244,0.7772,0.0,0.7772,0.7772,0.8786,0.0,0.8786,0.8786,0.8834,0.0,0.8834,0.8834,0.8850000000000001,1.1102230246251565e-16,0.885,0.885,0.8786999999999999,1.1102230246251565e-16,0.8787,0.8787,0.8343000000000002,1.1102230246251565e-16,0.8343,0.8343,11.1136,0.38389692192913827,10.6554,11.5949,15.586666666666666,0.5389702115042057,14.92,16.24,64.24043333333334,2.218955365832209,61.5919,67.0223
yolo26m-cls,yolo,Baseline CE,3,3,27.0,0.0,27,27,0.62158,0.0,0.62158,0.62158,0.812637,0.0,0.812637,0.812637,0.8256,0.0,0.8256,0.8256,0.8256,0.0,0.8256,0.8256,0.8205,0.0,0.8205,0.8205,0.8097,0.0,0.8097,0.8097,0.8126000000000001,1.1102230246251565e-16,0.8126,0.8126,0.7608,0.0,0.7608,0.7608,0.8786,0.0,0.8786,0.8786,0.8786999999999999,1.1102230246251565e-16,0.8787,0.8787,0.8859,0.0,0.8859,0.8859,0.8770000000000001,1.1102230246251565e-16,0.877,0.877,0.8346,0.0,0.8346,0.8346,11.539966666666666,0.6519170209637285,10.661,12.2204,15.043333333333331,0.8718690013732314,14.16,16.23,66.70503333333333,3.7681845145315744,61.6244,70.6379
