,precision,recall,f1-score,support
Healthy,0.8235294117647058,0.9180327868852459,0.8682170542635659,61.0
BG,0.6666666666666666,0.6206896551724138,0.6428571428571429,29.0
WSSV,0.8478260869565217,0.78,0.8125,50.0
WSSV_BG,0.75,0.7272727272727273,0.7384615384615385,33.0
accuracy,0.791907514450867,0.791907514450867,0.791907514450867,0.791907514450867
macro avg,0.7720055413469735,0.7614987923325969,0.7655089338955618,173.0
weighted avg,0.7902308196462803,0.791907514450867,0.7895857122668523,173.0
