Repeat,Seed,Model,Backend,Loss,Loss Key,Epoch,Phase,LR,Train Loss,Train Accuracy,Val Loss,Val Accuracy,Val Precision,Val Recall,Val F1-Score,Val Cohen Kappa
3,42,convnext_tiny,timm,ASL,asl,1,warmup,1.00e-03,1.2745376970637496,0.4017412935323383,0.9515977515730747,0.5406976744186046,0.678939393939394,0.4755720470006184,0.4460881997219207,0.336847242557345
3,42,convnext_tiny,timm,ASL,asl,2,warmup,1.00e-03,0.8883282915869756,0.6032338308457711,0.9188411346701688,0.5930232558139535,0.6591859454762681,0.5315862708719852,0.5406345686833491,0.41351259194310486
3,42,convnext_tiny,timm,ASL,asl,3,warmup,1.00e-03,0.7598607712124118,0.6567164179104478,0.7991989282674568,0.6395348837209303,0.6162433155080214,0.60856524427953,0.6108742959549411,0.5030291732687109
3,42,convnext_tiny,timm,ASL,asl,4,warmup,9.00e-04,0.6969712582690206,0.6890547263681592,0.7678342392278272,0.6395348837209303,0.6902619482823504,0.5624613481756339,0.5496824760502702,0.4824557146323708
3,42,convnext_tiny,timm,ASL,asl,5,warmup,9.00e-04,0.6622898679467576,0.7002487562189055,0.7989202737808228,0.627906976744186,0.6740400418347527,0.5576066790352505,0.5641051590361833,0.46511175898931
3,42,convnext_tiny,timm,ASL,asl,6,finetune,"2.00e-05,1.00e-04",0.6502716063860043,0.7002487562189055,0.7309711062630941,0.6569767441860465,0.6393689467312349,0.5793058132343847,0.5581229941885679,0.5125606417215043
3,42,convnext_tiny,timm,ASL,asl,7,finetune,"2.00e-05,1.00e-04",0.5451986620675272,0.763681592039801,0.7442810868107995,0.6976744186046512,0.6891921484312789,0.6486703772418059,0.6560232296959763,0.5771158392434989
3,42,convnext_tiny,timm,ASL,asl,8,finetune,"2.00e-05,1.00e-04",0.4550201136674454,0.7972636815920398,0.6356797398522843,0.7151162790697675,0.6935197368421052,0.6634199134199135,0.6689989168634235,0.601927073493293
3,42,convnext_tiny,timm,ASL,asl,9,finetune,"1.80e-05,9.00e-05",0.3776796065011428,0.8333333333333334,0.6415837767512299,0.7151162790697675,0.7288153786104605,0.7112786023500309,0.7006933108171498,0.6157388410158209
3,42,convnext_tiny,timm,ASL,asl,10,finetune,"1.80e-05,9.00e-05",0.4728266721341147,0.7885572139303483,0.6403236832729605,0.75,0.7391863729206034,0.7100340136054422,0.7178860657433768,0.6519201807228916
3,42,convnext_tiny,timm,ASL,asl,11,finetune,"1.80e-05,9.00e-05",0.31999991048331283,0.8731343283582089,0.5796325179033501,0.7790697674418605,0.7663004091174752,0.748956400742115,0.7530709641252569,0.6956744424267822
3,42,convnext_tiny,timm,ASL,asl,12,finetune,"1.62e-05,8.10e-05",0.2996181065763407,0.8830845771144279,0.6285124545873597,0.7616279069767442,0.7456923489678682,0.7299319727891156,0.7334884971291071,0.6701744539544456
3,42,convnext_tiny,timm,ASL,asl,13,finetune,"1.62e-05,8.10e-05",0.22004544645992677,0.914179104477612,0.5344584071358969,0.7848837209302325,0.7637331966279334,0.7761209029066172,0.7678198535141031,0.7076711070280202
3,42,convnext_tiny,timm,ASL,asl,14,finetune,"1.62e-05,8.10e-05",0.219843042430593,0.9092039800995025,0.5859012880990672,0.813953488372093,0.8080321073729195,0.7880179344465059,0.7943189258205335,0.7427195811714111
3,42,convnext_tiny,timm,ASL,asl,15,finetune,"1.46e-05,7.29e-05",0.17729845680111084,0.9365671641791045,0.5070158257040867,0.7965116279069767,0.781936419936976,0.7838744588744588,0.7816384821009761,0.7215154739325531
3,42,convnext_tiny,timm,ASL,asl,16,finetune,"1.46e-05,7.29e-05",0.1598539444344554,0.9402985074626866,0.5389657464138297,0.7965116279069767,0.7867694805194805,0.8011209029066171,0.7846433959665265,0.7249634502923976
3,42,convnext_tiny,timm,ASL,asl,17,finetune,"1.46e-05,7.29e-05",0.12711628070518152,0.9539800995024875,0.5154580002607301,0.8081395348837209,0.8105066605066604,0.7762755102040816,0.7877910977029745,0.7331201805529435
3,42,convnext_tiny,timm,ASL,asl,18,finetune,"1.31e-05,6.56e-05",0.1010039652146362,0.9738805970149254,0.46597965234933897,0.8081395348837209,0.7954727564102564,0.8059755720470005,0.7958146878894301,0.7403001464128843
3,42,convnext_tiny,timm,ASL,asl,19,finetune,"1.31e-05,6.56e-05",0.08905440876584741,0.9800995024875622,0.4737211257912392,0.8255813953488372,0.814632196162047,0.8064007421150279,0.8082480459758414,0.7601227279066524
3,42,convnext_tiny,timm,ASL,asl,20,finetune,"1.31e-05,6.56e-05",0.08053372122013747,0.9701492537313433,0.4653302195460297,0.8372093023255814,0.8258131054730087,0.8326685219542362,0.8230996137913602,0.7791332263242375
3,42,convnext_tiny,timm,ASL,asl,21,finetune,"1.18e-05,5.90e-05",0.06029086218989311,0.986318407960199,0.44613591183063595,0.8604651162790697,0.848436118479222,0.837012987012987,0.8418227980108113,0.8077496274217586
3,42,convnext_tiny,timm,ASL,asl,22,finetune,"1.18e-05,5.90e-05",0.05081457575199319,0.9875621890547264,0.44223924708920853,0.8430232558139535,0.8267676767676768,0.8385513296227582,0.8305597435583989,0.7866103018885264
3,42,convnext_tiny,timm,ASL,asl,23,finetune,"1.18e-05,5.90e-05",0.05167595020944799,0.9888059701492538,0.46389739457951035,0.8604651162790697,0.8637612206686389,0.8368351886209029,0.846432084486337,0.8068771929824561
3,42,convnext_tiny,timm,ASL,asl,24,finetune,"1.06e-05,5.31e-05",0.049321696472664676,0.9912935323383084,0.4193430820176768,0.8546511627906976,0.8416100917210796,0.8530998763141621,0.8452091713596138,0.8024441789947625
3,42,convnext_tiny,timm,ASL,asl,25,finetune,"1.06e-05,5.31e-05",0.03337071064989365,0.996268656716418,0.4343272461447605,0.8604651162790697,0.8470262096774194,0.8444109461966605,0.8449723652011211,0.8085520823671274
3,42,convnext_tiny,timm,ASL,asl,26,finetune,"1.06e-05,5.31e-05",0.02731565420344398,0.9975124378109452,0.4341055958770042,0.8430232558139535,0.8286222327914217,0.8311533704390848,0.829622816868683,0.7852684144818977
3,42,convnext_tiny,timm,ASL,asl,27,finetune,"9.57e-06,4.78e-05",0.02275910879026598,0.9987562189054726,0.43368262191151463,0.8604651162790697,0.850414766970618,0.8468846629560915,0.8483739837398374,0.808401021118589
3,42,convnext_tiny,timm,ASL,asl,28,finetune,"9.57e-06,4.78e-05",0.01913389899485295,0.996268656716418,0.4383698937504791,0.8430232558139535,0.829790409753645,0.8371907854050711,0.8318679976550287,0.7861878453038674
