source_group,source_file,source_table_kind,source_priority,run_family,run_label,mode,experiment,name,policy,split_policy,split_fingerprint,seed,training_seed,model,params_million,ultralytics_version,fourier_enabled,fourier_transform,fourier_sigma,fourier_alpha,fourier_policy,preprocessing_policy,clean_light_aug_enabled,default_hook_enabled,strong_aug_enabled,attention_enabled,attention_policy,baseline_augmentation_policy,hidden_albumentations_disabled,train_epochs_requested,train_patience,epochs_ran,best_epoch_by_mask_map50,train_time_min,train_images_used,actual_train_image_files,eval_domain,full_test_mask_map50,full_test_mask_map50_95,labeled_test_mask_map50,labeled_test_mask_map50_95,healthy_test_mask_fp_rate,healthy_test_fp_masks_per_image,labeled_test_disease_mask_miss_rate,labeled_test_mask_count_mae,healthy_aware_labeled_val_mask_map50,healthy_aware_labeled_test_mask_map50,best_pt,run_path,notes,metric_row_id,beats_054_map50,delta_vs_054_map50,delta_vs_G4_reference_map50
mode_G_highpass_local_sweep_seed42,shrimp-leakage-aware-segmentation\ONLY_fourier\highpass_local_sweep\training_log\only_fourier_mode_G_highpass_local_sweep_seed42_summary.csv,csv_summary,2,mode_G_highpass_local_sweep_seed42,T7,T7,,,,stratified_grouped_specimen,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,42,42,yolo11n-seg.pt,,,True,highpass,45.0,0.1,highpass_boost_s45_a0.100_all_splits,fourier_highpass,1.0,1.0,,,,clean_light_yolo_aug,0.0,100,40,61.0,26.0,19.25,,905.0,,0.4409382512320419,0.133839563774148,0.468097622932257,0.1424718510837117,0.2195121951219512,0.2195121951219512,0.1931818181818181,0.4488636363636363,0.3984287027624589,0.3947259488746072,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_T7_highpass_s45_a0p10_clean_aug_on_hook_on/weights/best.pt,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_T7_highpass_s45_a0p10_clean_aug_on_hook_on,Normalized from full summary CSV.,028_mode_G_highpass_local_sweep_seed42_T7,False,-0.07190237706774305,-0.06367356740602859
mode_G_highpass_local_sweep_seed42,shrimp-leakage-aware-segmentation\ONLY_fourier\highpass_local_sweep\training_log\only_fourier_mode_G_highpass_local_sweep_seed42_summary.csv,csv_summary,2,mode_G_highpass_local_sweep_seed42,T8,T8,,,,stratified_grouped_specimen,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,42,42,yolo11n-seg.pt,,,True,highpass,45.0,0.12,highpass_boost_s45_a0.120_all_splits,fourier_highpass,1.0,1.0,,,,clean_light_yolo_aug,0.0,100,40,100.0,69.0,30.28,,905.0,,0.4313046994483195,0.1471050606531102,0.4611694331507577,0.1582544642153288,0.3170731707317073,0.3170731707317073,0.0795454545454545,0.3068181818181818,0.4260607812337983,0.4021893888048597,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_T8_highpass_s45_a0p12_clean_aug_on_hook_on/weights/best.pt,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_T8_highpass_s45_a0p12_clean_aug_on_hook_on,Normalized from full summary CSV.,029_mode_G_highpass_local_sweep_seed42_T8,False,-0.07883056684924233,-0.07060175718752787
mode_G_highpass_local_sweep_seed42,shrimp-leakage-aware-segmentation\ONLY_fourier\highpass_local_sweep\training_log\only_fourier_mode_G_highpass_local_sweep_seed42_summary.csv,csv_summary,2,mode_G_highpass_local_sweep_seed42,T2,T2,,,,stratified_grouped_specimen,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,42,42,yolo11n-seg.pt,,,True,highpass,35.0,0.1,highpass_boost_s35_a0.100_all_splits,fourier_highpass,1.0,1.0,,,,clean_light_yolo_aug,0.0,100,40,85.0,46.0,29.8,,905.0,,0.3861283471966916,0.1198266634920267,0.4360849488961147,0.1349658625666743,0.3414634146341463,0.4390243902439024,0.0681818181818181,0.4886363636363636,0.4680142574376622,0.3672795165236091,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_T2_highpass_s35_a0p10_clean_aug_on_hook_on/weights/best.pt,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_T2_highpass_s35_a0p10_clean_aug_on_hook_on,Normalized from full summary CSV.,030_mode_G_highpass_local_sweep_seed42_T2,False,-0.10391505110388533,-0.09568624144217086
mode_G_highpass_local_sweep_seed42,shrimp-leakage-aware-segmentation\ONLY_fourier\highpass_local_sweep\training_log\only_fourier_mode_G_highpass_local_sweep_seed42_summary.csv,csv_summary,2,mode_G_highpass_local_sweep_seed42,T5,T5,,,,stratified_grouped_specimen,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,42,42,yolo11n-seg.pt,,,True,highpass,40.0,0.1,highpass_boost_s40_a0.100_all_splits,fourier_highpass,1.0,1.0,,,,clean_light_yolo_aug,0.0,100,40,88.0,34.0,26.87,,905.0,,0.4011683493896898,0.1325488826762186,0.4351221851816187,0.143280189703083,0.5121951219512195,0.5853658536585366,0.1022727272727272,0.5435606060606061,0.4290334926820965,0.3413837335925574,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_T5_highpass_s40_a0p10_clean_aug_on_hook_on/weights/best.pt,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_T5_highpass_s40_a0p10_clean_aug_on_hook_on,Normalized from full summary CSV.,031_mode_G_highpass_local_sweep_seed42_T5,False,-0.10487781481838132,-0.09664900515666686
mode_G_highpass_local_sweep_seed42,shrimp-leakage-aware-segmentation\ONLY_fourier\highpass_local_sweep\training_log\only_fourier_mode_G_highpass_local_sweep_seed42_summary.csv,csv_summary,2,mode_G_highpass_local_sweep_seed42,T4,T4,,,,stratified_grouped_specimen,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,42,42,yolo11n-seg.pt,,,True,highpass,40.0,0.08,highpass_boost_s40_a0.080_all_splits,fourier_highpass,1.0,1.0,,,,clean_light_yolo_aug,0.0,100,40,76.0,70.0,25.28,,905.0,,0.3956171298635377,0.1371906575136908,0.4295837686194955,0.1459189214079124,0.3414634146341463,0.3414634146341463,0.2159090909090909,0.587121212121212,0.3836432682276249,0.3336950029136566,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_T4_highpass_s40_a0p08_clean_aug_on_hook_on/weights/best.pt,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_T4_highpass_s40_a0p08_clean_aug_on_hook_on,Normalized from full summary CSV.,032_mode_G_highpass_local_sweep_seed42_T4,False,-0.11041623138050455,-0.10218742171879008
factorial_A_H_highpass_s50_a0p10,shrimp-leakage-aware-segmentation\ONLY_fourier\training_log\only_fourier_factorial_A_H_highpass_s50_a0p10_summary.csv,csv_summary,2,factorial_A_H_highpass_s50_a0p10,E,E,,,,stratified_grouped_specimen,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,42,42,yolo11n-seg.pt,,,True,highpass,50.0,0.1,highpass_s50_a0p10_all_splits,fourier_highpass,1.0,0.0,,,,clean_light_yolo_aug,1.0,100,40,72.0,26.0,21.46,,905.0,,0.3490021602407521,0.1073899695008998,0.4081620734112259,0.1247710723408133,0.3658536585365853,0.3902439024390244,0.125,0.3579545454545454,0.4033125598802664,0.3349289802848402,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_E_fourier_on_clean_aug_on_default_hook_off/weights/best.pt,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_E_fourier_on_clean_aug_on_default_hook_off,Normalized from full summary CSV.,020_factorial_A_H_highpass_s50_a0p10_E,False,-0.13183792658877413,-0.12360911692705967
mode_G_highpass_local_sweep_seed42,shrimp-leakage-aware-segmentation\ONLY_fourier\highpass_local_sweep\training_log\only_fourier_mode_G_highpass_local_sweep_seed42_summary.csv,csv_summary,2,mode_G_highpass_local_sweep_seed42,T9,T9,,,,stratified_grouped_specimen,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,42,42,yolo11n-seg.pt,,,True,highpass,55.0,0.1,highpass_boost_s55_a0.100_all_splits,fourier_highpass,1.0,1.0,,,,clean_light_yolo_aug,0.0,100,40,100.0,46.0,30.5,,905.0,,0.3812619376338685,0.1297548369226353,0.4000075204307592,0.1363137615404836,0.2926829268292683,0.2926829268292683,0.1818181818181818,0.3371212121212121,0.3896942958620306,0.3266104398690446,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_T9_highpass_s55_a0p10_clean_aug_on_hook_on/weights/best.pt,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_T9_highpass_s55_a0p10_clean_aug_on_hook_on,Normalized from full summary CSV.,033_mode_G_highpass_local_sweep_seed42_T9,False,-0.13999247956924082,-0.13176366990752636
mode_G_fourier_tuning,shrimp-leakage-aware-segmentation\ONLY_fourier\mode_G_fourier_tuning\training_log\013-mode-g-fourier-tuning-seed42.ipynb,notebook_rendered_table,3,mode_G_fourier_tuning_seed42,G5,G5,,,,stratified_grouped_specimen,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,42,42,yolo11n-seg.pt,,,,,,,,,,,,,,,,100,40,,,,,,,,,0.378245,0.134318,0.390244,0.463415,0.125,0.511364,,0.294902,,,Extracted from rendered notebook output table; use rerun CSV when available.,036_mode_G_fourier_tuning_seed42_G5,False,-0.16175500000000004,-0.15352619033828557
factorial_A_H_highpass_s50_a0p10,shrimp-leakage-aware-segmentation\ONLY_fourier\training_log\only_fourier_factorial_A_H_highpass_s50_a0p10_summary.csv,csv_summary,2,factorial_A_H_highpass_s50_a0p10,B,B,,,,stratified_grouped_specimen,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,42,42,yolo11n-seg.pt,,,True,highpass,50.0,0.1,highpass_s50_a0p10_all_splits,fourier_highpass,0.0,0.0,,,,none_all_yolo_aug_zero,1.0,100,40,50.0,35.0,13.0,,905.0,,0.2884311033232961,0.072203406372999,0.3451051658055371,0.0884841128602659,0.6341463414634146,0.926829268292683,0.1931818181818181,0.8390151515151515,0.1991123168216034,0.2107625013561653,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_B_fourier_on_clean_aug_off_default_hook_off/weights/best.pt,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_B_fourier_on_clean_aug_off_default_hook_off,Normalized from full summary CSV.,024_factorial_A_H_highpass_s50_a0p10_B,False,-0.19489483419446296,-0.1866660245327485
canonical_markdown_summary,shrimp-leakage-aware-segmentation\ONLY_fourier\training_log\training_log_summary.md,markdown_main_results,1,training_log_summary_main_results,High-pass a0.1 s50,,High-pass a0.1 s50,High-pass a0.1 s50,fixed all-splits high-pass,stratified_grouped_specimen,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,42,42,yolo11n-seg.pt,,,True,highpass,50.0,0.1,,,False,False,,,,,True,100,40,50.0,10.0,,905.0,905.0,Fourier,,,0.345105,0.088484,0.634146,0.926829,0.193182,0.839015,,0.210763,,,Canonical row from training_log_summary.md Main Results table.,003_training_log_summary_main_results_High-pass_a0.1_s50,False,-0.19489500000000004,-0.18666619033828558
canonical_markdown_summary,shrimp-leakage-aware-segmentation\ONLY_fourier\training_log\training_log_summary.md,markdown_main_results,1,training_log_summary_main_results,Train-only high-pass a0.1,,Train-only high-pass a0.1,Train-only high-pass a0.1,"train transformed, valid/test original",stratified_grouped_specimen,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,42,42,yolo11n-seg.pt,,,True,highpass,,0.1,,,False,False,,,,,True,100,40,50.0,10.0,,905.0,905.0,original,,,0.336343,0.091158,0.609756,0.902439,0.193182,0.873106,,0.202734,,,Canonical row from training_log_summary.md Main Results table.,012_training_log_summary_main_results_Train-only_high-pass_a0.1,False,-0.20365700000000003,-0.19542819033828557
canonical_markdown_summary,shrimp-leakage-aware-segmentation\ONLY_fourier\training_log\training_log_summary.md,markdown_main_results,1,training_log_summary_main_results,High-frequency damping a0.1 s50,,High-frequency damping a0.1 s50,High-frequency damping a0.1 s50,fixed all-splits damping,stratified_grouped_specimen,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,42,42,yolo11n-seg.pt,,,True,high_frequency_damping,50.0,0.1,,,False,False,,,,,True,100,40,51.0,11.0,,905.0,905.0,Fourier,,,0.321119,0.106764,0.390244,0.414634,0.522727,0.592803,,0.174045,,,Canonical row from training_log_summary.md Main Results table.,007_training_log_summary_main_results_High-frequency_damping_a0.1_s50,False,-0.21888100000000005,-0.21065219033828558
canonical_markdown_summary,shrimp-leakage-aware-segmentation\ONLY_fourier\training_log\training_log_summary.md,markdown_main_results,1,training_log_summary_main_results,High-pass a0.05 s50,,High-pass a0.05 s50,High-pass a0.05 s50,fixed all-splits high-pass,stratified_grouped_specimen,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,42,42,yolo11n-seg.pt,,,True,highpass,50.0,0.05,,,False,False,,,,,True,100,40,60.0,20.0,,905.0,905.0,Fourier,,,0.308774,0.079226,0.341463,0.463415,0.25,0.5625,,0.209003,,,Canonical row from training_log_summary.md Main Results table.,013_training_log_summary_main_results_High-pass_a0.05_s50,False,-0.23122600000000004,-0.22299719033828558
factorial_A_H_highpass_s50_a0p10,shrimp-leakage-aware-segmentation\ONLY_fourier\training_log\only_fourier_factorial_A_H_highpass_s50_a0p10_summary.csv,csv_summary,2,factorial_A_H_highpass_s50_a0p10,H,H,,,,stratified_grouped_specimen,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,42,42,yolo11n-seg.pt,,,False,none,,,none,none,0.0,1.0,,,,none_all_yolo_aug_zero,0.0,100,40,52.0,12.0,13.4,,905.0,,0.2822067647726678,0.0720174197759634,0.3061106747061747,0.077802082427469,0.3658536585365853,0.4146341463414634,0.2727272727272727,0.6268939393939393,0.2639865913546841,0.1972715209737283,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_H_fourier_off_clean_aug_off_default_hook_on/weights/best.pt,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_H_fourier_off_clean_aug_off_default_hook_on,Normalized from full summary CSV.,021_factorial_A_H_highpass_s50_a0p10_H,False,-0.23388932529382533,-0.22566051563211087
factorial_A_H_highpass_s50_a0p10,shrimp-leakage-aware-segmentation\ONLY_fourier\training_log\only_fourier_factorial_A_H_highpass_s50_a0p10_summary.csv,csv_summary,2,factorial_A_H_highpass_s50_a0p10,F,F,,,,stratified_grouped_specimen,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,42,42,yolo11n-seg.pt,,,True,highpass,50.0,0.1,highpass_s50_a0p10_all_splits,fourier_highpass,0.0,1.0,,,,none_all_yolo_aug_zero,0.0,100,40,49.0,16.0,12.9,,905.0,,0.2691361151906909,0.074032992585795,0.2994147195857932,0.0828738919842729,0.4146341463414634,0.4390243902439024,0.3068181818181818,0.7329545454545454,0.229842071420851,0.1752808504061923,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_F_fourier_on_clean_aug_off_default_hook_on/weights/best.pt,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_F_fourier_on_clean_aug_off_default_hook_on,Normalized from full summary CSV.,023_factorial_A_H_highpass_s50_a0p10_F,False,-0.24058528041420685,-0.23235647075249238
canonical_markdown_summary,shrimp-leakage-aware-segmentation\ONLY_fourier\training_log\training_log_summary.md,markdown_main_results,1,training_log_summary_main_results,Band-pass l12 h60 a0.2,,Band-pass l12 h60 a0.2,Band-pass l12 h60 a0.2,fixed all-splits band-pass,stratified_grouped_specimen,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,42,42,yolo11n-seg.pt,,,True,bandpass,,0.2,,,False,False,,,,,True,100,40,88.0,48.0,,905.0,905.0,Fourier,,,0.295219,0.083854,0.268293,0.268293,0.431818,0.630682,,0.172083,,,Canonical row from training_log_summary.md Main Results table.,005_training_log_summary_main_results_Band-pass_l12_h60_a0.2,False,-0.24478100000000003,-0.23655219033828556
canonical_markdown_summary,shrimp-leakage-aware-segmentation\ONLY_fourier\training_log\training_log_summary.md,markdown_main_results,1,training_log_summary_main_results,High-pass a0.20 s50,,High-pass a0.20 s50,High-pass a0.20 s50,fixed all-splits high-pass,stratified_grouped_specimen,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,42,42,yolo11n-seg.pt,,,True,highpass,50.0,0.2,,,False,False,,,,,True,100,40,65.0,24.0,,905.0,905.0,Fourier,,,0.291338,0.082667,0.292683,0.341463,0.329545,0.539773,,0.185649,,,Canonical row from training_log_summary.md Main Results table.,015_training_log_summary_main_results_High-pass_a0.20_s50,False,-0.24866200000000005,-0.24043319033828559
canonical_markdown_summary,shrimp-leakage-aware-segmentation\ONLY_fourier\training_log\training_log_summary.md,markdown_main_results,1,training_log_summary_main_results,Band-pass l20 h80 a0.2,,Band-pass l20 h80 a0.2,Band-pass l20 h80 a0.2,fixed all-splits band-pass,stratified_grouped_specimen,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,42,42,yolo11n-seg.pt,,,True,bandpass,,0.2,,,False,False,,,,,True,100,40,92.0,52.0,,905.0,905.0,Fourier,,,0.28698,0.088123,0.195122,0.195122,0.522727,0.621212,,0.157998,,,Canonical row from training_log_summary.md Main Results table.,006_training_log_summary_main_results_Band-pass_l20_h80_a0.2,False,-0.25302,-0.24479119033828556
canonical_markdown_summary,shrimp-leakage-aware-segmentation\ONLY_fourier\training_log\training_log_summary.md,markdown_main_results,1,training_log_summary_main_results,Random high-pass train aug a0.05-0.20,,Random high-pass train aug a0.05-0.20,Random high-pass train aug a0.05-0.20,original + random Fourier train copies,stratified_grouped_specimen,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,42,42,yolo11n-seg.pt,,,True,highpass,,0.05,,,False,False,,,,,True,100,40,54.0,14.0,,1810.0,1810.0,original,,,0.283641,0.081329,0.146341,0.170732,0.602273,0.685606,,0.144385,,,Canonical row from training_log_summary.md Main Results table.,010_training_log_summary_main_results_Random_high-pass_train_aug_a0.05-0.20,False,-0.25635900000000006,-0.2481301903382856
canonical_markdown_summary,shrimp-leakage-aware-segmentation\ONLY_fourier\training_log\training_log_summary.md,markdown_main_results,1,training_log_summary_main_results,Low-frequency flatten b0.3 s100,,Low-frequency flatten b0.3 s100,Low-frequency flatten b0.3 s100,fixed all-splits lowfreq flatten,stratified_grouped_specimen,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,42,42,yolo11n-seg.pt,,,True,low_frequency_flatten,100.0,,,,False,False,,,,,True,100,40,54.0,14.0,,905.0,905.0,Fourier,,,0.278693,0.085208,0.146341,0.219512,0.465909,0.551136,,0.166616,,,Canonical row from training_log_summary.md Main Results table.,008_training_log_summary_main_results_Low-frequency_flatten_b0.3_s100,False,-0.261307,-0.25307819033828555
