model,onnx_path,onnx_size_mb,saved_model_path,float32_tflite_path,dynamic_tflite_path,float32_size_mb,dynamic_size_mb,smoke_test,status,error,seconds
efficientnet_b0,/content/drive/MyDrive/onnx_models/efficientnet_b0.onnx,15.3,/content/drive/MyDrive/onnx_models/litert_models/saved_models/efficientnet_b0,/content/drive/MyDrive/onnx_models/litert_models/tflite/efficientnet_b0_float32.tflite,/content/drive/MyDrive/onnx_models/litert_models/tflite/efficientnet_b0_dynamic_range.tflite,15.29,4.32,"{""input_shape"": [1, 224, 224, 3], ""input_dtype"": ""<class 'numpy.float32'>"", ""output_shape"": [1, 4], ""output_dtype"": ""float32""}",converted,,28.7
mobilenet_v3_large,/content/drive/MyDrive/onnx_models/mobilenet_v3_large.onnx,16.04,/content/drive/MyDrive/onnx_models/litert_models/saved_models/mobilenet_v3_large,/content/drive/MyDrive/onnx_models/litert_models/tflite/mobilenet_v3_large_float32.tflite,/content/drive/MyDrive/onnx_models/litert_models/tflite/mobilenet_v3_large_dynamic_range.tflite,16.04,4.31,"{""input_shape"": [1, 224, 224, 3], ""input_dtype"": ""<class 'numpy.float32'>"", ""output_shape"": [1, 4], ""output_dtype"": ""float32""}",converted,,15.5
