experiment,name,model,run_name,run_path,best_pt,smoke_run,training_seed,baseline_augmentation_policy,hidden_albumentations_disabled,apply_clahe,train_time_min,full_val_box_map50,full_val_mask_map50,labeled_val_box_map50,labeled_val_mask_map50,labeled_val_mask_map50_95,labeled_val_gt_instances,labeled_val_pred_boxes,labeled_val_pred_masks,labeled_val_mask_count_mae,labeled_val_disease_box_miss_rate,labeled_val_disease_mask_miss_rate,healthy_val_images,healthy_val_mask_fp_rate,healthy_val_fp_masks_per_image,healthy_aware_labeled_val_mask_map50,full_test_box_map50,full_test_box_map50_95,full_test_mask_map50,full_test_mask_map50_95,labeled_test_box_map50,labeled_test_mask_map50,labeled_test_mask_map50_95,test_gt_instances,test_pred_boxes,test_pred_masks,test_mask_count_mae,labeled_test_gt_instances,labeled_test_pred_boxes,labeled_test_pred_masks,labeled_test_mask_count_mae,labeled_test_mask_count_exact,labeled_test_disease_box_miss_rate,labeled_test_disease_mask_miss_rate,healthy_test_images,healthy_test_mask_fp_rate,healthy_test_box_fp_rate,healthy_test_fp_masks_total,healthy_test_fp_masks_per_image,healthy_test_avg_fp_confidence,healthy_aware_labeled_test_mask_map50,epochs_ran,best_epoch_by_mask_map50,first_train_seg_loss,best_val_mask_map50,best_val_mask_map50_95,last_val_mask_map50,last_val_mask_map50_95,last_train_seg_loss,last_val_seg_loss,seg_loss_gap_val_minus_train,split_policy,seed,train_images,valid_images,test_images,train_specimens,valid_specimens,test_specimens,train_test_group_overlap,train_valid_group_overlap,valid_test_group_overlap,train_labeled_images,train_healthy_empty_images,train_bg_mask_images,train_wssv_mask_images,train_coinfection_images,train_mask_instances,valid_labeled_images,valid_healthy_empty_images,valid_bg_mask_images,valid_wssv_mask_images,valid_coinfection_images,valid_mask_instances,test_labeled_images,test_healthy_empty_images,test_bg_mask_images,test_wssv_mask_images,test_coinfection_images,test_mask_instances,split_manifest_csv,split_summary_csv,split_fingerprint,params_million,split_policy_description
stratified_grouped_specimen_yolo11n-seg_clean_light_yolo_aug,Stratified grouped-specimen split | yolo11n-seg | Clean Light YOLO Augmentation,yolo11n-seg.pt,yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_clean_light_yolo_aug,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_clean_light_yolo_aug,/kaggle/working/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_clean_light_yolo_aug/weights/best.pt,False,42,explicit_light_yolo_aug,False,False,24.85,0.5455173448168066,0.47394087231548915,0.5645673289198339,0.48964849552084183,0.16037136763696394,102,100,100,0.40315315315315314,0.10810810810810811,0.10810810810810811,41,0.12195121951219512,0.12195121951219512,0.44107949969574844,0.5664424779934432,0.22428528928223385,0.48153170664315664,0.158036179598201,0.6047653318122569,0.5120017724041486,0.16778526296610805,119,129,129,0.3049095607235142,119,118,118,0.32196969696969696,0.625,0.07954545454545454,0.07954545454545454,41,0.24390243902439024,0.24390243902439024,11,0.2682926829268293,0.5182696960189126,0.4595812254714065,86,56,4.84766,0.47392,0.15685,0.42043,0.15023,1.71531,4.98513,3.26982,stratified_grouped_specimen,42,905,115,129,331,40,45,0,0,0,584,321,326,431,173,810,74,41,42,53,21,102,88,41,50,64,26,119,/kaggle/working/shrimp_yolo_seg_split_policy_model_comparison/reports/split_manifests/stratified_grouped_specimen_seed42_manifest.csv,/kaggle/working/shrimp_yolo_seg_split_policy_model_comparison/reports/split_manifests/stratified_grouped_specimen_seed42_summary.csv,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,2.877,Disease-stratified split where all images from one shrimp stay together.
stratified_grouped_specimen_yolo26s-seg_clean_light_yolo_aug,Stratified grouped-specimen split | yolo26s-seg | Clean Light YOLO Augmentation,yolo26s-seg.pt,yolo26s-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo26s-seg_clean_light_yolo_aug,/kaggle/working/runs/segment/yolo26s-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo26s-seg_clean_light_yolo_aug,/kaggle/working/runs/segment/yolo26s-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo26s-seg_clean_light_yolo_aug/weights/best.pt,False,42,explicit_light_yolo_aug,False,False,44.06,0.5216830563651481,0.4683411211693697,0.550627934685706,0.4900832268899956,0.1931821112166498,102,70,70,0.25675675675675674,0.10810810810810811,0.10810810810810811,41,0.21951219512195122,0.24390243902439024,0.43907795332374644,0.49038175785367255,0.20533618187439626,0.4169704828864462,0.16662563004755035,0.5401934481073265,0.4603624254253956,0.18209662165508322,119,94,94,0.3023255813953488,119,83,83,0.3181818181818182,0.5795454545454546,0.13636363636363635,0.13636363636363635,41,0.2682926829268293,0.2682926829268293,11,0.2682926829268293,0.5999916900287975,0.3971695207690763,82,56,4.81222,0.48673,0.18815,0.41864,0.16009,1.52049,6.27903,4.75854,stratified_grouped_specimen,42,905,115,129,331,40,45,0,0,0,584,321,326,431,173,810,74,41,42,53,21,102,88,41,50,64,26,119,/kaggle/working/shrimp_yolo_seg_split_policy_model_comparison/reports/split_manifests/stratified_grouped_specimen_seed42_manifest.csv,/kaggle/working/shrimp_yolo_seg_split_policy_model_comparison/reports/split_manifests/stratified_grouped_specimen_seed42_summary.csv,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,11.506,Disease-stratified split where all images from one shrimp stay together.
stratified_grouped_specimen_yolov8n-seg_clean_light_yolo_aug,Stratified grouped-specimen split | yolov8n-seg | Clean Light YOLO Augmentation,yolov8n-seg.pt,yolov8n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolov8n-seg_clean_light_yolo_aug,/kaggle/working/runs/segment/yolov8n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolov8n-seg_clean_light_yolo_aug,/kaggle/working/runs/segment/yolov8n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolov8n-seg_clean_light_yolo_aug/weights/best.pt,False,42,explicit_light_yolo_aug,False,False,16.51,0.5377686602549182,0.484244724857866,0.5466681563565616,0.49069954229967605,0.18882028085846694,102,85,85,0.44819819819819817,0.17567567567567569,0.17567567567567569,41,0.17073170731707318,0.17073170731707318,0.4248651103067074,0.5255112527638539,0.1800912780759265,0.3951354539459473,0.1265765902493029,0.5772079720152336,0.43162077739219673,0.13884371363697787,119,122,122,0.4095607235142119,119,106,106,0.4185606060606061,0.5340909090909091,0.1590909090909091,0.1590909090909091,41,0.34146341463414637,0.34146341463414637,16,0.3902439024390244,0.4114658795297146,0.3526827692621154,60,30,4.70184,0.48261,0.1864,0.39728,0.15967,1.90071,4.86542,2.96471,stratified_grouped_specimen,42,905,115,129,331,40,45,0,0,0,584,321,326,431,173,810,74,41,42,53,21,102,88,41,50,64,26,119,/kaggle/working/shrimp_yolo_seg_split_policy_model_comparison/reports/split_manifests/stratified_grouped_specimen_seed42_manifest.csv,/kaggle/working/shrimp_yolo_seg_split_policy_model_comparison/reports/split_manifests/stratified_grouped_specimen_seed42_summary.csv,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,3.41,Disease-stratified split where all images from one shrimp stay together.
stratified_grouped_specimen_yolov8s-seg_clean_light_yolo_aug,Stratified grouped-specimen split | yolov8s-seg | Clean Light YOLO Augmentation,yolov8s-seg.pt,yolov8s-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolov8s-seg_clean_light_yolo_aug,/kaggle/working/runs/segment/yolov8s-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolov8s-seg_clean_light_yolo_aug,/kaggle/working/runs/segment/yolov8s-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolov8s-seg_clean_light_yolo_aug/weights/best.pt,False,42,explicit_light_yolo_aug,False,False,38.64,0.5474585039275248,0.4548356689299117,0.5748425582170866,0.47609912116847647,0.16870451452686558,102,83,83,0.3716216216216216,0.22972972972972974,0.22972972972972974,41,0.12195121951219512,0.12195121951219512,0.4108634586767164,0.4343441281821804,0.1894451961530894,0.3913632191625126,0.13999277845466876,0.4942282052642534,0.4435618927751564,0.15877792021901077,119,103,103,0.3669250645994832,119,87,87,0.356060606060606,0.5909090909090909,0.18181818181818182,0.18181818181818182,41,0.34146341463414637,0.34146341463414637,16,0.3902439024390244,0.6343752164393663,0.36433979373598413,100,63,4.69717,0.4905,0.16085,0.42318,0.14577,1.22289,4.99379,3.7708999999999997,stratified_grouped_specimen,42,905,115,129,331,40,45,0,0,0,584,321,326,431,173,810,74,41,42,53,21,102,88,41,50,64,26,119,/kaggle/working/shrimp_yolo_seg_split_policy_model_comparison/reports/split_manifests/stratified_grouped_specimen_seed42_manifest.csv,/kaggle/working/shrimp_yolo_seg_split_policy_model_comparison/reports/split_manifests/stratified_grouped_specimen_seed42_summary.csv,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,11.821,Disease-stratified split where all images from one shrimp stay together.
stratified_grouped_specimen_yolo26n-seg_clean_light_yolo_aug,Stratified grouped-specimen split | yolo26n-seg | Clean Light YOLO Augmentation,yolo26n-seg.pt,yolo26n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo26n-seg_clean_light_yolo_aug,/kaggle/working/runs/segment/yolo26n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo26n-seg_clean_light_yolo_aug,/kaggle/working/runs/segment/yolo26n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo26n-seg_clean_light_yolo_aug/weights/best.pt,False,42,explicit_light_yolo_aug,False,False,25.41,0.5334257905369885,0.45005743900703,0.5499408008507043,0.4614309466860574,0.18683424320188852,102,63,63,0.44144144144144143,0.2702702702702703,0.2702702702702703,41,0.12195121951219512,0.14634146341463414,0.3866232121222253,0.5052801460478424,0.21361982671722246,0.43014088803686146,0.14756332921018459,0.5418838811404405,0.462815479773146,0.16009663653009118,119,93,93,0.3372093023255814,119,84,84,0.39204545454545453,0.5113636363636364,0.20454545454545456,0.20454545454545456,41,0.1951219512195122,0.1951219512195122,9,0.21951219512195122,0.4860830141438378,0.39301919374210387,68,47,4.67448,0.51563,0.19956,0.46193,0.17716,1.8534,4.34883,2.4954300000000007,stratified_grouped_specimen,42,905,115,129,331,40,45,0,0,0,584,321,326,431,173,810,74,41,42,53,21,102,88,41,50,64,26,119,/kaggle/working/shrimp_yolo_seg_split_policy_model_comparison/reports/split_manifests/stratified_grouped_specimen_seed42_manifest.csv,/kaggle/working/shrimp_yolo_seg_split_policy_model_comparison/reports/split_manifests/stratified_grouped_specimen_seed42_summary.csv,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,3.126,Disease-stratified split where all images from one shrimp stay together.
stratified_grouped_specimen_yolo11s-seg_clean_light_yolo_aug,Stratified grouped-specimen split | yolo11s-seg | Clean Light YOLO Augmentation,yolo11s-seg.pt,yolo11s-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11s-seg_clean_light_yolo_aug,/kaggle/working/runs/segment/yolo11s-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11s-seg_clean_light_yolo_aug,/kaggle/working/runs/segment/yolo11s-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11s-seg_clean_light_yolo_aug/weights/best.pt,False,42,explicit_light_yolo_aug,False,False,24.15,0.5059314298938135,0.4225190924446606,0.5369176347759913,0.4420573006890228,0.16767726315246126,102,69,69,0.46846846846846846,0.24324324324324326,0.24324324324324326,41,0.14634146341463414,0.17073170731707318,0.3675132444376495,0.35822007191134475,0.14397600871535074,0.2970590982486968,0.10178263290553316,0.44253070348428836,0.36055296611546905,0.1238534281950324,119,120,120,0.5645994832041343,119,94,94,0.5321969696969697,0.4090909090909091,0.2159090909090909,0.2159090909090909,41,0.5121951219512195,0.5121951219512195,26,0.6341463414634146,0.4592113151000096,0.25033724179913497,60,58,4.78777,0.44774,0.1433,0.35802,0.12585,2.02965,4.32471,2.2950599999999994,stratified_grouped_specimen,42,905,115,129,331,40,45,0,0,0,584,321,326,431,173,810,74,41,42,53,21,102,88,41,50,64,26,119,/kaggle/working/shrimp_yolo_seg_split_policy_model_comparison/reports/split_manifests/stratified_grouped_specimen_seed42_manifest.csv,/kaggle/working/shrimp_yolo_seg_split_policy_model_comparison/reports/split_manifests/stratified_grouped_specimen_seed42_summary.csv,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,10.113,Disease-stratified split where all images from one shrimp stay together.
