corruption,baseline_ce_mean_macro_f1_s1_s3,baseline_ce_macro_f1_severity3,paper_rank
impulse_noise,0.4849934689280633,0.2855199619125348,1
gaussian_noise,0.7479089092860954,0.5723999003824031,2
contrast_reduction,0.8206732644226525,0.7721341667014483,3
defocus_blur,0.8299968484683018,0.7792931042263932,4
low_light,0.8314996087219427,0.8211310189961463,5
