corruption,baseline_mean_macro_f1_s1_s3,baseline_mean_accuracy_s1_s3,baseline_mean_cohen_kappa_s1_s3,mean_macro_f1_s1_s3,mean_accuracy_s1_s3,mean_cohen_kappa_s1_s3,paper_rank,delta_macro_f1,delta_accuracy,delta_cohen_kappa
impulse_noise,0.4849934689280633,0.5684007707129094,0.41960742252364974,0.5581799827057942,0.6184971098265896,0.4844438629733315,1,0.07318651377773089,0.050096339113680166,0.06483644044968173
gaussian_noise,0.7479089092860954,0.7610789980732177,0.6774585393960995,0.7849909632870121,0.791907514450867,0.7182388211770016,2,0.03708205400091669,0.030828516377649384,0.040780281780902095
contrast_reduction,0.8206732644226525,0.8323699421965318,0.768965485887149,0.8809916233168678,0.8882466281310212,0.8467780626087102,3,0.06031835889421522,0.055876685934489356,0.07781257672156128
defocus_blur,0.8299968484683018,0.838150289017341,0.7801944839965301,0.8866465463586982,0.8921001926782274,0.8533049754927354,4,0.05664969789039642,0.05394990366088637,0.0731104914962053
low_light,0.8314996087219427,0.836223506743738,0.775921579017678,0.9022492715882642,0.9055876685934489,0.8711341029650224,5,0.07074966286632145,0.06936416184971084,0.09521252394734436
