corruption,mean_macro_f1_s1_s3,mean_accuracy_s1_s3,mean_cohen_kappa_s1_s3,paper_rank
impulse_noise,0.5581799827057942,0.6184971098265896,0.4844438629733315,1
gaussian_noise,0.7849909632870121,0.791907514450867,0.7182388211770016,2
contrast_reduction,0.8809916233168678,0.8882466281310212,0.8467780626087102,3
defocus_blur,0.8866465463586982,0.8921001926782274,0.8533049754927354,4
low_light,0.9022492715882642,0.9055876685934489,0.8711341029650224,5
