,precision,recall,f1-score,support
Healthy,92.95774647887323,91.66666666666666,92.3076923076923,72.0
BG,86.36363636363636,84.44444444444444,85.39325842696628,45.0
WSSV,92.3076923076923,85.71428571428571,88.88888888888889,70.0
WSSV_BG,72.5,87.87878787878788,79.45205479452055,33.0
accuracy,87.72727272727273,87.72727272727273,87.72727272727273,0.8772727272727273
macro avg,86.03226878755048,87.42604617604619,86.51047360451702,220.0
weighted avg,88.33345383809534,87.72727272727273,87.87722957185787,220.0
