variant_key,corruption,severity,test_macro_f1,test_accuracy,cohen_kappa,drop_macro_f1_vs_own_clean,delta_macro_f1_vs_baseline_ce_same_split
asl_ldam_simam_dcfr_top1,impulse_noise,1.0,0.840735270411904,0.8323699421965318,0.7712579218529158,-0.0647125114527878,0.0053525103095425
asl_ldam_simam_dcfr_top1,impulse_noise,2.0,0.5112668355013238,0.5606936416184971,0.4067054735797122,-0.3941809463633681,0.1771891507320302
asl_ldam_simam_dcfr_top1,impulse_noise,3.0,0.3225378422041547,0.4624277456647399,0.2753681934873665,-0.5829099396605372,0.0370178802916198
asl_ldam_simam_dcfr_top1,gaussian_noise,1.0,0.8997081381113495,0.9017341040462428,0.8664577941243246,-0.0057396437533423,0.0549771273280813
asl_ldam_simam_dcfr_top1,gaussian_noise,2.0,0.8717893217893218,0.8728323699421965,0.8271021669013765,-0.0336584600753701,0.0451935050967069
asl_ldam_simam_dcfr_top1,gaussian_noise,3.0,0.5834754299603654,0.6011560693641619,0.4611565025053039,-0.3219723519043265,0.0110755295779623
asl_ldam_simam_dcfr_top1,contrast_reduction,1.0,0.905447781864692,0.907514450867052,0.8742161228755794,0.0,0.049985985177129
asl_ldam_simam_dcfr_top1,contrast_reduction,2.0,0.8826143968167842,0.8901734104046243,0.8497783465106714,-0.0228333850479076,0.0481905669378374
asl_ldam_simam_dcfr_top1,contrast_reduction,3.0,0.854912691269127,0.8670520231213873,0.81633971843988,-0.0505350905955649,0.0827785245676786
asl_ldam_simam_dcfr_top1,defocus_blur,1.0,0.897733918128655,0.9017341040462428,0.8663789186733303,-0.0077138637360368,0.0481572438516382
asl_ldam_simam_dcfr_top1,defocus_blur,2.0,0.8910515434373208,0.8959537572254336,0.8583128583128583,-0.014396238427371,0.0299307765358253
asl_ldam_simam_dcfr_top1,defocus_blur,3.0,0.871154177510119,0.8786127167630058,0.8352231494920175,-0.0342936043545728,0.0918610732837258
asl_ldam_simam_dcfr_top1,low_light,1.0,0.8997081381113495,0.9017341040462428,0.8664577941243246,-0.0057396437533423,0.0519598784443041
asl_ldam_simam_dcfr_top1,low_light,2.0,0.9101370048706612,0.9132947976878611,0.8815933564519073,0.0046892230059691,0.0845174573680246
asl_ldam_simam_dcfr_top1,low_light,3.0,0.8969026717827819,0.9017341040462428,0.8653511583188352,-0.0085451100819099,0.0757716527866356
