rank,noise_id,noise_name,baseline_mean_mAP50_95_percent,recsra_mean_mAP50_95_percent,absolute_gain_mAP50_95_pp,relative_gain_mAP50_95_percent,absolute_gain_mAP50_pp,wins_mAP50_95_out_of_5,wins_mAP50_out_of_5,absolute_change_mAP75_pp,retention_advantage_pp
1,N07,jpeg_recompression,3.599831793325206,4.131845949049974,0.532014155724768,14.778861521008466,1.1727689944089812,5,5,0.260137998401382,1.9172665419641102
2,N06,auto_white_balance_color_cast,3.725428067591876,4.210741750389328,0.48531368279745235,13.027058206257625,1.8481955919863555,5,5,-0.037526586217428055,0.58264776108414
3,N01,low_light_sensor_noise,0.9060090150233128,1.3849176256353983,0.4789086106120857,52.85914407813731,1.534318868199864,5,5,0.10220077096086415,7.8916782926218705
4,N03,localized_specular_flash_glare,3.9753583546614957,4.439752411800172,0.4643940571386763,11.681816221527022,1.294420065427288,5,5,-0.1291165155591,-0.52671285451181
5,N10,lens_smudge_fingerprint,3.3845807770943837,3.786047411514955,0.4014666344205713,11.861635483412067,1.2184419425782886,5,5,-0.089637152209624,-0.31773794532902
6,N02,global_overexposure_clipping,3.878920546703662,4.216429169691758,0.3375086229880961,8.701096578915845,0.6623187660959456,4,4,-0.040842451283740026,-2.9968801944039303
7,N04,handheld_motion_blur,2.704261340013142,3.03815538386445,0.3338940438513082,12.346959182934796,1.2880431103543977,5,5,-0.07261530752913994,0.027977302763690003
8,N09,uneven_cast_shadow,3.8570837591447,4.084523086754638,0.2274393276099379,5.896665507216574,0.4070004986431802,3,3,0.03694528862205802,-5.30295376500027
9,N08,low_resolution_resampling,4.0571731643669295,4.137398414841174,0.08022525047424386,1.9773681631053082,0.6080892800686077,3,4,-0.18381534907893002,-8.99286096440057
10,N05,autofocus_defocus_blur,3.4273158393742023,3.4829465064245557,0.05563066705035341,1.6231555438004535,0.504588789848672,2,3,-0.130758688747576,-7.857468301348599
