noise_id,noise_name,severity,AP_BG_mAP50_95_baseline,AP_BG_mAP50_95_recsra,AP_WSSV_mAP50_95_baseline,AP_WSSV_mAP50_95_recsra,mAP50_baseline,mAP50_recsra,mAP50_95_baseline,mAP50_95_recsra,mAP75_baseline,mAP75_recsra,precision_baseline,precision_recsra,recall_baseline,recall_recsra,delta_mAP50,delta_mAP50_95,delta_mAP75,delta_precision,delta_recall,delta_AP_BG_mAP50_95,delta_AP_WSSV_mAP50_95
N01,low_light_sensor_noise,1,3.0508203500993503,4.20160335115838,2.44424872885851,2.6052779896697,9.42152050113765,11.32498569794704,2.74753453947893,3.40344067041404,0.7478366777162601,0.6335384496991,16.95080432011026,19.88400476194657,20.95593814402709,21.283575164913373,1.903465196809391,0.6559061309351102,-0.11429822801716003,2.933200441836309,0.32763702088628166,1.1507830010590296,0.16102926081119004
N01,low_light_sensor_noise,2,1.5968053203261798,3.2412326938804603,1.32555446433347,1.89510767561435,5.10141441184764,8.89892856019942,1.46117989232983,2.56817018474741,0.30213428450543,0.67405494869123,13.28580399609684,17.76426369434299,12.2177295000514,15.025381704612762,3.7975141483517807,1.10699029241758,0.37192066418579994,4.4784596982461515,2.8076522045613617,1.6444273735542803,0.5695532112808799
N01,low_light_sensor_noise,3,0.36627886661272,1.34614923399609,0.25767382299213004,0.49464696689284,0.9972819552762799,2.8416264786245997,0.31197634480243003,0.9203981004444599,0.15663275679624,0.40686632453548,8.49519876021264,10.353543727976309,3.04874168424865,5.16372056138358,1.84434452334832,0.6084217556420299,0.25023356773924,1.8583449677636699,2.11497887713493,0.97987036738337,0.23697314390070998
N01,low_light_sensor_noise,4,0.0023556021085776565,0.03775133818243,0.01587371307929,0.02290325324155,0.03301132746668,0.14896340348861,0.009114657593937035,0.03032729571199,0.001732409088408428,0.004837629393136534,0.37076869148907,0.32919726821823,8.4124318952815,19.490309916242822,0.11595207602193001,0.021212638118052966,0.003105220304728106,-0.041571423270840006,11.077878020961322,0.035395736073852345,0.0070295401622600005
N01,low_light_sensor_noise,5,0.00021388575599602718,0.003786160949060211,0.00026539606687671385,0.0007175927691223607,0.0010514067371114229,0.01136980320501,0.00023964091143637047,0.002251876859091286,0.0,4.263059171261298e-05,0.03310030258182,0.09554042321959,2.1644205775378,6.86848018171048,0.010318396467898578,0.0020122359476549153,4.263059171261298e-05,0.06244012063777,4.704059604172681,0.0035722751930641838,0.000452196702245647
N02,global_overexposure_clipping,1,4.46670752591094,5.6327039128707606,3.79620065836236,3.9624516975045396,14.60233295679734,16.05926515275655,4.13145409213665,4.79757780518765,1.1587484041959502,1.2316357546049899,22.17918822224507,23.45305918717149,24.14492782001263,26.13630244614036,1.4569321959592096,0.6661237130509999,0.07288735040903993,1.2738709649264213,1.9913746261277288,1.1659963869598202,0.16625103914217967
N02,global_overexposure_clipping,2,4.38607803999595,5.42250673234291,3.72433674244688,4.03361487628922,14.47972208389213,16.014190541226668,4.05520739122142,4.72806080431607,1.039025681988,0.98307415878658,22.08743498939101,22.80574933749249,24.83344021225664,27.36696021656444,1.5344684573345395,0.6728534130946497,-0.05595152320141995,0.7183143481014787,2.533520004307799,1.03642869234696,0.3092781338423403
N02,global_overexposure_clipping,3,4.31684289754796,4.93683116687472,3.71884032412178,3.9017510643837303,14.0466448801532,15.100886919578599,4.01784161083487,4.41929111562923,1.17060405577956,1.20421023671375,20.47447079264066,22.27102021226709,25.482790861607292,24.509866311600188,1.0542420394253988,0.40144950479436003,0.03360618093418994,1.7965494196264309,-0.972924550007101,0.61998826932676,0.18291074026195037
N02,global_overexposure_clipping,4,3.8443239561789597,4.28508577312555,3.71860116444059,3.61247169191804,12.675138204367789,13.566913489997459,3.78146256030978,3.9487787325218,1.21400851782637,0.9146089797911501,20.40645326216346,21.17321178366891,24.83344021225664,23.689427797984138,0.8917752856296701,0.16731617221202033,-0.29939953803522,0.7667585215054507,-1.144012414272502,0.44076181694659017,-0.1061294725225502
N02,global_overexposure_clipping,5,3.3915909285174397,3.1883354875985503,3.4256832295137296,3.1885392940095403,12.08033775144181,10.45451360357272,3.4086370790155898,3.18843739080404,0.8561110230976801,0.9007562965723901,20.790520435331512,18.06674395131165,24.53458716180163,20.455157356778162,-1.62582414786909,-0.22019968821154964,0.04464527347470999,-2.72377648401986,-4.0794298050234685,-0.2032554409188897,-0.23714393550418947
N03,localized_specular_flash_glare,1,4.43898288589385,5.47375519476629,3.77002149178317,3.8349545770130202,14.319710505482849,16.309012615809408,4.10450218883851,4.65435488588965,1.34316449068803,1.15204105764173,21.35948535069802,23.879353425346363,24.39850010524718,25.39834835349347,1.9893021103265602,0.5498526970511397,-0.19112343304630003,2.5198680746483406,0.9998482482462906,1.0347723088724399,0.06493308522984992
