,precision,recall,f1-score,support
Healthy,90.9090909090909,90.9090909090909,90.9090909090909,11.0
BG,83.33333333333334,93.75,88.23529411764706,16.0
WSSV,100.0,90.0,94.73684210526315,20.0
accuracy,91.48936170212765,91.48936170212765,91.48936170212765,0.9148936170212766
macro avg,91.4141414141414,91.5530303030303,91.29374237733371,47.0
weighted avg,92.19858156028369,91.48936170212765,91.6276925103748,47.0
