,precision,recall,f1-score,support
Healthy,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0
BG,0.8333333333333334,0.9375,0.8823529411764706,16.0
WSSV,1.0,0.9,0.9473684210526315,20.0
accuracy,0.9148936170212766,0.9148936170212766,0.9148936170212766,0.9148936170212766
macro avg,0.914141414141414,0.915530303030303,0.9129374237733371,47.0
weighted avg,0.9219858156028369,0.9148936170212766,0.916276925103748,47.0
