variant_id,family,status,best_pt,error,val_mAP50,val_mAP50_95,val_precision,val_recall,val_AP_BG_mAP50_95,val_AP_WSSV_mAP50_95,devtest_mAP50,devtest_mAP50_95,devtest_precision,devtest_recall,devtest_AP_BG_mAP50_95,devtest_AP_WSSV_mAP50_95,elapsed_sec
0,A_RCCM,ok,/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD000_A_RCCM_EV015FAIR_200E_SEED42/weights/best.pt,,0.12356564490493593,0.032674475194148934,0.17072568098560215,0.22612930749923704,0.03652707651215159,0.028821873876146265,0.15038232790889117,0.04155977911812259,0.2022114807358903,0.2676289033243424,0.05106481323296286,0.032054745003282356,2217.7586801052094
1,A_RCCM,ok,/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD001_A_RCCM_EV015FAIR_200E_SEED42/weights/best.pt,,0.12188330390169978,0.03392748522138968,0.19452828489966906,0.23044225631060705,0.03853720875684273,0.02931776168593664,0.16036460211295228,0.04656557248773138,0.24342293531508974,0.24695395068557527,0.05373382316831867,0.03939732180714409,2246.646998643875
2,A_RCCM,ok,/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD002_A_RCCM_EV015FAIR_200E_SEED42/weights/best.pt,,0.1172744934145391,0.02965855334256774,0.16855458409140073,0.23990583135591637,0.027934974033436994,0.03138213265169847,0.13938253337309744,0.04122739827743522,0.22090811615458383,0.23406973727365737,0.046478529922017855,0.03597626663285257,2297.1613717079163
3,A_RCCM,ok,/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD003_A_RCCM_EV015FAIR_200E_SEED42/weights/best.pt,,0.11580808410265972,0.032668470359364606,0.16713540963891305,0.22614799175401556,0.03256928341657369,0.03276765730215552,0.13647901239429847,0.03754170723044504,0.20716802393717593,0.28362647529628304,0.04259959287429523,0.03248382158659482,2257.7711334228516
4,A_RCCM,ok,/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD004_A_RCCM_EV015FAIR_200E_SEED42/weights/best.pt,,0.11526775162958604,0.031681526249200904,0.19129582703066456,0.23159237584038567,0.030094229925485612,0.0332688225729162,0.15678424848449168,0.04545911745190372,0.22983893793236687,0.2430113030774393,0.05341142512982462,0.037506809773982824,2272.198854446411
5,A_RCCM,ok,/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD005_A_RCCM_EV015FAIR_200E_SEED42/weights/best.pt,,0.10807266890379433,0.0313445829472657,0.1734878292221662,0.22610133479410416,0.03371316987172086,0.028975996022810528,0.145837619154832,0.03824496610038514,0.19709611727298015,0.29242807701156737,0.04471280069520621,0.03177713150556407,2326.00875043869
6,A_RCCM,ok,/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD006_A_RCCM_EV015FAIR_200E_SEED42/weights/best.pt,,0.12470023427740964,0.033444130638410216,0.19977232698783234,0.23635270890553867,0.036367219545422866,0.030521041731397573,0.14861556132952194,0.0428409951298789,0.23601382481531905,0.24798439404545702,0.046483954659151214,0.0391980356006066,2231.6742095947266
7,A_RCCM,ok,/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD007_A_RCCM_EV015FAIR_200E_SEED42/weights/best.pt,,0.11453361959907715,0.030358463035228954,0.17626278610092871,0.23139203926184737,0.03052994030030549,0.030186985770152403,0.13271155877825114,0.03790870168480438,0.19443161418518354,0.25697201403948483,0.04099106796189883,0.03482633540770993,2247.581246614456
8,A_RCCM,ok,/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD008_A_RCCM_EV015FAIR_200E_SEED42/weights/best.pt,,0.11481060546006594,0.0333647771484799,0.16832748913555112,0.2632019830222405,0.03876909881845694,0.02796045547850287,0.15242194345239296,0.042855953791359765,0.2420495094808724,0.2581884756781101,0.05050150058951306,0.035210406993206475,2316.0821917057037
9,B_DCCM,ok,/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD009_B_DCCM_EV015FAIR_200E_SEED42/weights/best.pt,,0.11250052393725038,0.033574464427096426,0.1667913202122356,0.2555819211150763,0.03681314626573536,0.0303357825884575,0.14385201241781653,0.04175826873632999,0.20505557728001994,0.26810373945692456,0.04994000860899692,0.033576528863663045,2214.007142305374
