epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,477.738,2.46549,1.15233,1.73164,0.18261,0.21699,0.11341,0.03355,3.56053,1.71545,2.43536,0.000450422,0.000450422,0.000450422
43,488.893,2.42872,1.10546,1.70791,0.19193,0.20268,0.11035,0.03305,3.60753,1.75763,2.40709,0.000448063,0.000448063,0.000448063
44,500.008,2.41004,1.08852,1.69726,0.1779,0.22022,0.11054,0.03425,3.60663,1.77099,2.43931,0.000445657,0.000445657,0.000445657
45,511.191,2.41586,1.11961,1.72779,0.16448,0.21484,0.10733,0.03339,3.58187,1.75866,2.4501,0.000443202,0.000443202,0.000443202
46,522.427,2.37879,1.09125,1.6777,0.16975,0.21613,0.10432,0.03192,3.61869,1.79402,2.44626,0.0004407,0.0004407,0.0004407
47,533.537,2.41404,1.09313,1.69775,0.18356,0.2232,0.11025,0.03273,3.56421,1.73764,2.3987,0.000438152,0.000438152,0.000438152
48,544.638,2.37231,1.07532,1.68547,0.17662,0.21988,0.10937,0.03188,3.57819,1.75376,2.42864,0.000435559,0.000435559,0.000435559
49,555.817,2.38218,1.07108,1.69685,0.16479,0.23822,0.10828,0.03284,3.55001,1.76934,2.42994,0.00043292,0.00043292,0.00043292
50,566.984,2.37591,1.06905,1.70424,0.18634,0.23027,0.11128,0.03073,3.62613,1.75042,2.44291,0.000430236,0.000430236,0.000430236
51,578.188,2.35557,1.06818,1.66536,0.17375,0.25294,0.11825,0.03357,3.56419,1.75686,2.38295,0.000427509,0.000427509,0.000427509
52,589.288,2.29888,1.03759,1.6705,0.18791,0.24794,0.12027,0.03404,3.60293,1.77052,2.42585,0.000424738,0.000424738,0.000424738
53,600.405,2.32815,1.02815,1.66118,0.17233,0.21722,0.10694,0.03108,3.61611,1.78724,2.45372,0.000421925,0.000421925,0.000421925
54,611.547,2.35805,1.06695,1.68342,0.19565,0.21222,0.11089,0.03274,3.59966,1.78433,2.44337,0.000419071,0.000419071,0.000419071
55,622.686,2.3446,1.02593,1.67228,0.15676,0.21819,0.10574,0.03157,3.56815,1.7927,2.42346,0.000416175,0.000416175,0.000416175
56,633.891,2.31746,1.02282,1.65954,0.16638,0.22584,0.1019,0.03119,3.61227,1.7957,2.4693,0.000413238,0.000413238,0.000413238
57,645.039,2.30928,1.03429,1.66671,0.18809,0.18562,0.11004,0.03237,3.61653,1.74734,2.42822,0.000410262,0.000410262,0.000410262
58,656.168,2.32911,1.05373,1.6753,0.17781,0.23175,0.10826,0.02915,3.59717,1.79233,2.42328,0.000407248,0.000407248,0.000407248
59,667.321,2.27557,1.01592,1.61726,0.15944,0.22607,0.10342,0.02859,3.63997,1.80808,2.42767,0.000404194,0.000404194,0.000404194
60,678.413,2.26449,1.00561,1.63389,0.15318,0.245,0.10093,0.03045,3.60296,1.81671,2.46715,0.000401104,0.000401104,0.000401104
61,689.531,2.29732,1.01078,1.65371,0.15147,0.22889,0.10036,0.02968,3.64134,1.8304,2.46681,0.000397977,0.000397977,0.000397977
62,700.649,2.30135,1.03043,1.64558,0.17816,0.21019,0.10111,0.02935,3.62504,1.84552,2.44038,0.000394814,0.000394814,0.000394814
63,711.792,2.26895,1.01867,1.62967,0.17588,0.23508,0.10726,0.03036,3.57495,1.81842,2.43856,0.000391616,0.000391616,0.000391616
64,722.957,2.23702,0.99094,1.62447,0.17212,0.24146,0.1033,0.02952,3.60151,1.82948,2.49669,0.000388383,0.000388383,0.000388383
65,734.16,2.25181,0.97458,1.62289,0.16934,0.22062,0.1011,0.02983,3.63214,1.81673,2.49449,0.000385117,0.000385117,0.000385117
66,745.281,2.25257,0.99691,1.61011,0.19406,0.22448,0.10899,0.03114,3.60303,1.81393,2.47891,0.000381818,0.000381818,0.000381818
67,756.409,2.23099,0.97116,1.61959,0.16018,0.23116,0.10312,0.03132,3.61275,1.79424,2.47916,0.000378488,0.000378488,0.000378488
68,767.564,2.23881,0.97487,1.61863,0.16896,0.22432,0.11009,0.0317,3.64271,1.79179,2.49727,0.000375126,0.000375126,0.000375126
69,778.698,2.21045,0.95623,1.61479,0.18741,0.21841,0.11347,0.03419,3.63595,1.82471,2.47265,0.000371734,0.000371734,0.000371734
70,789.822,2.19715,0.97201,1.58286,0.18248,0.23865,0.11344,0.0329,3.6339,1.81341,2.46388,0.000368313,0.000368313,0.000368313
71,800.964,2.17161,0.93029,1.59078,0.19637,0.20519,0.1039,0.03,3.61868,1.81113,2.49869,0.000364863,0.000364863,0.000364863
72,812.072,2.18284,0.93232,1.60244,0.17109,0.21134,0.10004,0.02776,3.66451,1.82971,2.5312,0.000361385,0.000361385,0.000361385
73,823.167,2.18632,0.93349,1.57864,0.14805,0.22911,0.09717,0.02738,3.64869,1.80714,2.52728,0.00035788,0.00035788,0.00035788
74,834.381,2.1872,0.97363,1.59035,0.1648,0.22265,0.10116,0.02713,3.69287,1.82422,2.53597,0.00035435,0.00035435,0.00035435
75,845.478,2.19571,0.95153,1.60876,0.16977,0.21917,0.10585,0.03013,3.66235,1.80196,2.51482,0.000350794,0.000350794,0.000350794
76,856.61,2.17425,0.93611,1.574,0.1701,0.21,0.10312,0.0305,3.6559,1.82229,2.51671,0.000347214,0.000347214,0.000347214
