epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,472.094,1.62204,2.70961,1.29561,1.56523,0,0.52883,0.54644,0.51003,0.20605,0.62083,0.43421,0.44568,0.15338,2.10698,3.40286,2.01519,2.07159,0,0.00122141,0.00122141,0.00122141
29,488.694,1.57988,2.6147,1.26108,1.50976,0,0.6122,0.47281,0.49811,0.21505,0.57362,0.40407,0.40908,0.14459,2.08595,3.41954,1.72336,2.10498,0,0.00120491,0.00120491,0.00120491
30,504.903,1.61335,2.69456,1.32052,1.55322,0,0.7182,0.41689,0.49678,0.21174,0.66002,0.39965,0.4477,0.16878,2.18629,3.30416,1.73901,2.15161,0,0.0011884,0.0011884,0.0011884
31,521.551,1.55932,2.58838,1.22988,1.52449,0,0.62399,0.34792,0.43414,0.18302,0.49764,0.41225,0.41121,0.14719,2.21727,3.39727,1.78534,2.07933,0,0.0011719,0.0011719,0.0011719
32,537.969,1.57708,2.58604,1.17568,1.51505,0,0.75346,0.50108,0.54205,0.21503,0.69838,0.45557,0.48876,0.1628,2.28148,3.33706,1.71986,2.21753,0,0.0011554,0.0011554,0.0011554
33,554.605,1.51343,2.57569,1.16429,1.46403,0,0.71936,0.40731,0.48574,0.20101,0.5017,0.50663,0.45919,0.16056,2.19531,3.37162,1.80254,2.05218,0,0.00113889,0.00113889,0.00113889
34,571.337,1.55682,2.54527,1.13563,1.46085,0,0.62686,0.44651,0.49253,0.19549,0.60328,0.42927,0.45237,0.15842,2.21835,3.34761,1.90453,2.10693,0,0.00112239,0.00112239,0.00112239
35,587.446,1.47626,2.4799,1.12743,1.4149,0,0.67639,0.41038,0.46772,0.22054,0.52961,0.46926,0.45402,0.17635,2.13314,3.54702,1.7025,2.0902,0,0.00110589,0.00110589,0.00110589
36,604.21,1.44595,2.45632,1.11957,1.41895,0,0.67335,0.40497,0.49139,0.21126,0.69575,0.39479,0.47126,0.1578,2.09782,3.59806,1.60528,2.12743,0,0.00108938,0.00108938,0.00108938
37,620.288,1.44369,2.41826,1.08902,1.42623,0,0.73199,0.3824,0.49959,0.22059,0.70142,0.3824,0.4611,0.16853,2.2916,3.52488,1.79008,2.14904,0,0.00107288,0.00107288,0.00107288
38,637.31,1.40742,2.43796,1.05915,1.38421,0,0.62858,0.53193,0.5312,0.22982,0.70043,0.45491,0.5006,0.18085,2.18727,3.31831,1.59256,2.10205,0,0.00105638,0.00105638,0.00105638
39,653.628,1.41701,2.34615,1.05739,1.38741,0,0.4453,0.48438,0.4669,0.21111,0.69681,0.36914,0.45554,0.17274,2.25829,3.45461,1.74979,2.14857,0,0.00103987,0.00103987,0.00103987
40,670.342,1.40898,2.38601,1.05116,1.387,0,0.72562,0.3435,0.50615,0.23534,0.67466,0.40782,0.49858,0.18653,2.24807,3.49322,1.60483,2.12404,0,0.00102337,0.00102337,0.00102337
41,686.595,1.35469,2.35209,1.03457,1.35428,0,0.61483,0.35527,0.4327,0.19199,0.61866,0.37564,0.41157,0.1716,2.32776,3.41177,1.77046,2.21533,0,0.00100687,0.00100687,0.00100687
42,703.213,1.39864,2.41206,1.03171,1.40043,0,0.5557,0.48519,0.50222,0.21256,0.55527,0.48077,0.47557,0.17681,2.29275,3.46455,1.81924,2.18598,0,0.000990365,0.000990365,0.000990365
