condition,noise_id,noise_name,severity,model,mAP50,mAP50_95,mAP75,precision,recall,AP_BG_mAP50_95,AP_WSSV_mAP50_95,speed,model_path,data_yaml,cuda_visible_devices
corruption,N01,low_light_sensor_noise,5,baseline,1.051406737111423e-05,2.3964091143637052e-06,0.0,0.000331003025818236,0.021644205775378036,2.138857559960272e-06,2.6539606687671386e-06,"{'preprocess': 0.9655076577113144, 'inference': 7.0376705585445745, 'loss': 0.002522486472305179, 'postprocess': 0.5848411442088577}",/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/baseline_reuse_lock/yolo11s_baseline_best.pt,/home/drnguyenvinh/notebooks/recsra_mobile10_output_rtx4090/temporary_corrupted_testsets/N01_S5/data.yaml,0
corruption,N01,low_light_sensor_noise,5,recsra,0.00011369803205017539,2.251876859091286e-05,4.2630591712612974e-07,0.0009554042321959272,0.06868480181710487,3.786160949060211e-05,7.175927691223607e-06,"{'preprocess': 0.9797694955367504, 'inference': 8.774368585601461, 'loss': 0.0025207568100299098, 'postprocess': 0.6096500179361052}",/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD001_A_RCCM_EV015FAIR_200E_SEED42/weights/best.pt,/home/drnguyenvinh/notebooks/recsra_mobile10_output_rtx4090/temporary_corrupted_testsets/N01_S5/data.yaml,0
corruption,N02,global_overexposure_clipping,1,baseline,0.14602332956797343,0.04131454092136652,0.011587484041959528,0.22179188222245078,0.2414492782001263,0.04466707525910941,0.03796200658362363,"{'preprocess': 0.944821063041656, 'inference': 6.785008099074263, 'loss': 0.002525297359907937, 'postprocess': 0.5411737116561313}",/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/baseline_reuse_lock/yolo11s_baseline_best.pt,/home/drnguyenvinh/notebooks/recsra_mobile10_output_rtx4090/temporary_corrupted_testsets/N02_S1/data.yaml,0
corruption,N02,global_overexposure_clipping,1,recsra,0.16059265152756558,0.04797577805187655,0.01231635754604992,0.23453059187171493,0.26136302446140364,0.05632703912870769,0.0396245169750454,"{'preprocess': 0.9661537927935536, 'inference': 8.457600846840423, 'loss': 0.0029739549473061246, 'postprocess': 0.5523303332764142}",/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD001_A_RCCM_EV015FAIR_200E_SEED42/weights/best.pt,/home/drnguyenvinh/notebooks/recsra_mobile10_output_rtx4090/temporary_corrupted_testsets/N02_S1/data.yaml,0
corruption,N02,global_overexposure_clipping,2,baseline,0.1447972208389213,0.04055207391221421,0.010390256819880095,0.2208743498939101,0.24833440212256647,0.04386078039995954,0.03724336742446887,"{'preprocess': 0.973733243226233, 'inference': 6.801885585618209, 'loss': 0.00249637838629775, 'postprocess': 0.5409893242973045}",/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/baseline_reuse_lock/yolo11s_baseline_best.pt,/home/drnguyenvinh/notebooks/recsra_mobile10_output_rtx4090/temporary_corrupted_testsets/N02_S2/data.yaml,0
corruption,N02,global_overexposure_clipping,2,recsra,0.16014190541226675,0.04728060804316071,0.009830741587865843,0.22805749337492498,0.2736696021656444,0.05422506732342919,0.04033614876289225,"{'preprocess': 0.9673051982145308, 'inference': 8.472468234227103, 'loss': 0.0027307657325542785, 'postprocess': 0.5508805585893103}",/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD001_A_RCCM_EV015FAIR_200E_SEED42/weights/best.pt,/home/drnguyenvinh/notebooks/recsra_mobile10_output_rtx4090/temporary_corrupted_testsets/N02_S2/data.yaml,0
corruption,N02,global_overexposure_clipping,3,baseline,0.14046644880153208,0.040178416108348776,0.01170604055779563,0.2047447079264066,0.25482790861607296,0.043168428975479664,0.037188403241217874,"{'preprocess': 0.9708696757074863, 'inference': 6.798439729741936, 'loss': 0.0025503873608236595, 'postprocess': 0.5381457747651374}",/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/baseline_reuse_lock/yolo11s_baseline_best.pt,/home/drnguyenvinh/notebooks/recsra_mobile10_output_rtx4090/temporary_corrupted_testsets/N02_S3/data.yaml,0
corruption,N02,global_overexposure_clipping,3,recsra,0.15100886919578604,0.04419291115629232,0.01204210236713751,0.22271020212267095,0.24509866311600198,0.04936831166874729,0.03901751064383736,"{'preprocess': 0.9918049820027574, 'inference': 8.481061216214684, 'loss': 0.0026930090186667527, 'postprocess': 0.5635282973467052}",/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD001_A_RCCM_EV015FAIR_200E_SEED42/weights/best.pt,/home/drnguyenvinh/notebooks/recsra_mobile10_output_rtx4090/temporary_corrupted_testsets/N02_S3/data.yaml,0
corruption,N02,global_overexposure_clipping,4,baseline,0.12675138204367795,0.0378146256030978,0.012140085178263716,0.2040645326216346,0.24833440212256647,0.03844323956178965,0.03718601164440595,"{'preprocess': 0.9875640450306353, 'inference': 6.776816891975646, 'loss': 0.0025851261992241377, 'postprocess': 0.551353045052606}",/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/baseline_reuse_lock/yolo11s_baseline_best.pt,/home/drnguyenvinh/notebooks/recsra_mobile10_output_rtx4090/temporary_corrupted_testsets/N02_S4/data.yaml,0
corruption,N02,global_overexposure_clipping,4,recsra,0.13566913489997467,0.03948778732521801,0.009146089797911507,0.21173211783668916,0.23689427797984147,0.04285085773125552,0.03612471691918049,"{'preprocess': 0.9957370270762818, 'inference': 8.447828477401673, 'loss': 0.002588918865873344, 'postprocess': 0.538684405353149}",/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD001_A_RCCM_EV015FAIR_200E_SEED42/weights/best.pt,/home/drnguyenvinh/notebooks/recsra_mobile10_output_rtx4090/temporary_corrupted_testsets/N02_S4/data.yaml,0
